port_name,type,original_count,normalized_count,cleaned_count,total_occurrences,notes
'Hambro',origin,2,0,0,2,removed in cleanup
.,origin,2,2,0,2,removed in cleanup
A,destination,3,3,0,3,removed in cleanup
A LARGE STOCK KEPT,destination,1,1,1,1,
ABERDEEN,destination,124,0,0,124,removed in cleanup
ABERYSTWITH,destination,25,0,0,25,removed in cleanup
ALBANY,destination,27,0,0,27,removed in cleanup
ALBERT DOCKS,destination,2,2,2,2,
ALLOA,destination,438,0,0,438,removed in cleanup
AND VIENNA,destination,1,1,1,1,
ANTWERP,destination,12,0,0,12,removed in cleanup
ARBROATH,destination,14,0,0,14,removed in cleanup
ARDROSSAN,destination,20,0,0,20,removed in cleanup
ARRIVALS IN DUNDEE,destination,3,3,3,3,
AT AVONMOUTH,destination,2,2,2,2,
AT AVONMOUTH DOCKS,destination,1,1,1,1,
AT NEW ORLEANS,destination,11,0,0,11,removed in cleanup
AVONMOUTH DOCK,destination,3,3,3,3,
AYR,destination,49,0,0,49,removed in cleanup
Aaland,origin,1,1,1,1,
Aalborg,origin,1,3,3,3,
Aalesund,origin,2,4,4,4,
Aalsund,origin,2,0,0,2,removed in cleanup
Aamaes,origin,1,1,1,1,
Aarhus,origin,1,1,1,1,
Aarhuus,origin,6,6,6,6,
Aasgaardstrand,origin,4,6,6,6,
Aasgaarstrand,origin,1,0,0,1,removed in cleanup
Aasgardstrand,origin,1,0,0,1,removed in cleanup
Aberdeen,origin + destination,1,1,1,1,
Aberystwith,destination,0,25,25,25,inferred
Ablafors,origin,2,2,2,2,
Abo,origin,82,82,82,82,
Abyn,origin,9,9,9,9,
Abyu,origin,1,1,1,1,
Adler,origin,1,1,1,1,
Aguste,origin,1,1,1,1,
Ahla,origin,1,1,1,1,
Ahlafors,origin,30,30,30,30,
Ahlators,origin,1,1,1,1,
Ahlo,origin,1,1,1,1,
Akyab,origin,4,4,4,4,
Aland,origin,2,2,2,2,
Albany,destination,0,27,28,28,inferred
Alderney,origin,1,1,1,1,
Alexandria,origin,2,2,2,2,
Aleyn,origin,1,1,1,1,
Alfred,origin,1,1,1,1,
Alfredsham,origin,2,4,4,4,
Alfredshamn,origin,2,0,0,2,removed in cleanup
Alloa,destination,0,438,438,438,inferred
"Alma, N.B.",origin,1,1,1,1,
Almeria,origin,1,1,1,1,
Almvik,origin,1,1,1,1,
Alne,origin,1,1,1,1,
Altona,origin,1,1,1,1,
Altu,origin,0,1,1,1,inferred
Alufors,origin,1,1,1,1,
Alvik,origin,1,1,1,1,
Amo,origin,1,1,1,1,
Amsterdam,origin,30,30,30,30,
Anciola,origin,1,1,1,1,
Ancona,origin,1,1,1,1,
Anga,origin,3,3,3,3,
Anna,origin,1,1,1,1,
Annapolis,origin,5,5,5,5,
"Annapolis, N.S.",origin,1,1,1,1,
Antigua,origin,1,1,1,1,
Antwerp,origin + destination,30,30,30,30,
Apalachicola,origin,40,40,40,40,
Ar-ndal,origin,1,0,0,1,removed in cleanup
Arbroath,destination,0,14,14,14,inferred
Arcachon,origin,27,28,28,28,
Archangel,origin,558,560,560,560,
Archangl.,origin,1,0,0,1,removed in cleanup
Ardrossan,destination,0,20,20,20,inferred
Areachon,origin,1,0,0,1,removed in cleanup
Arehangel,origin,1,0,0,1,removed in cleanup
Arend,origin,1,1,1,1,
Arendal,origin,230,233,234,234,
Arenos,origin,1,1,1,1,
Areudal,origin,1,0,0,1,removed in cleanup
Arno,origin,13,13,13,13,
Arno Ansag,origin,1,1,1,1,
Arthur,origin,1,1,1,1,
Aruskjoldvick,origin,1,1,1,1,
Asbacka,origin,13,15,15,15,
Asbacker,origin,1,1,1,1,
Asbacks,origin,1,0,0,1,removed in cleanup
Asbecka,origin,1,0,0,1,removed in cleanup
Astoria,origin,1,1,1,1,
Attona,origin,1,1,1,1,
Attu,origin,11,11,11,11,
Atu,origin,1,0,0,1,removed in cleanup
Auckland,origin,2,2,2,2,
"Auckland, N.Z.",origin,1,1,1,1,
Auray,origin,107,107,107,107,
Aussig,origin,1,1,1,1,
Australia,origin,1,1,1,1,
Aviles,origin,1,1,1,1,
Avonmouth,origin,1,1,1,1,
Away,origin,1,1,1,1,
Axmar,origin,3,3,3,3,
Axmar Bruk,origin,1,1,1,1,
Ayr,destination,0,49,49,49,inferred
B'torpshamn,origin,1,1,1,1,
B.,destination,0,0,1,1,inferred
B. AND F. S. WHARF,destination,1,1,0,1,removed in cleanup
BANFF,destination,27,0,0,27,removed in cleanup
BARK MERCHANTS,destination,1,1,1,1,
BARKING CREEK,destination,1,1,1,1,
BARNARD'S,destination,0,0,2,2,inferred
BARNARD'S WHARF,destination,2,2,0,2,removed in cleanup
BARNSTAPLE,destination,13,0,0,13,removed in cleanup
BARROW,destination,49,0,0,49,removed in cleanup
BARROWSTOUNESS,destination,3,0,0,3,removed in cleanup
BEAUMARIS,destination,23,0,0,23,removed in cleanup
BELFAST,destination,265,265,265,265,
BELL,destination,0,0,2,2,inferred
BELL WHARF,destination,2,2,0,2,removed in cleanup
BERWICK,destination,20,0,0,20,removed in cleanup
BIDEFORD,destination,1,0,0,1,removed in cleanup
BILLS OF SALE,destination,1,1,0,1,removed in cleanup
BO'NESS,destination,287,287,294,294,
BONESS,destination,5,5,5,5,
BORROWSTONESS,destination,16,0,0,16,removed in cleanup
BORROWSTOUNESS,destination,17,0,0,17,removed in cleanup
BORROWSTOUNNESS,destination,594,0,0,594,removed in cleanup
BORROWSTOWNESS,destination,1,0,0,1,removed in cleanup
BORROWSTOWNNESS,destination,2,0,0,2,removed in cleanup
BOSTON,destination,52,0,0,52,removed in cleanup
BREWER'S QUAY,destination,6,6,6,6,
BRIDGEWATER,destination,1,0,0,1,removed in cleanup
BRIDGWATER,destination,46,0,0,46,removed in cleanup
BRISTOL,destination,595,0,0,595,removed in cleanup
BURT'S,destination,0,0,22,22,inferred
BURT'S WHARF,destination,22,22,0,22,removed in cleanup
BUTLER'S,destination,0,0,1,1,inferred
BUTLER'S WHARF,destination,1,1,0,1,removed in cleanup
BY COMMERCIAL DOCKS,destination,1,1,1,1,
BY ROYAL ALBERT DOCK,destination,1,1,1,1,
BY SURREY COMMERCIAL DOCKS,destination,4,4,4,4,
BY VICTORIA DOCKS,destination,1,1,1,1,
Backmann,origin,1,1,1,1,
Baddeck,origin,1,0,0,1,removed in cleanup
Baddick,origin,0,1,1,1,inferred
Badeck,origin,1,1,1,1,
Bahia,origin,14,14,14,14,
Ballsta,origin,1,0,0,1,removed in cleanup
Balnarte,origin,1,1,1,1,
Baltic,origin,1,1,1,1,
Baltimore,origin,228,228,228,228,
"Baltimore, U.S.A.",origin,1,1,1,1,
Balto,origin,1,1,1,1,
Banff,destination,0,27,27,27,inferred
Bangkok,origin,2,2,2,2,
Bangor,origin,15,15,16,16,
"Bangor, U.S.",origin,2,2,2,2,
Bangsund,origin,2,2,2,2,
Bankok,origin,1,1,1,1,
Bannesund,origin,1,0,0,1,removed in cleanup
Bannow,origin,1,1,1,1,
Baraharia,origin,1,1,1,1,
Barahona,origin,2,2,2,2,
Barnstaple,origin + destination,3,3,3,3,
Baronne,origin,1,0,0,1,removed in cleanup
Barquero,origin,3,3,3,3,
Barrow,destination,0,49,49,49,inferred
Bassein,origin,1,1,1,1,
Batavia,origin,1,1,1,1,
Batekarnas,origin,1,1,1,1,
Bath,origin,1,1,1,1,
Bathurst,origin,41,41,41,41,
"Bathurst, N.B.",origin,9,9,9,9,
Batiscan,origin,3,4,4,4,
Batoum,origin,1,1,1,1,
Batscan,origin,1,0,0,1,removed in cleanup
Batvik,origin,5,5,5,5,
Bawik,origin,1,1,1,1,
Bay Chaleur,origin,1,1,1,1,
Bay Verte,origin,45,46,46,46,
"Bay Verte, Montreal",origin,1,1,1,1,
"Bay Verte, N B.",origin,1,1,1,1,
"Bay Verte, N.B.",origin,8,8,8,8,
"Bay Verte, N.S.",origin,3,3,3,3,
Bay de Verte,origin,4,4,4,4,
"Bay de Verte, N.B.",origin,1,1,1,1,
Bay of Islands,origin,2,2,2,2,
Bayo nne,origin,1,0,0,1,removed in cleanup
Bayonne,origin,203,205,205,205,
Bayvert,origin,1,0,0,1,removed in cleanup
Beaufort,origin,1,1,1,1,
"Beaufort, S.C.",origin,2,2,2,2,
Beaumaris,destination,0,23,23,23,inferred
Belize,origin,36,36,36,36,
