port_name,original_count,normalized_count,cleaned_count,total_occurrences,first_appears,notes
STONE,0,0,2,2,cleaned,consolidated to parent city
STONE STAIRS,2,2,0,2,original,removed as artifact
STORNOWAY,11,0,0,11,original,removed as artifact
STRANRAER,4,4,4,4,original,
SUNDERLAND,2605,0,0,2605,original,removed as artifact
SURREY COMMERCIAL DOCKS,2001,2001,2020,2020,"original, cleaned",consolidated to parent city
SURREY DOCKS,8,8,8,8,original,
SWANSEA,629,0,0,629,original,removed as artifact
SWANWICH,14,14,14,14,original,
Scarborough,0,19,19,19,normalized,consolidated to parent city
Shoreham,0,67,67,67,normalized,consolidated to parent city
Southampton,0,315,325,325,"normalized, cleaned",consolidated to parent city
Stockton,0,59,59,59,normalized,consolidated to parent city
Stornoway,0,11,11,11,normalized,consolidated to parent city
Sunderland,0,2605,2622,2622,"normalized, cleaned",consolidated to parent city
Swansea,0,629,660,660,"normalized, cleaned",consolidated to parent city
TEIGNMOUTH,22,0,0,22,original,removed as artifact
THE MISSISSIPPI VALLEY,9,9,9,9,original,
THE SAGINAW VALLEY,1,1,1,1,original,
THE TIMBER TRADES JOURNAL,210,210,0,210,original,removed as artifact
THE TYNE,270,270,275,275,"original, cleaned",consolidated to parent city
THOMAS ROEBUCK & COMPANY (LIMITED),2,2,2,2,original,
TILBURY,2,2,2,2,original,
TILBURY DOCK,1,1,1,1,original,
TILBURY DOCKS,17,17,17,17,original,
TRADE ITEMS,3,3,0,3,original,removed as artifact
TRALEE,10,10,10,10,original,
TROON,24,0,0,24,original,removed as artifact
TRURO,40,0,0,40,original,removed as artifact
TUNNEL PIER,1,1,1,1,original,
TYNE,1423,0,0,1423,original,removed as artifact
Teignmouth,0,22,22,22,normalized,consolidated to parent city
Troon,0,24,24,24,normalized,consolidated to parent city
Truro,0,40,40,40,normalized,consolidated to parent city
Tyne,0,1423,1437,1437,"normalized, cleaned",consolidated to parent city
VICTORIA DOCK,6,6,6,6,original,
VICTORIA DOCKS,141,141,141,141,original,
WATERFORD,29,29,29,29,original,
WEST HARTLEPOOL,1266,1266,1276,1276,"original, cleaned",consolidated to parent city
WEST INDIA DOCKS,22,22,22,22,original,
WESTPORT,3,3,3,3,original,
WEXFORD,10,10,10,10,original,
WEYMOUTH,11,0,0,11,original,removed as artifact
WHITBY,12,0,0,12,original,removed as artifact
WHITEHAVEN,39,0,0,39,original,removed as artifact
WICK,68,0,0,68,original,removed as artifact
WIGTOWN,1,1,1,1,original,
WISBEACH,1,0,0,1,original,removed as artifact
WISBECH,193,0,0,193,original,removed as artifact
WISPECH,1,0,0,1,original,removed as artifact
WOODBRIDGE,2,2,2,2,original,
WOOLWICH,11,11,11,11,original,
WORKINGTON,1,0,0,1,original,removed as artifact
Weymouth,0,11,11,11,normalized,consolidated to parent city
Whitby,0,12,12,12,normalized,consolidated to parent city
Whitehaven,0,39,39,39,normalized,consolidated to parent city
Wick,0,68,68,68,normalized,consolidated to parent city
Wisbech,0,195,195,195,normalized,consolidated to parent city
Workington,0,1,1,1,normalized,consolidated to parent city
Y COMMERCIAL DOCKS,2,2,2,2,original,
YARMOUTH,200,0,0,200,original,removed as artifact
YOUGHAL,2,2,2,2,original,
Yarmouth,0,200,221,221,"normalized, cleaned",consolidated to parent city
