port_name,type,original_count,normalized_count,cleaned_count,total_occurrences,notes
A,destination,3,3,0,3,removed in cleanup
A LARGE STOCK KEPT,destination,1,1,1,1,
Aberdeen,destination + origin,125,1,1,125,removed in cleanup
Aberystwith,destination,25,25,25,25,removed in cleanup; inferred
Albany,destination,27,27,28,28,removed in cleanup; inferred
ALBERT DOCKS,destination,2,2,2,2,
Alloa,destination,438,438,438,438,removed in cleanup; inferred
AND VIENNA,destination,1,1,1,1,
Antwerp,destination + origin,42,30,30,42,removed in cleanup
Arbroath,destination,14,14,14,14,removed in cleanup; inferred
Ardrossan,destination,20,20,20,20,removed in cleanup; inferred
ARRIVALS IN DUNDEE,destination,3,3,3,3,
AT AVONMOUTH,destination,2,2,2,2,
AT AVONMOUTH DOCKS,destination,1,1,1,1,
AT NEW ORLEANS,destination,11,0,0,11,removed in cleanup
AVONMOUTH DOCK,destination,3,3,3,3,
Ayr,destination,49,49,49,49,removed in cleanup; inferred
B.,destination,0,0,1,1,inferred
B. AND F. S. WHARF,destination,1,1,0,1,removed in cleanup
Banff,destination,27,27,27,27,removed in cleanup; inferred
BARK MERCHANTS,destination,1,1,1,1,
BARKING CREEK,destination,1,1,1,1,
BARNARD'S,destination,0,0,2,2,inferred
BARNARD'S WHARF,destination,2,2,0,2,removed in cleanup
Barnstaple,destination + origin,16,3,3,16,removed in cleanup
Barrow,destination,49,49,49,49,removed in cleanup; inferred
BARROWSTOUNESS,destination,3,0,0,3,removed in cleanup
Beaumaris,destination,23,23,23,23,removed in cleanup; inferred
BELFAST,destination,265,265,265,265,
BELL,destination,0,0,2,2,inferred
BELL WHARF,destination,2,2,0,2,removed in cleanup
Berwick,destination,20,20,20,20,removed in cleanup; inferred
Bideford,destination + origin,2,0,0,2,removed in cleanup
BILLS OF SALE,destination,1,1,0,1,removed in cleanup
BO'NESS,destination,287,287,294,294,
BONESS,destination,5,5,5,5,
BORROWSTONESS,destination,16,0,0,16,removed in cleanup
BORROWSTOUNESS,destination,17,0,0,17,removed in cleanup
Borrowstounness,destination,594,633,634,634,removed in cleanup; inferred
BORROWSTOWNESS,destination,1,0,0,1,removed in cleanup
BORROWSTOWNNESS,destination,2,0,0,2,removed in cleanup
Boston,destination + origin,403,351,351,403,removed in cleanup
BREWER'S QUAY,destination,6,6,6,6,
Bridgewater,destination + origin,6,0,0,6,removed in cleanup
Bridgwater,destination + origin,54,13,13,54,removed in cleanup
Bristol,destination,595,595,629,629,removed in cleanup; inferred
BURT'S,destination,0,0,22,22,inferred
BURT'S WHARF,destination,22,22,0,22,removed in cleanup
BUTLER'S,destination,0,0,1,1,inferred
BUTLER'S WHARF,destination,1,1,0,1,removed in cleanup
BY COMMERCIAL DOCKS,destination,1,1,1,1,
BY ROYAL ALBERT DOCK,destination,1,1,1,1,
BY SURREY COMMERCIAL DOCKS,destination,4,4,4,4,
BY VICTORIA DOCKS,destination,1,1,1,1,
CAERNARVON,destination,3,0,0,3,removed in cleanup
Cardiff,destination + origin,1608,2,2,1608,removed in cleanup
Cardigan,destination,7,7,7,7,removed in cleanup; inferred
Carlisle,destination,2,2,2,2,removed in cleanup; inferred
CARNARVON,destination,23,0,0,23,removed in cleanup
Castletown,destination,3,3,3,3,removed in cleanup; inferred
Charlestown,destination + origin,137,0,0,137,removed in cleanup
CHARLTON,destination,0,0,3,3,inferred
CHARLTON BUOYS,destination,3,3,0,3,removed in cleanup
Chester,destination,54,54,54,54,removed in cleanup; inferred
CHICAGO,destination,1,1,1,1,
CHURCH HOLE,destination,1,1,1,1,
