year,destination_port,ship_count,latitude,longitude
1880,London (Other Docks and Wharves),1,51.5073509000001,-0.127758299999982
1880,Banff,1,,
1881,London,1688,51.5073509000001,-0.127758299999982
1881,Grimsby,1674,53.5674710000001,-0.0807839999998805
1881,Liverpool,1525,53.4083714,-2.99157259999998
1881,Tyne,1238,55.0179189721861,-1.42556335449211
1881,Newport,1220,51.584151,-2.99766399999993
1881,Bristol,745,51.4545130000001,-2.58790999999997
1881,Dundee,640,56.4612028818325,-2.96765932817017
1881,Lynn,465,52.7516798,0.402296300000103
1881,Stockton,461,,
1881,Borrowstounness,410,56.0191848626102,-3.60281840209956
1881,Greenock,376,55.9505077629267,-4.75971798437838
1881,Poole,368,50.7150500000001,-1.98724800000002
1881,Inverness,224,57.4827277738256,-4.22737025390621
1881,Wick,201,58.4430600485415,-3.09285166137693
1881,Montrose,193,56.7213304436428,-2.46576667724605
1881,Newry,180,54.1483756060001,-6.32235385399997
1881,Sligo,165,54.277488562,-8.48034919799994
1881,Berwick,159,55.7702420000001,-2.00539499999996
1881,Dublin,122,53.346388727,-6.21662037199997
1881,Fowey,105,50.3349900000001,-4.63652499999995
1881,Fleetwood,104,53.9154477593217,-3.01331410565124
1881,Middlesbrough,76,54.5742270000001,-1.23495600000001
1881,Runcorn,76,53.3420780000001,-2.72967299999999
1881,Goole,65,53.7029410000001,-0.876380999999981
1881,Wexford,58,52.3386830540001,-6.45647567999993
1881,Cork,58,51.9014959520001,-8.44685895399994
1881,Dover,58,51.1278758,1.31340270000004
1881,RYE,51,50.949708,0.737260000000049
1881,NEW BRUNSWICK LUMBER PROSPECTS,44,,
1881,Exeter,42,50.7184120000001,-3.53389899999991
1881,Limerick,42,,
1881,Sunderland,39,54.9068690000001,-1.38380099999989
1881,Londonderry,39,55.0114105220001,-7.30041944099997
1881,Truro,36,50.2631950000001,-5.05104099999994
1881,Swansea,35,51.62144,-3.94364599999994
1881,Boston,34,52.9789400000001,-0.0265769999999748
1881,SEPTEMBER,31,,
1881,Milford,30,,
1881,Hartlepool (West),30,54.6917449999999,-1.21292600000004
1881,BRIDPORT,27,50.7335769,-2.7583009999999
1881,Cardiff,26,51.4815810000001,-3.17908999999992
1881,Lerwick,26,,
1881,Southampton,23,50.9097004,-1.40435090000005
1881,Leith,23,55.9765554947196,-3.16607291534422
1881,SKIBBEREEN,23,,
1881,WOODBRIDGE,23,52.095481,1.31257099999993
1881,Glasgow,22,55.8582389117887,-4.24254728271348
1881,Plymouth,19,50.3754565,-4.14265649999993
1881,Wisbech,19,52.666317,0.158797000000163
1881,Troon,18,55.5444127055824,-4.67361271972649
1881,Yarmouth,18,52.1084745429551,1.33582938769132
1881,Granton,17,,
1881,Cowes,17,50.7627850000001,-1.30053299999997
1881,Shoreham,16,,
1881,Workington,16,54.643569,-3.54275200000001
1881,Aberdeen,15,57.1453346208669,-2.10306332275388
1881,Rochester,15,51.3880000000001,0.506721000000084
1881,SUTTON BRIDGE,15,,
1881,Grangemouth,14,56.0086943296901,-3.71710520629876
1881,Hull,13,53.7456708999999,-0.336741299999971
1881,Alloa,13,56.1163031824617,-3.79518671321335
1881,Belfast,12,54.613523371,-5.90696169099994
1881,Portsmouth,12,50.8197675000001,-1.0879769
1881,E. U,12,,
1881,ITEMS,12,,
1881,Newhaven,11,50.79307,0.0455740000000446
1881,Gloucester,10,51.8642449,-2.23815599999989
1881,Lowestoft,8,52.481138,1.75344900000016
1881,Maryport,8,54.714441,-3.49494000000004
1881,Barrow,8,,
1881,BUCKIE,7,,
1881,Llanelly,6,51.680886,-4.16024800000002
1881,BUILDERS' CLERKS' BENEVOLENT INSTITUTION,6,,
1881,Kirkcaldy,5,56.109236880424,-3.16149504760739
1881,WIGTOWN,5,54.8676447222298,-4.44449749206541
1881,Carnavon,5,53.1432579104494,-4.27657175134273
1881,DOCK DELIVERIES,5,,
1881,Maldon,4,51.7318050000001,0.671448000000169
1881,Waterford,4,,
1881,Ramsgate,4,51.3355450000001,1.41989499999994
1881,Whitehaven,4,54.5496990000001,-3.58923300000004
1881,BIDEFORD,4,51.0166840000001,-4.20666599999998
1881,WELLS,4,51.209347,-2.64459790000001
1881,Ipswich,3,52.056736,1.14822000000004
1881,Harwich,3,51.9347310000001,1.26029700000004
1881,Peterhead,3,57.5065199884148,-1.79653335449211
1881,Chester,3,53.1933920000001,-2.8930749999999
1881,Beaumaris,3,53.2658650000001,-4.09199000000001
1881,Galway,3,53.269014434,-9.04777257699993
1881,Ayr,3,55.4703747229195,-4.63760140747054
1881,MEMEL FIR,3,,
1881,LYTTELTON,3,,
1881,Lancaster,2,54.046575,-2.8007399
1881,J. G. W-[?],2,,
1881,Teignmouth,2,50.5470330000001,-3.49668799999984
1881,Perth,2,56.3958320136505,-3.43183501586907
1881,KIRKWALL,2,,
1881,COLERAINE,2,,
1881,Penzance,2,50.118798,-5.53759199999996
1881,Scarborough,2,54.283113,-0.399751999999978
1881,Fraserburgh,2,,
1881,DARTMOUTH,2,50.352517,-3.57880699999998
1881,Colchester,2,51.895927,0.891874000000087
1881,Ardrossan,2,55.6481390173549,-4.80960840777251
1881,Banff,2,,
1881,DECEMBER,2,,
1881,Bridgwater,1,51.1326558933295,-3.00590651324461
1881,-R. W. [?],1,,
1881,Arbroath,1,56.5628888704369,-2.59099889825813
1881,ST. DAVID'S,1,,
1881,Aberystwith,1,,
1881,Dundalk,1,,
1881,DROGHEDA,1,,
1881,Littlehampton,1,50.811057,-0.538660899999968
1881,Whitby,1,54.4863350000001,-0.613346999999919
1881,Ramsey (Isle Of Man),1,,
1881,Barnstaple,1,51.0784564808267,-4.06095583599865
1881,Folkestone,1,51.081397,1.16945599999991
1881,FORT GLASGOW,1,,
1881,Tralee,1,,
1881,DIVIDEND,1,,
1881,NEW ROSS,1,,
1882,Liverpool,34,53.4083714,-2.99157259999998
1882,Bristol,33,51.4545130000001,-2.58790999999997
1882,Grimsby,27,53.5674710000001,-0.0807839999998805
1882,Tyne,6,55.0179189721861,-1.42556335449211
1882,Exeter,6,50.7184120000001,-3.53389899999991
1882,London,5,51.5073509000001,-0.127758299999982
1882,Plymouth,5,50.3754565,-4.14265649999993
1882,Newport,4,51.584151,-2.99766399999993
1882,Swansea,4,51.62144,-3.94364599999994
1882,Hull,4,53.7456708999999,-0.336741299999971
1882,Shoreham,3,,
1882,Sunderland,3,54.9068690000001,-1.38380099999989
1882,Portsmouth,3,50.8197675000001,-1.0879769
1882,Dover,3,51.1278758,1.31340270000004
1882,Newhaven,2,50.79307,0.0455740000000446
1882,Southampton,2,50.9097004,-1.40435090000005
1882,Penzance,2,50.118798,-5.53759199999996
1882,BIDEFORD,2,51.0166840000001,-4.20666599999998
1882,Stockton,1,,
1882,Middlesbrough,1,54.5742270000001,-1.23495600000001
1882,RYE,1,50.949708,0.737260000000049
1882,Lynn,1,52.7516798,0.402296300000103
1882,Maryport,1,54.714441,-3.49494000000004
1882,Montrose,1,56.7213304436428,-2.46576667724605
1883,London,1986,51.5073509000001,-0.127758299999982
1883,Grimsby,1966,53.5674710000001,-0.0807839999998805
1883,Liverpool,1558,53.4083714,-2.99157259999998
1883,Tyne,1424,55.0179189721861,-1.42556335449211
1883,Newport,959,51.584151,-2.99766399999993
1883,Dundee,834,56.4612028818325,-2.96765932817017
1883,Bristol,759,51.4545130000001,-2.58790999999997
1883,Borrowstounness,575,56.0191848626102,-3.60281840209956
1883,Poole,515,50.7150500000001,-1.98724800000002
1883,Lynn,370,52.7516798,0.402296300000103
1883,Inverness,368,57.4827277738256,-4.22737025390621
1883,Greenock,366,55.9505077629267,-4.75971798437838
1883,Wick,302,58.4430600485415,-3.09285166137693
1883,Stockton,240,,
1883,Montrose,202,56.7213304436428,-2.46576667724605
1883,Dublin,157,53.346388727,-6.21662037199997
1883,Sligo,140,54.277488562,-8.48034919799994
1883,Goole,136,53.7029410000001,-0.876380999999981
1883,Fowey,131,50.3349900000001,-4.63652499999995
1883,Fleetwood,129,53.9154477593217,-3.01331410565124
1883,Wexford,95,52.3386830540001,-6.45647567999993
1883,Londonderry,83,55.0114105220001,-7.30041944099997
1883,Exeter,75,50.7184120000001,-3.53389899999991
1883,Cork,74,51.9014959520001,-8.44685895399994
1883,Limerick,73,,
1883,Troon,64,55.5444127055824,-4.67361271972649
1883,Dover,61,51.1278758,1.31340270000004
1883,Boston,50,52.9789400000001,-0.0265769999999748
1883,Newry,50,54.1483756060001,-6.32235385399997
1883,Workington,49,54.643569,-3.54275200000001
1883,Leith,45,55.9765554947196,-3.16607291534422
1883,Milford,41,,
1883,WIGTOWN,32,54.8676447222298,-4.44449749206541
1883,Glasgow,30,55.8582389117887,-4.24254728271348
1883,Berwick,30,55.7702420000001,-2.00539499999996
1883,FOR LONDON,28,,
1883,Grangemouth,26,56.0086943296901,-3.71710520629876
1883,Truro,26,50.2631950000001,-5.05104099999994
1883,Alloa,25,56.1163031824617,-3.79518671321335
1883,Cardiff,25,51.4815810000001,-3.17908999999992
1883,Runcorn,23,53.3420780000001,-2.72967299999999
1883,Granton,20,,
1883,Lerwick,20,,
1883,Hull,19,53.7456708999999,-0.336741299999971
1883,Hartlepool (West),17,54.6917449999999,-1.21292600000004
1883,Sunderland,17,54.9068690000001,-1.38380099999989
1883,Swansea,15,51.62144,-3.94364599999994
1883,DIVIDEND,14,,
1883,Middlesbrough,13,54.5742270000001,-1.23495600000001
1883,Cowes,13,50.7627850000001,-1.30053299999997
1883,Kirkcaldy,12,56.109236880424,-3.16149504760739
1883,Gloucester,9,51.8642449,-2.23815599999989
1883,Yarmouth,8,52.1084745429551,1.33582938769132
1883,Aberdeen,8,57.1453346208669,-2.10306332275388
1883,Barrow,8,,
1883,Southampton,8,50.9097004,-1.40435090000005
1883,Newhaven,8,50.79307,0.0455740000000446
1883,Chester,7,53.1933920000001,-2.8930749999999
1883,Llanelly,7,51.680886,-4.16024800000002
1883,Ayr,7,55.4703747229195,-4.63760140747054
1883,Peterhead,7,57.5065199884148,-1.79653335449211
1883,Belfast,6,54.613523371,-5.90696169099994
1883,Wisbech,6,52.666317,0.158797000000163
1883,Whitehaven,6,54.5496990000001,-3.58923300000004
1883,KIRKWALL,5,,
1883,Plymouth,5,50.3754565,-4.14265649999993
1883,Arbroath,5,56.5628888704369,-2.59099889825813
1883,Banff,4,,
1883,Fraserburgh,4,,
1883,Bridgwater,4,51.1326558933295,-3.00590651324461
1883,Folkestone,4,51.081397,1.16945599999991
1883,Rochester,4,51.3880000000001,0.506721000000084
1883,FIUME,4,,
1883,Carnavon,3,53.1432579104494,-4.27657175134273
1883,Falmouth,3,50.152571,-5.06627000000003
1883,Beaumaris,3,53.2658650000001,-4.09199000000001
1883,Penzance,3,50.118798,-5.53759199999996
1883,Colchester,3,51.895927,0.891874000000087
1883,Ipswich,3,52.056736,1.14822000000004
1883,Waterford,3,,
1883,Lowestoft,3,52.481138,1.75344900000016
1883,SEND FOR COPY,3,,
1883,Aberystwith,2,,
1883,Faversham,2,51.3174325831495,0.888274418029924
1883,"PATENTEE AND MANUFACTURER,",2,,
1883,Dundalk,2,,
1883,Galway,2,53.269014434,-9.04777257699993
1883,Shoreham,2,,
1883,Cardigan,2,52.083703,-4.66086399999989
1883,Douglas,2,54.1474883509337,-4.47930775924688
1883,Portsmouth,2,50.8197675000001,-1.0879769
1883,WESTPORT,2,,
1883,Weymouth,1,50.6144279,-2.45762099999996
1883,Whitby,1,54.4863350000001,-0.613346999999919
1883,Port Glasgow,1,,
1883,COLERAINE,1,,
1883,Maryport,1,54.714441,-3.49494000000004
1883,Lancaster,1,54.046575,-2.8007399
1883,Littlehampton,1,50.811057,-0.538660899999968
1883,Ramsgate,1,51.3355450000001,1.41989499999994
1883,Scarborough,1,54.283113,-0.399751999999978
1883,Tralee,1,,
1883,Teignmouth,1,50.5470330000001,-3.49668799999984
1883,Ardrossan,1,55.6481390173549,-4.80960840777251
1883,MAURICE GANDY,1,,
1883,STRANRAER,1,54.9057043138819,-5.01757162963861
1883,SKIBBEREEN,1,,
1883,N DRIVING BELT,1,,
1883,F. W. REYNOLDS & CO. LONDON,1,,
1884,Liverpool,111,53.4083714,-2.99157259999998
1884,London,87,51.5073509000001,-0.127758299999982
1884,Newport,68,51.584151,-2.99766399999993
1884,Tyne,67,55.0179189721861,-1.42556335449211
1884,Dundee,63,56.4612028818325,-2.96765932817017
1884,Bristol,54,51.4545130000001,-2.58790999999997
1884,Grimsby,34,53.5674710000001,-0.0807839999998805
1884,Cork,23,51.9014959520001,-8.44685895399994
1884,Goole,20,53.7029410000001,-0.876380999999981
1884,Borrowstounness,15,56.0191848626102,-3.60281840209956
1884,Greenock,15,55.9505077629267,-4.75971798437838
1884,Poole,14,50.7150500000001,-1.98724800000002
1884,Inverness,13,57.4827277738256,-4.22737025390621
1884,Lynn,10,52.7516798,0.402296300000103
1884,Stockton,9,,
1884,Fleetwood,5,53.9154477593217,-3.01331410565124
1884,Sligo,4,54.277488562,-8.48034919799994
1884,Wick,3,58.4430600485415,-3.09285166137693
1884,Exeter,3,50.7184120000001,-3.53389899999991
1884,Swansea,2,51.62144,-3.94364599999994
1884,Montrose,2,56.7213304436428,-2.46576667724605
1884,Sunderland,2,54.9068690000001,-1.38380099999989
1884,Plymouth,2,50.3754565,-4.14265649999993
1884,Newry,2,54.1483756060001,-6.32235385399997
1884,Milford,2,,
1884,Truro,2,50.2631950000001,-5.05104099999994
1884,Londonderry,2,55.0114105220001,-7.30041944099997
1884,Kirkcaldy,1,56.109236880424,-3.16149504760739
1884,Leith,1,55.9765554947196,-3.16607291534422
1884,Belfast,1,54.613523371,-5.90696169099994
1884,Alloa,1,56.1163031824617,-3.79518671321335
1884,Southampton,1,50.9097004,-1.40435090000005
1884,Glasgow,1,55.8582389117887,-4.24254728271348
1884,Grangemouth,1,56.0086943296901,-3.71710520629876
1884,Wisbech,1,52.666317,0.158797000000163
1884,Dover,1,51.1278758,1.31340270000004
1884,Dublin,1,53.346388727,-6.21662037199997
1885,London,2021,51.5073509000001,-0.127758299999982
1885,Grimsby,1929,53.5674710000001,-0.0807839999998805
1885,Liverpool,1393,53.4083714,-2.99157259999998
1885,Tyne,1078,55.0179189721861,-1.42556335449211
1885,Bristol,962,51.4545130000001,-2.58790999999997
1885,Newport,917,51.584151,-2.99766399999993
1885,Dundee,850,56.4612028818325,-2.96765932817017
1885,Poole,479,50.7150500000001,-1.98724800000002
1885,Stockton,362,,
1885,Borrowstounness,347,56.0191848626102,-3.60281840209956
1885,Greenock,292,55.9505077629267,-4.75971798437838
1885,Lynn,269,52.7516798,0.402296300000103
1885,Inverness,264,57.4827277738256,-4.22737025390621
1885,Goole,261,53.7029410000001,-0.876380999999981
1885,Dublin,177,53.346388727,-6.21662037199997
1885,Montrose,133,56.7213304436428,-2.46576667724605
1885,Wick,121,58.4430600485415,-3.09285166137693
1885,Newry,118,54.1483756060001,-6.32235385399997
1885,Fleetwood,113,53.9154477593217,-3.01331410565124
1885,BORDEN,102,,
1885,Fowey,96,50.3349900000001,-4.63652499999995
1885,Cork,94,51.9014959520001,-8.44685895399994
1885,Boston,92,52.9789400000001,-0.0265769999999748
1885,Exeter,91,50.7184120000001,-3.53389899999991
1885,Deptford,84,,
1885,Sligo,79,54.277488562,-8.48034919799994
1885,Londonderry,70,55.0114105220001,-7.30041944099997
1885,Truro,61,50.2631950000001,-5.05104099999994
1885,Wexford,57,52.3386830540001,-6.45647567999993
1885,Dover,54,51.1278758,1.31340270000004
1885,...GOOLE,52,,
1885,Lerwick,50,,
1885,Limerick,49,,
1885,Workington,39,54.643569,-3.54275200000001
1885,London (Silvertown),30,51.5073509000001,-0.127758299999982
1885,LONDON. DOCKS,28,,
1885,London (London. Docks),27,51.5073509000001,-0.127758299999982
1885,N BELTING,26,,
1885,TILBURY,23,,
1885,Cowes,22,50.7627850000001,-1.30053299999997
1885,TOWER,22,,
1885,Troon,21,55.5444127055824,-4.67361271972649
1885,Milford,20,,
1885,Cliffe,18,,
1885,Berwick,17,55.7702420000001,-2.00539499999996
1885,PORT CLYDE,15,,
1885,EVIE,15,,
1885,WEMYSS,14,,
1885,LOOE,13,50.3570286798092,-4.45492833862304
1885,N.W.R,13,,
1885,OLE COURT,13,,
1885,SECURED,13,,
1885,London (Surrey Commercial Docks),13,51.5073509000001,-0.127758299999982
1885,CLIFF'S CREEK,12,,
1885,INVERGORDON,11,57.6878475545925,-4.16644392846346
1885,BIDEFORD,11,51.0166840000001,-4.20666599999998
1885,BOWEN'S STOURBRIDGE,10,,
1885,FIRE IN LONDON,7,,
1885,CORRECTION,7,,
1885,OXFORD,6,51.7520208999999,-1.2577263
1885,RECEIVING ORDERS,6,,
1885,London (Government Dock Buoys),6,51.5073509000001,-0.127758299999982
1885,TOTNES,5,,
1885,ENSE BELTS,5,,
1885,UBLIN,4,,
1885,TION WRITE TO,4,,
1885,EKS WYZED,4,,
1885,TUNNEL PIER,4,,
1885,SPECIMEN,4,,
1885,London (Tilbury Docks),4,51.5073509000001,-0.127758299999982
1885,ROSCOMMON,4,,
1885,WISEBECK,3,,
1885,BUILDING,3,,
1885,TENBY,3,,
1885,OWEN'S STOURBRIDGE,2,,
1885,LYME,2,,
1885,ST. IVES,2,50.2103283749618,-5.48563635581966
1885,ILESBOURN,2,,
1885,ST. LOW,2,,
1885,WRITE TO,2,,
1885,BORROWSTOWNESS,2,,
1885,SKIBBEREEN,2,,
1885,GOVERNMENT DOCK BUOYS,2,,
1885,PORSTOWN,2,,
1885,BOULOGNE,2,,
1885,ENGINEERS,1,,
1885,OUTPORTS,1,,
1885,Irvine,1,55.618333779517,-4.65659498413083
1885,LYTTLETON,1,,
1885,MORRIS'S,1,,
1886,Liverpool,60,53.4083714,-2.99157259999998
1886,London,38,51.5073509000001,-0.127758299999982
1886,Newport,30,51.584151,-2.99766399999993
1886,Bristol,25,51.4545130000001,-2.58790999999997
1886,Grimsby,24,53.5674710000001,-0.0807839999998805
