port_name,port_type,latitude,longitude,country,notes
'Hambro',origin,,,,
'Orient,origin,,,,
-,origin,,,,
-Riga,origin,,,,
-Wifstawarf,origin,,,,
.,origin,,,,
A Coruña,origin,,,,
ARCHANGEL,origin,,,,
AXIM,origin,,,,
Aagaards,origin,,,,
Aahus,origin,,,,
Aaland,origin,,,,
Aalborg,origin,,,,
Aalesund,origin,,,,
Aamaes,origin,,,,
Aarhus,origin,,,,
Aasgaardstrand,origin,,,,
Aastad,origin,,,,
Abbola,origin,,,,
Aberdeen,origin,,,,
Ablafors,origin,,,,
Abo,origin,,,,
Abord,origin,,,,
Abus,origin,,,,
Aby,origin,,,,
Abyn,origin,,,,
Abyu,origin,,,,
Acorn Yd,origin,,,,
Adelaide,origin,,,,
Adler,origin,,,,
Adolph Michel,origin,,,,
Africa,origin,,,,
Aguste,origin,,,,
Ahla,origin,,,,
Ahlafors,origin,,,,
Ahlators,origin,,,,
Ahlo,origin,,,,
Ahus,origin,,,,
Aimee,origin,,,,
Akyab,origin,,,,
Aland,origin,,,,
Albany,origin,,,,
Alderney,origin,,,,
Alexandria,origin,,,,
Aleyn,origin,,,,
Alfred,origin,,,,
Alfredsham,origin,,,,
Alfredshamn,origin,,,,
Alfredshem,origin,,,,
Algiers,origin,,,,
Algoa Bay,origin,,,,
"Algoa Bay, N.B.",origin,,,,
Allen,origin,,,,
Alloa,origin,,,,
"Alma, N.B",origin,,,,
"Alma, N.B.",origin,,,,
Almeria,origin,,,,
Almvik,origin,,,,
Alne,origin,,,,
"Alne, Ornskjoldsvik",origin,,,,
Altona,origin,,,,
Alufors,origin,,,,
Alvarado,origin,,,,
Alvik,origin,,,,
Ambro',origin,,,,
Amo,origin,,,,
Amsterdam,origin,,,,
Anciola,origin,,,,
Ancona,origin,,,,
Anderini,origin,,,,
Anga,origin,,,,
Angorn,origin,,,,
Anker,origin,,,,
Anna,origin,,,,
Annapolis,origin,,,,
"Annapolis, N. S.",origin,,,,
"Annapolis, N.S.",origin,,,,
Anray,origin,,,,
Antigua,origin,,,,
Antwerp,origin,,,,
Apalachicola,origin,,,,
"Apalachicola, Fla.",origin,,,,
Apeldo,origin,,,,
Apple River,origin,,,,
Ar-ndal,origin,,,,
Arcachin,origin,,,,
Arcachon,origin,,,,
Archachon,origin,,,,
Archangl.,origin,,,,
Arcnangel,origin,,,,
Ardenal,origin,,,,
