original_port,ship_count,category_hint,action,map_to_port,notes
Gamla Karleby,3,likely_variant,,,
Oak Bay,3,likely_variant,,,
Saltkallan,3,likely_variant,,,
"Chatham, N. B.",3,likely_variant,,,
Bruges,3,likely_variant,,,
St. Ana,3,likely_variant,,,
Santa Cruz,3,likely_variant,,,
Bellon,3,likely_variant,,,
Xinestad,3,likely_variant,,,
W. Indies,3,likely_variant,,,
Xtiansand,3,likely_variant,,,
Camarina,3,likely_variant,,,
Alfredsham,3,likely_variant,,,
Dago,3,likely_variant,,,
Fritzoe,3,likely_variant,,,
"Halifax, N.B.",3,likely_variant,,,
"Charleston, S.C.",3,likely_variant,,,
"Caraquet, N.B.",3,likely_variant,,,
"St. John's, N.F.",3,likely_variant,,,
Nevis,3,likely_variant,,,
Baltic,3,likely_variant,,,
Jordan River,3,likely_variant,,,
Ystad,3,likely_variant,,,
River St. Lawrence,3,likely_variant,,,
Leque,3,likely_variant,,,
Mesquer,3,likely_variant,,,
Valparaiso,3,likely_variant,,,
"Jordan River, N.S.",3,likely_variant,,,
Bjornsborg,3,likely_variant,,,
"Bridgewater, N.S.",3,likely_variant,,,
River Quelle,3,likely_variant,,,
Ulenborg,3,likely_variant,,,
"Charleston, U.S.",3,likely_variant,,,
Java,3,likely_variant,,,
"St. Margaret's Bay, N.S.",3,likely_variant,,,
"Pugwash, N.S.",3,likely_variant,,,
St. Eugenia,3,likely_variant,,,
Rodestrand,3,likely_variant,,,
Africa,3,likely_variant,,,
Lilla Vartan,3,likely_variant,,,
"Cocagne, N.B.",3,likely_variant,,,
Marie,3,likely_variant,,,
Vera Cruz,3,likely_variant,,,
Landscrona,3,likely_variant,,,
"St John, N.B.",3,likely_variant,,,
Cuxhaven,3,likely_variant,,,
Barquero,3,likely_variant,,,
"Boston, U.S.",3,likely_variant,,,
Skutekar,3,likely_variant,,,
"Norfolk, Va",3,likely_variant,,,
Karlstad,3,likely_variant,,,
Byake,3,likely_variant,,,
Gustafshamn,3,likely_variant,,,
Halifax and Baltimore,3,likely_variant,,,
"Port Royal, S.C.",3,likely_variant,,,
Christiania and Gothenburg,3,likely_variant,,,
Stavarf,3,likely_variant,,,
Elsinore,3,likely_variant,,,
Trieste and Fiume,3,likely_variant,,,
Astoria,3,likely_variant,,,
"North Port, N.S.",3,likely_variant,,,
Metane,3,likely_variant,,,
Nantes and Bordeaux,3,likely_variant,,,
St. Simon's,3,likely_variant,,,
Bilbao,3,likely_variant,,,
Obbola,3,likely_variant,,,
