port_type,original_port,ship_count,best_match_canonical,similarity_score,normalization_tier,year_range,action,map_to_port,notes,web_search_query
=== INSTRUCTIONS ===,Fill in ACTION column,,Options:,ACCEPT = accept as-is,MAP = map to canonical,ERROR = mark as error,<-- Fill this,"<-- If MAP, specify port here",Optional notes,Copy this to browser
origin,Oresund,1409,Oxelosund,0.750,fuzzy_low,1885-1885,,,,Oresund timber port 1880s
origin,Memel,1406,,,unmapped,1874-1899,,,,Memel timber port 1880s
origin,Gefle,1263,,,unmapped,1874-1899,,,,Gefle timber port 1880s
origin,Archangel,1025,Arkhangelsk,0.800,fuzzy_low,1874-1899,,,,Archangel timber port 1880s
origin,Redon,412,,,unmapped,1877-1899,,,,Redon timber port 1880s
origin,Hennebont,359,,,unmapped,1877-1899,,,,Hennebont timber port 1880s
origin,Drontheim,311,Trondheim,0.778,fuzzy_low,1874-1899,,,,Drontheim timber port 1880s
origin,Auray,245,,,unmapped,1877-1899,,,,Auray timber port 1880s
origin,Vannes,236,,,unmapped,1877-1899,,,,Vannes timber port 1880s
origin,Dram,233,Durham,0.800,fuzzy_low,1874-1889,,,,Dram timber port 1880s
origin,Calmar,165,Kalmar,0.833,fuzzy_low,1874-1899,,,,Calmar timber port 1880s
origin,Westervik,156,Vastervik,0.778,fuzzy_low,1881-1899,,,,Westervik timber port 1880s
origin,l'Orient,155,,,unmapped,1879-1899,,,,l'Orient timber port 1880s
origin,Warberg,150,Marieberg,0.750,fuzzy_low,1881-1899,,,,Warberg timber port 1880s
origin,Richibucto,139,Richibouctou,0.909,fuzzy_medium,1874-1895,,,,Richibucto timber port 1880s
origin,Mandal,138,Arendal,0.769,fuzzy_low,1874-1899,,,,Mandal timber port 1880s
origin,Sandefjord,137,,,unmapped,1875-1899,,,,Sandefjord timber port 1880s
origin,Neder Kalix,136,,,unmapped,1877-1899,,,,Neder Kalix timber port 1880s
origin,Shediac,124,,,unmapped,1874-1899,,,,Shediac timber port 1880s
origin,Bay Verte,121,Bay de Verde,0.762,fuzzy_low,1879-1899,,,,Bay Verte timber port 1880s
origin,Villagarcia,118,,,unmapped,1881-1899,,,,Villagarcia timber port 1880s
origin,Falkenburg,110,Falkenberg,0.900,fuzzy_medium,1875-1899,,,,Falkenburg timber port 1880s
origin,Tonsberg,108,Konigsberg,0.778,fuzzy_low,1875-1899,,,,Tonsberg timber port 1880s
origin,Lorient,105,Kyloren,0.714,fuzzy_low,1877-1899,,,,Lorient timber port 1880s
origin,Monsteras,105,Montreal,0.706,fuzzy_low,1875-1899,,,,Monsteras timber port 1880s
