port_type,port_name,ship_count,action,map_to_port,notes
destination,LONDON AND CONTINENTAL WHARF,11,REVIEW,,Dock/wharf - needs context to determine city
destination,VENEERS OF ALL KINDS,11,ERROR,,OCR error - journal header/advertisement
destination,ROBERT PARKER & CO,11,ERROR,,OCR error - journal header/advertisement
destination,MIDDLESBRO',10,MAP,Middlesbrough,Capitalization fix
destination,SILVERTOWN,10,MAP,Silvertown,Capitalization fix
destination,CARLISLE,10,MAP,Carlisle,Capitalization fix
destination,THE MISSISSIPPI VALLEY,9,ERROR,,OCR error - journal header/advertisement
destination,STRANRAER,9,MAP,Stranraer,Capitalization fix
destination,WIGTOWN,9,MAP,Wigtown,Capitalization fix
destination,PADSTOW,9,MAP,Padstow,Capitalization fix
destination,MILL HOLE,9,,,
destination,BARNARD'S WHARF,9,REVIEW,,Dock/wharf - needs context to determine city
destination,BRANCH YARD AT NEWBURGH,9,ERROR,,OCR error - journal header/advertisement
destination,STOCKHOLM,9,MAP,Stockholm,Capitalization fix
destination,AND ALL VARIETIES OF FANCY WOODS,9,ERROR,,OCR error - journal header/advertisement
destination,GOOLE (WEST),9,MAP,Goole (West),Capitalization fix
destination,ONE,9,ERROR,,OCR error - journal header/advertisement
destination,IN THE WORLD,9,ERROR,,OCR error - journal header/advertisement
destination,WESTPORT,8,MAP,Westport,Capitalization fix
destination,CLIFFE CREEK,8,,,
destination,READING,8,MAP,Reading,Capitalization fix
destination,ROYAL VICTORIA DOCKS,8,REVIEW,,"Dock name - multiple cities, needs human review"
destination,AUSTRALIAN TIMBER TRADE,8,ERROR,,OCR error - journal header/advertisement
destination,ALEXANDRA DOCKS,8,REVIEW,,"Dock name - multiple cities, needs human review"
destination,UNION DOCK,8,REVIEW,,"Dock name - multiple cities, needs human review"
destination,AHOGANY,8,ERROR,,"Commodity name, not a port"
destination,BORDEAUX,8,MAP,Bordeaux,Capitalization fix
destination,EST,8,ERROR,,OCR error - journal header/advertisement
destination,TIMBER FROM CORSICA,8,ERROR,,OCR error - journal header/advertisement
destination,BREWER'S QUAY,7,,,
destination,REGENT'S CANAL,7,,,
destination,DEPTFORD BUOYS,7,REVIEW,,Dock/wharf - needs context to determine city
destination,EAST INDIA DOCKS,7,REVIEW,,Dock/wharf - needs context to determine city
destination,PURFLEET,7,MAP,Purfleet,Capitalization fix
destination,FALKIRK,7,MAP,Falkirk,Capitalization fix
destination,LONDON DOCKS,7,REVIEW,,Dock/wharf - needs context to determine city
destination,ILLUSTRATED CATALOGUES FREE ON APPLICATION,7,ERROR,,OCR error - journal header/advertisement
destination,LIMEHOUSE REACH,7,REVIEW,,Dock/wharf - needs context to determine city
destination,THE STANDARD TIMBER MEASURER,7,ERROR,,OCR error - journal header/advertisement
destination,BEAD,7,ERROR,,"Commodity name, not a port"
destination,MOULDINGS,7,ERROR,,"Commodity name, not a port"
destination,TORUS SKIRTING,7,ERROR,,"Commodity name, not a port"
destination,R & CO,7,ERROR,,OCR error - journal header/advertisement
destination,DALTON,7,,,
destination,NEWPORT MON,7,MAP,Newport (Mon.),Capitalization fix
destination,SOUTH QUEENSFERRY,6,MAP,South Queensferry,Capitalization fix
destination,DOUGLAS (ISLE OF MAN),6,MAP,Douglas (Isle of Man),Capitalization fix
destination,SKIBBEREEN,6,MAP,Skibbereen,Capitalization fix
destination,ERRATUM,6,ERROR,,OCR error - journal header/advertisement
destination,KIRKOALDY,6,MAP,Kirkcaldy,Capitalization fix
destination,SPECIFICATIONS OF THE FOLLOWING HAVE BEEN PUBLISHED,6,ERROR,,OCR error - journal header/advertisement
destination,OAK,6,ERROR,,"Commodity name, not a port"
destination,BOSTON DOCK,6,REVIEW,,"Dock name - multiple cities, needs human review"
destination,RUNCORN DOCK,6,REVIEW,,"Dock name - multiple cities, needs human review"
destination,VENEERS,6,ERROR,,"Commodity name, not a port"
destination,SLAB BOARDS,6,ERROR,,"Commodity name, not a port"
destination,WRITE FOR CATALOGUE,6,ERROR,,OCR error - journal header/advertisement
destination,TRADE MARK,6,ERROR,,OCR error - journal header/advertisement
destination,ST. LOUIS (ANCHOR) BRAND,6,ERROR,,"Commodity name, not a port"
destination,RUNCORN,5,MAP,Runcorn,Capitalization fix
destination,BORROWSTOWNESS,5,MAP,Borrowstounness,Capitalization fix
destination,COTTON'S WHARF,5,REVIEW,,Dock/wharf - needs context to determine city
destination,POLES,5,ERROR,,"Commodity name, not a port"
destination,GOOD FRESH LATHWOOD,5,ERROR,,"Commodity name, not a port"
destination,FRESH POLES,5,ERROR,,"Commodity name, not a port"
destination,SILVER MEDAL,5,ERROR,,OCR error - journal header/advertisement
destination,ERABLE,5,ERROR,,"Commodity name, not a port"
destination,HULL (WEST),5,MAP,Hull (West),Capitalization fix
destination,CONTRACTS OPEN,5,ERROR,,OCR error - journal header/advertisement
destination,DETAILED SPECIFICATION ON APPLICATION,5,ERROR,,OCR error - journal header/advertisement
destination,PRINCE'S DOCK,5,REVIEW,,"Dock name - multiple cities, needs human review"
destination,DRY PINE AND SPRUCE,5,ERROR,,"Commodity name, not a port"
destination,ROATH DOCK,5,REVIEW,,Dock/wharf - needs context to determine city
destination,ADES JOURNAL,5,ERROR,,OCR error - journal header/advertisement
destination,SIR WILLIAM WRIGHT'S DOCK,5,REVIEW,,Dock/wharf - needs context to determine city
destination,EXPORTERS AMERICAN HARDWOOD LUMBER,5,ERROR,,OCR error - journal header/advertisement
destination,COUNTRY ORDERS RECEIVE PROMPT ATTENTION,5,ERROR,,OCR error - journal header/advertisement
destination,FISHERROWS,4,MAP,Fisherrow,Capitalization fix
destination,DUNBAR,4,MAP,Dunbar,Capitalization fix
destination,QUEBEC,4,MAP,Quebec,Capitalization fix
destination,RYE,4,MAP,Rye,Capitalization fix
destination,TRADE ITEMS,4,ERROR,,OCR error - journal header/advertisement
destination,QUEENBOROUGH PIER,4,REVIEW,,Dock/wharf - needs context to determine city
destination,BY SURREY COMMERCIAL DOCKS,4,ERROR,,OCR error - journal header/advertisement
destination,ROTHERHITHE,4,MAP,Rotherhithe,Capitalization fix
destination,HORSLEYDOWN,4,MAP,Horsleydown,Capitalization fix
destination,FRESH WHARF,4,REVIEW,,Dock/wharf - needs context to determine city
destination,CHURCH HOLE,4,,,
destination,STIRLING,4,MAP,Stirling,Capitalization fix
destination,SURREY DOCKS AND WHARVES,4,REVIEW,,Dock/wharf - needs context to determine city
destination,H,4,ERROR,,OCR error - journal header/advertisement
destination,DECK DEALS,4,ERROR,,"Commodity name, not a port"
destination,HORTICULTURAL TIMBER MERCHANT,4,ERROR,,OCR error - journal header/advertisement
destination,IRELAND,4,ERROR,,OCR error - journal header/advertisement
destination,BRUNSWICK DOCK,4,REVIEW,,"Dock name - multiple cities, needs human review"
destination,PLASTERERS' LATHS,4,ERROR,,"Commodity name, not a port"
destination,ST. ANDREW'S DOCK,4,REVIEW,,"Dock name - multiple cities, needs human review"
destination,GARSTON,4,MAP,Garston,Capitalization fix
destination,J. H. ROW... AU,4,ERROR,,OCR error - journal header/advertisement
destination,SANDON DOCK,4,REVIEW,,"Dock name - multiple cities, needs human review"
destination,WELLINGTON DOCK,4,REVIEW,,"Dock name - multiple cities, needs human review"
destination,ALEXANDER DOCK,4,REVIEW,,"Dock name - multiple cities, needs human review"
destination,TONE,4,ERROR,,OCR error - journal header/advertisement
destination,DOCKS AND WHARVES,4,REVIEW,,Dock/wharf - needs context to determine city
destination,COLUMBIA,4,ERROR,,"Commodity name, not a port"
destination,R. M,3,ERROR,,OCR error - journal header/advertisement
destination,ARRIVALS IN DUNDEE,3,ERROR,,OCR error - journal header/advertisement
destination,RAMSEY (ISLE OF MAN),3,MAP,Ramsey (Isle of Man),Capitalization fix
destination,YOUGHAL,3,MAP,Youghal,Capitalization fix
destination,SCOTLAND,3,ERROR,,OCR error - journal header/advertisement
destination,CREDITOR PARTLY SECURED,3,ERROR,,OCR error - journal header/advertisement
destination,GANDY'S PATENT COTTON BELTING,3,ERROR,,OCR error - journal header/advertisement
destination,MAURICE GANDY,3,ERROR,,OCR error - journal header/advertisement
destination,THE GANDY BELT,3,ERROR,,OCR error - journal header/advertisement
destination,LONDON DOCK DELIVERIES,3,ERROR,,OCR error - journal header/advertisement
destination,BELL WHARF,3,REVIEW,,Dock/wharf - needs context to determine city
destination,TILBURY,3,MAP,Tilbury,Capitalization fix
destination,A,3,ERROR,,OCR error - journal header/advertisement
destination,CHARLTON BUOYS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,REGENT'S WHARF,3,REVIEW,,Dock/wharf - needs context to determine city
destination,B. & F. S. WHARF,3,ERROR,,OCR error - journal header/advertisement
destination,SCOTCH SUPPLEMENT,3,ERROR,,OCR error - journal header/advertisement
destination,REGENTS CANAL DOCKS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,EVERY DESCRIPTION OF WOOD ALWAYS IN STOCK,3,ERROR,,OCR error - journal header/advertisement
destination,PREPARED FROM THE DIMENSIONS STATED,3,ERROR,,OCR error - journal header/advertisement
destination,BURGH,3,ERROR,,OCR error - journal header/advertisement
destination,SOUTH DOCK,3,REVIEW,,Dock/wharf - needs context to determine city
destination,SHIELDS (SOUTH),3,MAP,South Shields,Capitalization fix
destination,SPARS,3,ERROR,,"Commodity name, not a port"
destination,TOWN DOCKS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,APPLEDORE,3,MAP,Appledore,Capitalization fix
destination,SEND FOR REFERENCES TO USERS,3,ERROR,,OCR error - journal header/advertisement
destination,GRANGEMOUTH (WEST),3,MAP,Grangemouth (West),Capitalization fix
destination,SIR WM. WRIGHT'S DOCK,3,REVIEW,,Dock/wharf - needs context to determine city
destination,CIRCULAR SAWS,3,ERROR,,OCR error - journal header/advertisement
destination,EAST AND WEST COMMERCIAL DOCKS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,LAVY BROS,3,ERROR,,OCR error - journal header/advertisement
destination,LONDON DOCK,3,REVIEW,,Dock/wharf - needs context to determine city
destination,BEDFORD,3,MAP,Bedford,Capitalization fix
destination,NELSON DOCK,3,REVIEW,,"Dock name - multiple cities, needs human review"
destination,THE SURREY COMMERCIAL DOCKS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,REGISTERED BRAND,3,ERROR,,OCR error - journal header/advertisement
destination,SOUTH WEST INDIA DOCKS,3,REVIEW,,Dock/wharf - needs context to determine city
destination,HERCULANEUM DOCK,3,REVIEW,,"Dock name - multiple cities, needs human review"
destination,AT AVONMOUTH,2,ERROR,,OCR error - journal header/advertisement
destination,WOODBRIDGE,2,MAP,Woodbridge,Capitalization fix
