port_type,port_name,ship_count,action,map_to_port,notes
destination,THE MILLWALL DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,FRANCE,1,,,
destination,E.C,1,,,
destination,EAST WOOD WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,DISTRIBUTION AND ARRANGEMENT OF AGE CLASSES,1,,,
destination,LINDEN WOOD,1,,,
destination,ENAMELLED OR PLAIN,1,,,
destination,ROCKLEBANK DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,OAK WAINSCOT,1,,,
destination,INSURANCE AGAINST EXCESS OF BAD DEBTS,1,,,
destination,ILFRACOMBE,1,,,
destination,APPLEBY,1,,,
destination,LIMITED,1,,,
destination,HARRINGTON,1,,,
destination,WEST HARTLEPOOL (WEST),1,,,
destination,LONGTON DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,POMONA DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BUTE DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,RERS OF SAWS,1,,,
destination,OAK BUTTS,1,,,
destination,BEECH PLANKS,1,,,
destination,VIK,1,,,
destination,BEST TEAK LOGS AND PLANKS,1,,,
destination,TEA,1,,,
destination,BAD DEBTS,1,,,
destination,DEY FLOORING,1,,,
destination,HORNDY DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,CATALOGUES POST FREE,1,,,
destination,MAHOGANY AND FLOATED TIMBER TRADES,1,,,
destination,ORNAMENTAL DESIGNS,1,,,
destination,R TOPS,1,,,
destination,RAILWAY DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,QUEBEC DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,ALFRED DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,CROSSBY DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,SURG,1,,,
destination,ARCHG,1,,,
destination,SQ,1,,,
destination,PINE DOORS,1,,,
destination,AUSTRALIAN FORESTRY,1,,,
destination,BRIDPORT,1,,,
destination,APPLEDOORE,1,,,
destination,OBITUARY,1,,,
destination,MIDDLESBRO,1,,,
destination,ND,1,,,
destination,ST. ANDREWS DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,KINGS LYNN,1,,,
destination,JOINERY OF EVERY DESCRIPTION,1,,,
destination,& CO,1,,,
destination,WIDNES DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,MILFORD HAVEN,1,,,
destination,METHIL (KIRKCALDY),1,,,
destination,NORTH CARRIERS' DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,HORNSEY DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,CONWAY,1,,,
destination,NAL,1,,,
destination,NEWHAVEN & LEWES,1,,,
destination,ROYAL VICTORIA DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,AFRICAN MAHOGANY,1,,,
destination,AMERICAN WHITEWOOD BOARDS,1,,,
destination,BRITISH COLUMBIA,1,,,
destination,TES GIVEN,1,,,
destination,BEAUMORIS,1,,,
destination,MESSRS. GROMOFF & CO,1,,,
origin,Riga,3711,,,
origin,Gothenburg,2830,,,
origin,New York,2296,,,
origin,Quebec,1986,,,
origin,Bordeaux,1938,,,
origin,Sundswall,1751,,,
origin,Christiania,1501,,,
origin,Danzig,1241,,,
origin,Rotterdam,1144,,,
origin,Drammen,1103,,,
origin,Stettin,1029,,,
origin,Montreal,933,,,
origin,Boston,881,,,
origin,Fredrikstad,811,,,
origin,Porsgrund,805,,,
origin,Soderhamn,786,,,
origin,Pensacola,719,,,
origin,Laurvig,664,,,
origin,Christiansand,631,,,
origin,New Orleans,615,,,
origin,Baltimore,603,,,
origin,Kotka,589,,,
origin,Miramichi,579,,,
origin,Bjorneborg,553,,,
origin,Halmstad,552,,,
origin,Arendal,526,,,
origin,Konigsberg,520,,,
origin,Oscarshamn,506,,,
origin,St. Petersburg,500,,,
origin,Bayonne,483,,,
origin,Hudikswall,424,,,
origin,Skien,405,,,
origin,Redon,392,,,
origin,Risoer,387,,,
origin,Stockholm,367,,,
origin,Uleaborg,359,,,
origin,Brevig,344,,,
origin,Hennebont,336,,,
origin,Skelleftea,321,,,
origin,Wyborg,316,,,
origin,Skutskar,316,,,
origin,Philadelphia,306,,,
origin,Lulea,296,,,
origin,Falkenberg,291,,,
origin,Uddevalla,256,,,
origin,Hamburg,252,,,
origin,Auray,243,,,
origin,Helsingfors,233,,,
origin,Mobile,232,,,
origin,Abo,231,,,
origin,Vannes,230,,,
origin,Ljusne,216,,,
origin,Pitea,216,,,
origin,Narva,197,,,
origin,Rangoon,191,,,
origin,St. John,190,,,
origin,Rafso,185,,,
origin,Tvedestrand,181,,,
origin,Kragero,178,,,
origin,St,169,,,
origin,Nyhamn,169,,,
origin,Halifax,157,,,
origin,Nantes,153,,,
origin,Moss,150,,,
origin,Holmestrand,149,,,
origin,Skonvik,146,,,
origin,Trieste,146,,,
origin,Sandarne,145,,,
origin,Darien,144,,,
origin,Onega,142,,,
origin,Mandal,133,,,
origin,Sandefjord,129,,,
origin,Norfolk,129,,,
origin,Shediac,123,,,
origin,Tornea,122,,,
origin,Norrkoping,115,,,
origin,Kemi,112,,,
origin,Newport News,106,,,
origin,Dordt,103,,,
origin,Lorient,101,,,
origin,Bremen,98,,,
origin,Dalhousie,98,,,
origin,Portland,93,,,
origin,Blaye,93,,,
origin,Kramfors,90,,,
origin,Grimstad,89,,,
origin,Belize,87,,,
origin,Pascagoula,87,,,
origin,Kalmar,87,,,
origin,Apalachicola,86,,,
origin,Langesund,85,,,
origin,Arcachon,85,,,
origin,Iggesund,84,,,
origin,Soroka,83,,,
origin,Hommelvik,83,,,
origin,Quimper,80,,,
origin,Jamaica,79,,,
origin,Bathurst,79,,,
origin,Antwerp,79,,,
origin,Pauillac,77,,,
origin,Minatitlan,76,,,
origin,Odessa,74,,,
origin,Carlscrona,74,,,
origin,Saguenay,73,,,
origin,Holmsund,73,,,
origin,Amsterdam,73,,,
origin,Namsos,73,,,
origin,Dieppe,72,,,
origin,Savannah,71,,,
origin,Nederkalix,70,,,
origin,Umea,69,,,
origin,Husum,69,,,
origin,San Francisco,68,,,
origin,Demerara,67,,,
origin,Borga,66,,,
origin,La Rochelle,65,,,
origin,Hambro',63,,,
origin,Pugwash,61,,,
origin,Hallsta,61,,,
origin,Doboy,60,,,
origin,Ferrol,59,,,
origin,Nordmaling,58,,,
origin,Domsjo,58,,,
origin,Morlaix,58,,,
origin,Carlskrona,57,,,
origin,Copenhagen,55,,,
origin,Lovisa,54,,,
origin,Chatham,54,,,
origin,Moulmein,53,,,
origin,Bollsta,53,,,
origin,Charleston,52,,,
origin,Drobak,52,,,
origin,Mediterranean,51,,,
origin,Langror,50,,,
origin,St. Nazaire,50,,,
origin,Harnas,50,,,
origin,Carril,50,,,
origin,Figeholm,49,,,
origin,ST,49,,,
origin,Nyvik,48,,,
origin,St. Malo,48,,,
origin,L'Orient,48,,,
origin,Metis,47,,,
origin,Rochefort,47,,,
origin,Muros,47,,,
origin,Marseilles,46,,,
origin,Pillau,45,,,
origin,Haparanda,45,,,
origin,Stocka,43,,,
origin,Lillesand,43,,,
origin,Buctouche,42,,,
origin,Hernosaud,42,,,
origin,Sannesund,41,,,
origin,Fredrikshamn,41,,,
origin,Sundsvall,40,,,
origin,W. C. Africa,40,,,
origin,Rugenwalde,39,,,
origin,Torefors,37,,,
origin,Colberg,37,,,
origin,La Tremblade,37,,,
origin,Nyland,36,,,
origin,Simo,36,,,
origin,Westerwik,36,,,
origin,Sandvik,36,,,
origin,Mem,35,,,
origin,Sarpsborg,34,,,
origin,Matane,33,,,
origin,Puebla,33,,,
origin,GEFLE,33,,,
origin,Sheet Harbour,32,,,
origin,Paimpol,31,,,
origin,Finnklippan,31,,,
origin,Dordrecht,31,,,
origin,Rivadeo,31,,,
origin,Ahlafors,30,,,
origin,West Bay,30,,,
origin,Stugsund,30,,,
origin,Santa Ana,29,,,
origin,Pataholm,29,,,
origin,Ornskoldsvik,29,,,
origin,"Bathurst, N.B.",29,,,
origin,Risor,29,,,
origin,Oxelosund,28,,,
origin,Christinestad,27,,,
origin,Pernau,27,,,
origin,Munksund,26,,,
origin,Hernsand,26,,,
origin,Frano,26,,,
origin,Bangkok,26,,,
origin,Quebec and Montreal,25,,,
origin,Byske,25,,,
origin,Attu,25,,,
origin,Hernossand,25,,,
origin,Pernoviken,25,,,
origin,Trangsund,25,,,
origin,Bahia,24,,,
origin,Malmo,24,,,
origin,Waterford,24,,,
origin,Laguna,23,,,
origin,Genoa,23,,,
origin,Svartvik,23,,,
origin,Lappvik,23,,,
origin,Bersimis,23,,,
origin,Pictou,23,,,
origin,Colombo,22,,,
origin,Bangor,22,,,
origin,Slite,22,,,
origin,Musquash,22,,,
origin,Hango,22,,,
origin,Timmernabben,22,,,
origin,Colon,22,,,
origin,Kem,22,,,
origin,Fernandina,21,,,
origin,Dunkirk,21,,,
origin,New Richmond,21,,,
origin,Sydney,20,,,
origin,Madras,20,,,
origin,Abyn,20,,,
origin,Calcutta,20,,,
origin,Djupvik,20,,,
origin,Wanevik,20,,,
origin,Singapore,19,,,
origin,Brunswick,19,,,
origin,Stromstad,19,,,
origin,Stockasag,19,,,
origin,Brest,19,,,
origin,Weener,19,,,
origin,"Newcastle, N.B.",19,,,
origin,Asbacka,18,,,
origin,Jacobstadt,18,,,
origin,St. Thomas,18,,,
origin,"Pictou, N.S.",18,,,
origin,"West Bay, N.S.",18,,,
origin,"Dalhousie, N.B.",18,,,
origin,"Parrsboro', N.S.",18,,,
origin,Sapelo,18,,,
origin,West Indies,17,,,
origin,Holmstad,17,,,
origin,Ranea,17,,,
origin,Arno,17,,,
origin,Chicontimi,17,,,
origin,Furuogrund,17,,,
origin,Campbellton,17,,,
origin,Sund,16,,,
origin,Tonala,16,,,
origin,Kingston,16,,,
origin,Skeppsvik,16,,,
origin,Leghorn,16,,,
origin,Goteborg,16,,,
origin,"Miramichi, N.B.",16,,,
origin,Ship Island,16,,,
origin,Wasa,15,,,
origin,Venice,15,,,
origin,Hambro,15,,,
origin,Aasgaardstrand,15,,,
origin,Sikea,15,,,
origin,Westerwick,15,,,
origin,St. John's,15,,,
origin,Rouen,15,,,
origin,Wisby,15,,,
origin,Boulogne,15,,,
origin,Koja,15,,,
origin,DRAM,15,,,
origin,Old Calabar,14,,,
origin,Galveston,14,,,
origin,Cienfuegos,14,,,
origin,Sandefiord,14,,,
origin,Salsaker,14,,,
origin,Gottenburg,14,,,
origin,Fredrickstadt,14,,,
origin,Kopmanholmen,14,,,
origin,Stromfors,14,,,
origin,W.C. Africa,14,,,
origin,Carlsvik,14,,,
origin,Flushing,14,,,
origin,Aalborg,14,,,
origin,Bergen,14,,,
origin,Bure,14,,,
origin,FREDRIKSHALD,14,,,
origin,W,13,,,
origin,Stromnas,13,,,
origin,Manilla,13,,,
origin,Saltvik,13,,,
origin,Frederikstadt,13,,,
origin,Charente,13,,,
origin,Landerneau,13,,,
origin,Christinestadt,13,,,
origin,Sault,13,,,
origin,Werkeback,13,,,
origin,Dantzie,13,,,
origin,Donelan,13,,,
origin,St. Estephe,13,,,
origin,Laguna de Terminos,12,,,
origin,Norway,12,,,
origin,Tunadal,12,,,
origin,Bangsund,12,,,
origin,Gustafsberg,12,,,
origin,Marieberg,12,,,
origin,"Bay Verte, N.B.",12,,,
origin,Rimouski,12,,,
origin,Batvik,12,,,
origin,Gamleby,12,,,
origin,Truxillo,11,,,
origin,Petersburg,11,,,
origin,Frederickstadt,11,,,
origin,Sandviken,11,,,
origin,Svelvig,11,,,
origin,Maracaibo,11,,,
origin,Raumo,11,,,
origin,Gnarp,11,,,
origin,Buenos Ayres,11,,,
origin,Tremblade,11,,,
origin,Richmond,10,,,
origin,Gothenberg,10,,,
origin,Brake,10,,,
origin,Sackville,10,,,
origin,Youghal,10,,,
origin,F'shald,10,,,
origin,Reval,10,,,
origin,Aarhuus,10,,,
origin,Trehiguier,10,,,
origin,Trouville,10,,,
origin,Treport,10,,,
origin,Batiscan,10,,,
origin,Parrsborough,10,,,
origin,Pyterlaks,10,,,
origin,Fagervik,10,,,
origin,Snaroen,10,,,
origin,Wederlaks,10,,,
origin,Magdalen River,9,,,
origin,Sprangsviken,9,,,
origin,Ship Harbour,9,,,
origin,Burea,9,,,
origin,Tabasco,9,,,
origin,Essviken,9,,,
origin,Norrsundet,9,,,
origin,Gideabacka,9,,,
origin,Pontaven,9,,,
origin,Kalix,9,,,
origin,Wilmington,9,,,
origin,Pont L'Abbe,9,,,
origin,Nuevitas,9,,,
origin,"Shediac, N.B.",9,,,
origin,Port Royal,9,,,
origin,Montreal and Quebec,9,,,
origin,Oplo,9,,,
origin,Caraminal,9,,,
origin,St. Domingo,9,,,
origin,Caen,9,,,
origin,Sada,9,,,
origin,Sevastopol,9,,,
origin,St. Etienne,9,,,
origin,Ahus,9,,,
origin,ARCHANGEL,9,,,
origin,Harburg,8,,,
origin,Mexico,8,,,
origin,Helsingborg,8,,,
origin,Newcastle,8,,,
origin,Bridgwater,8,,,
origin,Douarnenez,8,,,
origin,Soon,8,,,
origin,St. P'burg,8,,,
origin,Wifsta Warf,8,,,
origin,Paskallavik,8,,,
origin,Bindalen,8,,,
origin,Caraquet,8,,,
origin,Ornskjoldvik,8,,,
origin,Hamnholmen,8,,,
origin,Bay de Verte,8,,,
origin,Camarinas,8,,,
origin,Lisbon,8,,,
origin,"Richibucto, N.B.",8,,,
origin,Essvik,8,,,
origin,Ghent,8,,,
origin,Nykarleby,8,,,
origin,"Campbellton, N.B.",8,,,
origin,Halifax and Philadelphia,8,,,
origin,Blankaholm,8,,,
origin,Kovda,8,,,
origin,Tupilco,7,,,
origin,Gaspe,7,,,
origin,Charlottetown,7,,,
origin,Bridgewater,7,,,
origin,Taganrog,7,,,
origin,Charlestown,7,,,
origin,Wifstavarf,7,,,
origin,Tillingnabben,7,,,
origin,Lysekil,7,,,
origin,Fredrickshald,7,,,
origin,Drag,7,,,
origin,"Weymouth, N.S.",7,,,
origin,Forsgrund,7,,,
origin,"Buctouche, N.B.",7,,,
origin,"Yarmouth, N.S.",7,,,
origin,Karlskrona,7,,,
origin,Uto,7,,,
origin,"Brunswick, Ga.",7,,,
origin,Schiedam,7,,,
origin,"Musquash, N.B.",7,,,
origin,River Ouelle,7,,,
origin,Lugnvik,7,,,
origin,Solstadstrom,7,,,
origin,Alne,7,,,
origin,Sando,7,,,
origin,Pentecost,7,,,
origin,Odense,7,,,
origin,Ramvik,7,,,
origin,Sornas,7,,,
origin,"Portland, Me.",7,,,
origin,Ny Carleby,6,,,
origin,Wiscasset,6,,,
origin,Bermuda,6,,,
origin,Summerside,6,,,
origin,Annapolis,6,,,
origin,Sweden,6,,,
origin,Ekenas,6,,,
origin,Havana,6,,,
origin,Svano,6,,,
origin,Barahona,6,,,
origin,Lockno,6,,,
origin,Weymouth,6,,,
origin,Parrsbro',6,,,
origin,F'stadt,6,,,
origin,Southampton,6,,,
origin,Louvain,6,,,
origin,Oskarshamn,6,,,
origin,Nykoping,6,,,
origin,Brahestad,6,,,
origin,Wiborg,6,,,
origin,Treguier,6,,,
origin,Konigsburg,6,,,
origin,Brussels,6,,,
origin,"Ship Harbour, N.S.",6,,,
origin,Auckland,6,,,
origin,"Campbeltown, N.B.",6,,,
origin,"Guysborough, N.S.",6,,,
origin,Hull,6,,,
origin,Bombay,6,,,
origin,Warburg,6,,,
origin,Old Harbour,6,,,
origin,Jerfed,6,,,
origin,Catania,6,,,
origin,Grand Pabos,6,,,
origin,"Economy, N.S.",6,,,
origin,Berbice,6,,,
origin,Brazil,6,,,
origin,Campbeltown,6,,,
origin,Kubikenborg,6,,,
origin,Nystad,6,,,
origin,"Portland, O.",6,,,
origin,Brunne,6,,,
origin,Alfredshem,6,,,
origin,West Point,6,,,
origin,Tacoma,6,,,
origin,Skein,6,,,
origin,Dal,6,,,
origin,"Portland, M.",6,,,
origin,LAGUNA,6,,,
origin,Fremantle,6,,,
origin,SWARTWIK,6,,,
origin,Christianopel,6,,,
origin,Mariehamn,6,,,
origin,Twedestrand,5,,,
origin,Escoumains,5,,,
origin,Stolpemunde,5,,,
origin,Akyab,5,,,
origin,Sandiefiord,5,,,
origin,Cocagne,5,,,
origin,Melbourne,5,,,
origin,Fredrickshamn,5,,,
origin,Sherbrooke,5,,,
origin,Mauritius,5,,,
origin,New Ross,5,,,
origin,Rusoer,5,,,
origin,Black River,5,,,
origin,Dalkarlsa,5,,,
origin,Hornefors,5,,,
origin,Oporto,5,,,
origin,St. Mary's,5,,,
origin,Betsiamitz,5,,,
origin,Cardenas,5,,,
origin,N. York,5,,,
origin,Brahestadt,5,,,
origin,Belon,5,,,
origin,P. E. Island,5,,,
origin,"Sheet Harbour, N.S.",5,,,
origin,Kristinestad,5,,,
origin,Brisbane,5,,,
origin,"Liscombe, N.S.",5,,,
origin,Tlacotalpam,5,,,
origin,Meschers,5,,,
origin,Grimsby,5,,,
origin,Sunderland,5,,,
origin,Corcubion,5,,,
origin,Concarneau,5,,,
origin,Furnogrund,5,,,
origin,Chicoutimi,5,,,
origin,Trondhjem,5,,,
origin,Honfleur,5,,,
origin,Aland,5,,,
origin,Port Louis,5,,,
origin,Harg,5,,,
origin,Cherbourg,5,,,
origin,"St. John, N B.",5,,,
origin,"Charlotte Town, P.E.I.",5,,,
origin,"Portland, Maine",5,,,
origin,Alexandria,5,,,
origin,"Hillsboro', N.B.",5,,,
origin,Audierne,5,,,
origin,Berggvara,5,,,
origin,Oregrund,5,,,
origin,Kaunissaari,5,,,
origin,Makslaks,5,,,
origin,Cape Tormentine,5,,,
origin,LIBAU,5,,,
origin,Knysna,5,,,
origin,Acorn Yd,5,,,
origin,Panillac,5,,,
origin,Orkedalsoren,4,,,
origin,Cochin,4,,,
origin,Lyngoer,4,,,
origin,Punta Arenas,4,,,
origin,Hobart Town,4,,,
origin,Ostrand,4,,,
origin,Finland,4,,,
origin,Fredriksham,4,,,
origin,Nedercalix,4,,,
origin,Northport,4,,,
origin,Liscomb,4,,,
origin,Galway,4,,,
origin,Caraquette,4,,,
origin,Fredrickshaldt,4,,,
origin,Cork,4,,,
origin,San Domingo,4,,,
origin,Frontera,4,,,
origin,R. Bernard,4,,,
origin,Xiansand,4,,,
origin,Noya,4,,,
origin,Wiener,4,,,
origin,Muhlgraben,4,,,
origin,Villa Garcia,4,,,
origin,St. Ignace,4,,,
origin,"Sackville, N.B.",4,,,
origin,Bay of Islands,4,,,
origin,Christianople,4,,,
origin,"Bridgwater, N.S.",4,,,
origin,"Guysboro', N.S.",4,,,
origin,Landgangen,4,,,
origin,Pernaviken,4,,,
origin,"Caraquet, N.B.",4,,,
origin,Vancouver's Island,4,,,
origin,Faon,4,,,
origin,Puerto Cortez,4,,,
origin,Harlingen,4,,,
origin,Vlaardingen,4,,,
origin,Frontera de Tabasco,4,,,
origin,Kungsgarden,4,,,
origin,Savenas,4,,,
origin,St. Lucia,4,,,
origin,Esbjerg,4,,,
origin,Sanda,4,,,
origin,"Sherbrooke, N.S.",4,,,
origin,Ulfvik,4,,,
origin,Ostende,4,,,
origin,"Campbelltown, N.B.",4,,,
origin,Bremerhaven,4,,,
origin,Shanghai,4,,,
origin,Stavanger,4,,,
origin,Newport,4,,,
origin,Karlscrona,4,,,
origin,Koping,4,,,
origin,Vivero,4,,,
origin,Papenburg,4,,,
origin,Puget Sound,4,,,
origin,Abus,4,,,
origin,Binic,4,,,
origin,St. Simons,4,,,
origin,Karlshamn,4,,,
origin,Nacka,4,,,
origin,Santa Eugenia,4,,,
origin,Tunas de Zaza,4,,,
origin,St. Margaret's Bay,4,,,
origin,Barcelona,4,,,
origin,Villa garcia,4,,,
origin,"Harvey, N.B.",4,,,
origin,FRONTERA,4,,,
origin,PUERTO PLATA,4,,,
origin,Keret,4,,,
origin,Freigo,4,,,
origin,Millwall Dk,4,,,
origin,Sabine Pass,4,,,
origin,Christensen,3,,,
origin,Trinidad,3,,,
origin,Liverpool,3,,,
origin,Tatamagouche,3,,,
origin,Honduras,3,,,
origin,Gamla Carleby,3,,,
origin,Canada,3,,,
origin,Tlacotalpan,3,,,
origin,Calais,3,,,
origin,Wistawarf,3,,,
origin,Axmar,3,,,
origin,Prince Edward Island,3,,,
origin,Landskrona,3,,,
origin,Gaboon,3,,,
origin,Levanger,3,,,
origin,Horten,3,,,
origin,Randers,3,,,
origin,Stockazog,3,,,
origin,Five Islands,3,,,
origin,Soraker,3,,,
origin,Picton,3,,,
origin,Hangesund,3,,,
origin,Nyham,3,,,
origin,Limerick,3,,,
origin,Altona,3,,,
origin,Yarmouth,3,,,
origin,Barnstaple,3,,,
origin,Waya,3,,,
origin,Skutakar,3,,,
origin,Port-au-Prince,3,,,
origin,Lubeck,3,,,
origin,Ronneby,3,,,
origin,Cardiff,3,,,
origin,Poole,3,,,
origin,Nassau,3,,,
origin,Phila,3,,,
origin,G'burg.,3,,,
origin,Dantzio,3,,,
origin,Gamla Karleby,3,,,
origin,Stockavik,3,,,
origin,Oak Bay,3,,,
origin,Saltkallan,3,,,
origin,St. Anna,3,,,
origin,"Chatham, N. B.",3,,,
origin,Bruges,3,,,
origin,St. Ana,3,,,
origin,Halsoen,3,,,
origin,Santa Cruz,3,,,
origin,Bellon,3,,,
origin,Xinestad,3,,,
origin,W. Indies,3,,,
origin,Xtiansand,3,,,
origin,Camarina,3,,,
origin,Alfredsham,3,,,
origin,Dago,3,,,
origin,Fritzoe,3,,,
origin,"Halifax, N.B.",3,,,
origin,"Charleston, S.C.",3,,,
origin,Guysborough,3,,,
origin,"St. John's, N.F.",3,,,
origin,Sandeford,3,,,
origin,Santos,3,,,
origin,Puerto Plata,3,,,
origin,Nevis,3,,,
origin,"Bay Verte, N.S.",3,,,
origin,Baltic,3,,,
origin,Jordan River,3,,,
origin,Ystad,3,,,
origin,River St. Lawrence,3,,,
origin,Leque,3,,,
origin,Mesquer,3,,,
origin,Valparaiso,3,,,
origin,"Jordan River, N.S.",3,,,
origin,Bjornsborg,3,,,
origin,"Bridgewater, N.S.",3,,,
origin,River Quelle,3,,,
origin,Roytta,3,,,
origin,Ulenborg,3,,,
origin,Pabos,3,,,
origin,"Charleston, U.S.",3,,,
origin,Java,3,,,
origin,"St. Margaret's Bay, N.S.",3,,,
origin,"Pugwash, N.S.",3,,,
origin,Rosso,3,,,
origin,St. Eugenia,3,,,
origin,Rodestrand,3,,,
origin,Naske,3,,,
origin,Africa,3,,,
origin,Lilla Vartan,3,,,
origin,"Cocagne, N.B.",3,,,
origin,Marie,3,,,
origin,Vera Cruz,3,,,
origin,Tromstad,3,,,
origin,Landscrona,3,,,
origin,"St John, N.B.",3,,,
origin,Cuxhaven,3,,,
origin,Barquero,3,,,
origin,"Boston, U.S.",3,,,
origin,Skutekar,3,,,
origin,"Norfolk, Va",3,,,
origin,Orkedalen,3,,,
origin,Karlstad,3,,,
origin,Byake,3,,,
origin,Gustafshamn,3,,,
origin,Halifax and Baltimore,3,,,
origin,Newfairwater,3,,,
origin,"Port Royal, S.C.",3,,,
origin,Christiania and Gothenburg,3,,,
origin,Stavarf,3,,,
origin,Elsinore,3,,,
origin,Trieste and Fiume,3,,,
origin,Astoria,3,,,
origin,Sandfjord,3,,,
origin,"North Port, N.S.",3,,,
origin,Metane,3,,,
origin,Anga,3,,,
origin,Wartsala,3,,,
origin,Nantes and Bordeaux,3,,,
origin,St. Simon's,3,,,
origin,Ursvik,3,,,
origin,Bilbao,3,,,
origin,Kallero,3,,,
origin,Obbola,3,,,
origin,Tillingenabben,3,,,
origin,PUNTA ARENAS,3,,,
origin,West Coast Africa,3,,,
origin,Cologne,3,,,
origin,Rio Janeiro,3,,,
origin,Nykjobing,3,,,
origin,MANZANILLO,3,,,
origin,New Brunswick,3,,,
origin,Rockingham,3,,,
origin,Nordkoping,3,,,
origin,Western,3,,,
origin,Axim,3,,,
origin,East London,3,,,
origin,Grindstone Island,3,,,
origin,"Portland, Me",3,,,
origin,"St. John, N B,",3,,,
origin,Lavender Dk,3,,,
origin,Pyttis,2,,,
origin,Svartwik,2,,,
origin,Bonny,2,,,
origin,New River,2,,,
origin,Para,2,,,
origin,Cape Lopez,2,,,
origin,Nynamn,2,,,
origin,.,2,,,
origin,Leer,2,,,
origin,Faaborg,2,,,
origin,Denmark,2,,,
origin,P,2,,,
origin,N,2,,,
origin,Haynasch,2,,,
origin,Georgetown,2,,,
origin,Launig,2,,,
origin,Chiltepec,2,,,
origin,Pillan,2,,,
origin,Gothenborg,2,,,
origin,Windart,2,,,
origin,Tlatocalpan,2,,,
origin,Dorchester,2,,,
origin,Vesteras,2,,,
origin,Ullanger,2,,,
origin,Sandswell,2,,,
origin,West Coast of Africa,2,,,
origin,Risver,2,,,
origin,Tusket,2,,,
origin,Chepstow,2,,,
origin,ends,2,,,
origin,Morant Bay,2,,,
origin,Hietanen,2,,,
origin,Slitehamn,2,,,
origin,Risoe,2,,,
origin,Tain,2,,,
origin,Italy,2,,,
origin,Livingston,2,,,
origin,Fredericksvoern,2,,,
origin,Sodertelje,2,,,
origin,Nyvick,2,,,
origin,St. P'burg.,2,,,
origin,Wicklow,2,,,
origin,Dublin,2,,,
origin,Jemtosund,2,,,
origin,Wybor,2,,,
origin,St. Servan,2,,,
origin,N. Orleans,2,,,
origin,Drogheda,2,,,
origin,Milford,2,,,
origin,Marma,2,,,
origin,Olskoldsvick,2,,,
origin,Forsby,2,,,
origin,Tillinge,2,,,
origin,Nyborg,2,,,
origin,Swartvick,2,,,
origin,Gefle and Skutskar,2,,,
origin,Hakkala,2,,,
origin,Sault au Cochon,2,,,
origin,Kungsgarten,2,,,
origin,Luguvik,2,,,
origin,Klampenborg,2,,,
origin,San Cyprian,2,,,
origin,Gidebacha,2,,,
origin,Emil,2,,,
origin,Stockvik,2,,,
origin,Rander,2,,,
origin,Haynash,2,,,
origin,F'kstad,2,,,
origin,Penzance,2,,,
origin,Luarca,2,,,
origin,Sannes,2,,,
origin,Newfoundland,2,,,
origin,IN,2,,,
origin,Alfredshamn,2,,,
origin,Croisic,2,,,
origin,Xnia,2,,,
origin,Ablafors,2,,,
origin,"Oak Bay, N.B.",2,,,
origin,Langangen,2,,,
origin,Cuba,2,,,
origin,Colbergermunde,2,,,
origin,"Parrsborough, N.S.",2,,,
origin,Waija,2,,,
origin,Johannesvik,2,,,
origin,Aalesund,2,,,
origin,Areachon,2,,,
origin,"Beaufort, S.C.",2,,,
origin,Egersund,2,,,
origin,"St. Mary's, Georgia",2,,,
origin,Baddeck,2,,,
origin,Hennebout,2,,,
origin,Skutvik,2,,,
origin,Tornes,2,,,
origin,Alvik,2,,,
origin,Eloby,2,,,
origin,Eatonville,2,,,
origin,"Sheet Harbour, N.B.",2,,,
origin,Zaza,2,,,
origin,Halmestrand,2,,,
origin,Caramenal,2,,,
origin,St. Jago de Cuba,2,,,
origin,"Brunswick, Georgia",2,,,
origin,Le'que,2,,,
origin,Legue,2,,,
origin,Spain,2,,,
origin,Antigua,2,,,
origin,Launay,2,,,
origin,Canarinas,2,,,
origin,Cabenda,2,,,
origin,Stenkjoer,2,,,
origin,Portsal,2,,,
origin,Katthammaravik,2,,,
origin,Trehiguer,2,,,
origin,Bstaiamitz,2,,,
origin,"Joggins, N.S.",2,,,
origin,St. Petersburg Town,2,,,
origin,Stocks,2,,,
origin,Harnosand,2,,,
origin,Framnas,2,,,
origin,Boston and Halifax,2,,,
origin,Landernau,2,,,
origin,Minititlan,2,,,
origin,Kaurnussaari,2,,,
origin,Katthammarsvik,2,,,
origin,Trinidad de Cuba,2,,,
origin,Grand Palios,2,,,
origin,Sundarne,2,,,
origin,Vancouver,2,,,
origin,St. Vaast,2,,,
