port_type,port_name,ship_count
origin,Antwerp,86
origin,Soroka,84
origin,Pauillac,82
origin,Jamaica,81
origin,Bathurst,79
origin,Minatitlan,78
origin,Carlscrona,78
origin,Amsterdam,77
origin,Dieppe,76
origin,Namsos,75
origin,Odessa,74
origin,Saguenay,73
origin,Holmsund,73
origin,Nederkalix,72
origin,Husum,72
origin,Borga,71
origin,Savannah,71
origin,Umea,69
origin,Demerara,69
origin,San Francisco,68
origin,Hambro',66
origin,Hallsta,64
origin,Pugwash,63
origin,Nordmaling,63
origin,Doboy,61
origin,Carlskrona,61
origin,Domsjo,61
origin,Lovisa,57
origin,Copenhagen,56
origin,Chatham,54
origin,Moulmein,54
origin,St. Nazaire,53
origin,Harnas,52
origin,Nyvik,51
origin,Carril,51
origin,Langror,51
origin,ST,51
origin,Rochefort,50
origin,St. Malo,50
origin,L'Orient,49
origin,Metis,48
origin,Marseilles,48
origin,Muros,47
origin,Lillesand,47
origin,Haparanda,46
origin,Pillau,45
origin,Stocka,44
origin,Fredrikshamn,44
origin,Hernosaud,42
origin,Sannesund,41
origin,Sundsvall,41
origin,W. C. Africa,41
origin,Torefors,39
origin,Rugenwalde,39
origin,La Tremblade,39
origin,Sandvik,38
origin,Nyland,38
origin,Westerwik,37
origin,Simo,36
origin,Matane,35
origin,Sarpsborg,34
origin,Paimpol,34
origin,GEFLE,34
origin,Puebla,33
origin,Rivadeo,33
origin,Sheet Harbour,32
origin,West Bay,31
origin,Finnklippan,31
origin,Ahlafors,30
origin,Risor,30
origin,"Bathurst, N.B.",30
origin,Stugsund,30
origin,Pataholm,29
origin,Christinestad,29
origin,Oxelosund,29
origin,Ornskoldsvik,29
origin,Santa Ana,29
origin,Pernau,28
origin,Bangkok,28
origin,Byske,27
origin,Munksund,27
origin,Hernsand,27
origin,Attu,26
origin,Frano,26
origin,Malmo,25
origin,Quebec and Montreal,25
origin,Hernossand,25
origin,Trangsund,25
origin,Pernoviken,25
origin,Slite,24
origin,Bangor,24
origin,Lappvik,24
origin,Bersimis,24
origin,Svartvik,24
origin,Bahia,24
origin,Colon,24
origin,Colombo,23
origin,Laguna,23
origin,Genoa,23
origin,Pictou,23
origin,Timmernabben,23
origin,Kem,23
origin,Musquash,22
origin,Hango,22
origin,New Richmond,22
origin,Dunkirk,22
origin,Fernandina,21
origin,Brunswick,21
origin,Abyn,21
origin,Chicontimi,21
origin,Campbellton,21
origin,Weener,21
origin,Djupvik,21
origin,Calcutta,21
origin,Sydney,20
origin,Madras,20
origin,"West Bay, N.S.",20
origin,Brest,20
origin,Wanevik,20
origin,Singapore,19
origin,Stromstad,19
origin,Skeppsvik,19
origin,"Dalhousie, N.B.",19
origin,St. Thomas,19
origin,Stockasag,19
origin,"Newcastle, N.B.",19
origin,Sapelo,19
origin,Arno,18
origin,"Parrsboro', N.S.",18
origin,Asbacka,18
origin,Furuogrund,18
origin,Jacobstadt,18
origin,Ranea,18
origin,"Pictou, N.S.",18
origin,West Indies,17
origin,Sund,17
origin,Koja,17
origin,"Miramichi, N.B.",17
origin,Ship Island,17
origin,Sikea,17
origin,Holmstad,17
origin,Kingston,17
origin,Leghorn,17
origin,Tonala,16
origin,Venice,16
origin,Hambro,16
origin,Goteborg,16
origin,Flushing,16
origin,Carlsvik,16
origin,Salsaker,15
origin,Rouen,15
origin,Aasgaardstrand,15
origin,Old Calabar,15
origin,Wasa,15
origin,Sault,15
origin,Wisby,15
origin,Boulogne,15
origin,Westerwick,15
origin,St. John's,15
origin,Stromfors,15
origin,DRAM,15
origin,Cienfuegos,14
origin,Fredrickstadt,14
origin,Sandefiord,14
origin,Bure,14
origin,Aalborg,14
origin,Galveston,14
origin,Kopmanholmen,14
origin,Frederikstadt,14
origin,Stromnas,14
origin,Christinestadt,14
origin,Gottenburg,14
origin,W.C. Africa,14
origin,Donelan,14
origin,Bergen,14
origin,FREDRIKSHALD,14
origin,W,13
origin,Landerneau,13
origin,Werkeback,13
origin,Saltvik,13
origin,Marieberg,13
origin,Manilla,13
origin,Dantzie,13
origin,Charente,13
origin,Bangsund,13
origin,St. Estephe,13
origin,Norway,12
origin,Tunadal,12
origin,Sandviken,12
origin,Batvik,12
origin,Gamleby,12
origin,Gustafsberg,12
origin,"Bay Verte, N.B.",12
origin,Laguna de Terminos,12
origin,Rimouski,12
origin,Buenos Ayres,11
origin,Pyterlaks,11
origin,Gnarp,11
origin,Tremblade,11
origin,Richmond,11
origin,Truxillo,11
origin,Trouville,11
origin,Aarhuus,11
origin,Frederickstadt,11
origin,Petersburg,11
origin,Svelvig,11
origin,Batiscan,11
origin,Maracaibo,11
origin,St. Domingo,11
origin,Raumo,11
origin,Bay de Verte,10
origin,Wilmington,10
origin,Brake,10
origin,Parrsborough,10
origin,Ship Harbour,10
origin,Reval,10
origin,Sackville,10
origin,Treport,10
origin,Gothenberg,10
origin,Youghal,10
origin,Fagervik,10
origin,F'shald,10
origin,Trehiguier,10
origin,Nuevitas,10
origin,Snaroen,10
origin,Wederlaks,10
origin,Caen,9
origin,Tabasco,9
origin,Burea,9
origin,Port Royal,9
origin,Kalix,9
origin,Gideabacka,9
origin,Sprangsviken,9
origin,Ornskjoldvik,9
origin,Sada,9
origin,Magdalen River,9
origin,"Shediac, N.B.",9
origin,Sevastopol,9
origin,Montreal and Quebec,9
origin,Essviken,9
origin,Ghent,9
origin,"Campbellton, N.B.",9
origin,Pont L'Abbe,9
origin,Oplo,9
origin,Soon,9
origin,Pontaven,9
origin,Paskallavik,9
origin,Norrsundet,9
origin,Caraminal,9
origin,Ahus,9
origin,St. Etienne,9
origin,ARCHANGEL,9
origin,Blankaholm,9
origin,Kovda,9
origin,Harburg,8
origin,Ramvik,8
origin,Bridgwater,8
origin,Camarinas,8
origin,Caraquet,8
origin,Lisbon,8
origin,Newcastle,8
origin,Drag,8
origin,Douarnenez,8
origin,Mexico,8
origin,Odense,8
origin,Schiedam,8
origin,Bindalen,8
origin,Lugnvik,8
origin,"Richibucto, N.B.",8
origin,Tillingnabben,8
origin,St. P'burg,8
origin,Wifsta Warf,8
origin,Hamnholmen,8
origin,Essvik,8
origin,"Musquash, N.B.",8
origin,Halifax and Philadelphia,8
origin,Helsingborg,8
origin,Sando,8
origin,Nykarleby,8
origin,Charlestown,7
origin,Fredrickshald,7
origin,Sweden,7
origin,"Weymouth, N.S.",7
origin,Charlottetown,7
origin,Bridgewater,7
origin,Pentecost,7
origin,Tupilco,7
origin,"Yarmouth, N.S.",7
origin,Taganrog,7
origin,Barahona,7
origin,Bombay,7
origin,"Portland, O.",7
origin,Gaspe,7
origin,Kubikenborg,7
origin,Karlskrona,7
origin,"Buctouche, N.B.",7
origin,"Ship Harbour, N.S.",7
