commodity,early_period,late_period,change,growth_pct
doors,11,239,228,2072.7272727272725
laths,42,199,157,373.8095238095238
boards,291,683,392,134.70790378006873
firewood,421,622,201,47.74346793349169
battens,547,737,190,34.73491773308958
ends,184,174,-10,-5.434782608695652
deals,1543,1052,-491,-31.821127673363574
staves,362,237,-125,-34.530386740331494
sleepers,304,141,-163,-53.61842105263158
lathwood,279,102,-177,-63.44086021505376
