commodity,origin_port,count
laths-foy,Gothenburg,20
battens,Arendal,20
cs wood,Gothenburg,20
walnut,Baltimore,20
firewood,Domsjo,20
c deals,Lulea,20
ends,Danzig,19
maple,New York,19
scantlings,Danzig,19
bls laths,Gothenburg,19
mahogany,Hamburg,19
deals,Mesane,19
doors,Boston,19
battens,St. John,19
oak logs,Danzig,19
palings,Miramichi,19
teak,Rangoon,19
flooring,Fredrikstad,19
floorings,Christiania,19
firewood,Holmsund,19
poplar,Baltimore,19
firewood,Nyhamn,19
scantlings,Fredrikstad,18
wainscot logs,Odessa,18
walnut squares,New York,18
battens,Hommelvik,18
case boards,Christiania,18
laths,Christiania,18
laths,Gefle,18
trellis,Stockholm,18
firewood,Lulea,18
deals,Tornea,18
bundles,Boston,17
cs lumber,New York,17
t logwood,Jamaica,17
cedar,New York,17
firewood,Swartvik,17
battens,Pitea,17
deals,Trondheim (Drontheim),17
firewood,Hommelvik,17
deal ends,Three Rivers,17
boards,Hernosand,17
pit props,St. Petersburg,17
half-sleepers,Danzig,17
battens,Trondheim (Drontheim),17
battens,Holmsund,16
skirtings,Gothenburg,16
hewn fir,Klaipeda,16
ends,Onega,16
beaton,Fredrikstad,16
sawn fir,Riga,16
morgan,St. Petersburg,16
oak lumber,New York,16
boards,G'burg,16
cs hubs,New York,16
lancewood spars,Jamaica,16
walnut,Boston,16
ash,New York,16
pit props,Christiania,16
deals,Swartwik,16
ends,Minatitlan,15
scantlings,Drammen,15
ends,Three Rivers,15
pit props,Bordeaux,15
firewood,Abo,15
battens,Laurvig,15
hewn fir,Porsgrund,15
pairs oars,Gothenburg,15
deals,Munksund,15
walnut lumber,New York,15
staves,Laurvig,15
sawn fir,Gothenburg,15
deals,Chicontimi,15
oak logs,Odessa,15
deals,Domsjo,15
teak planks,Rangoon,15
morgan,Cronstadt,15
deals,Husum,15
firewood,Trondheim (Drontheim),15
board ends,Cronstadt,15
firewood,Sannesund,15
from quebec,Montreal,15
veneers,Dieppe,15
sawn timber,Pensacola,14
sawn fir,Klaipeda,14
firewood,Sandvik,14
teak,Moulmein,14
pitwood,Bayonne,14
lathwood,Gothenburg,14
wood,Bordeaux,14
staves,Cronstadt,14
poplar,Boston,14
deals,Kemi,14
battens,Christiansand,14
deals,Pascagoula,14
½ sleepers,Riga,14
hewn fir,Skien,14
c pantin,Gothenburg,14
deals,Finnklippan,14
lathwood-j b r langford,Riga,14
mason,New York,14
boards,Skien,14
battens,Montreal,14
mahogany,Santa Ana,14
deals,Oxelosund,14
spokes,New York,14
staves-simson,New York,14
deals,Darien,14
joinery,Stockholm,14
firewood,Tornea,14
mason,Gothenburg,14
deals,Hommelvik,14
blocks,Christiania,14
deals,Kramfors,14
battens,Munksund,14
boards-tagart,Fredrikstad,14
oak staves,Odessa,14
pit props,Porsgrund,14
firewood,Kemi,13
firewood,Umea,13
lathwood,Danzig,13
deals,New York,13
deals,Arendal,13
boards,Kotka,13
battens,Miramichi,13
