commodity,origin_port,count
spruce deal ends,Metis,2
1/2 t logwood,West Indies,2
wood sticks,Stettin,2
mahogany,Honduras,2
mahogany,Cardenas,2
station yard,Sons,2
cedar,Puerto Cortez,2
cedar,Puerto Cortes,2
mahogany,Trinidad de Cuba,2
canada dock,Co.,2
half sleepers,Riga,2
oak staves-morris,Klaipeda,2
half sleepers,Ventspils,2
hewn,Pensacola,2
wood turnery,Gefle,2
maple poles,New York,2
centre yard,Co.,2
c h glover,Riga,2
staves,Colombo,2
hardwood,Halifax,2
balks,Le Havre,2
staves,Bremen,2
oak staves,"Trieste, -",2
centres,Gothenburg,2
stave yard,Pierce,2
c fustic,Tupilco,2
balks,Konigsberg,2
staves,Brahestad,2
oak staves,Sundswall,2
balks,Sannesund,2
hardwood,Boston,2
mahogany,St. Domingo,1
morgan,Auckland,1
morceaux bois de satin,Monte Christi,1
morgan,Skelleftea,1
morgan,Skönvik,1
morceaux fustet,Colon,1
pit-wood,Quimper,1
mahogany,"Truxillo, -",1
planed wood,Uddovalla,1
morceaux ebène,Liverpool,1
plank battens,Trondheim (Drontheim),1
plank ends,Danzig,1
mahogany,"Wanks River, -",1
morceaux,Marseille,1
mahogany,St. Ana,1
pit props,Warberg,1
morceaux acajou,Monte Christi,1
morceaux,Baltimore,1
morceaux bois de teinture,Vera Cruz,1
mahogany,Wava,1
mahogany,Savanilla,1
planed fir,Gothenburg,1
planking,Trieste,1
pit wood,Arcachon,1
mahogany,Trinidad,1
mahogany,Trontero,1
morgan,Gothenberg,1
morceaux quebracho,Buenos Ayres,1
pit wood,Blaye,1
morceaux yaya,Porto Plata,1
mahogany,Tonsberg,1
morgan,Fiume,1
mahogany,Stettin,1
morgan,Helsingfors,1
planed wood,Uddevalla,1
pit props,Vegesack,1
plank ends,Pont Neuf,1
mahogany,Timas de Zaza,1
morceaux noyer,Marseilles,1
plank ends,Pensacola,1
plank ends,Pentecost,1
mahogany,St. John,1
plank,Philadelphia,1
pit props,Vannes,1
mahogany,Tupilco,1
morgan,Christiana,1
pit-wood,Gothenburg,1
pit props-[?],Uddevalla,1
morgan,Christiansand,1
morceaux bois de bresil,Hacha,1
plank logs,Stettin,1
morceax bois de satin,New York,1
morceaux bois de mangle,Hacha,1
morgan,Quebec City,1
morceaux noyer,Baltimore,1
morgan,"Portland, M.",1
morceax,Liverpool,1
plank ends,Riga,1
pit-props-calder,Gothenburg,1
mouldings-a losak,Stockholm,1
mouldings from skonvik,Stockholm,1
mahogany,Hobart Town,1
pit props,Nyland,1
mouldings from gefle,Stockholm,1
mouldings foy,Gothenburg,1
pit props,Oscarsham,1
mouldings,York,1
mahogany,"Honduras, -",1
mouldings,Woodburn,1
pit props,Ostend,1
pit props,Pauillac,1
planks,Constantinople,1
mouldings,Uleaborg,1
mouldings,Klaipeda,1
mouldings,Udevalla,1
planks,Colombo,1
planks,Cochin,1
mouldings,Uddovalla,1
pit props,Porsg und,1
mouldings,"Uddevalla, -",1
mouldings,Trieste,1
mouldings,Swartwik,1
pit props,Port Launay,1
planks,Christinestad,1
mouldings,Sundswall,1
mahogany,Kingston,1
mouldings,Rock,1
planks,Chicoutimi,1
mahogany,Laguna de Termanos,1
pit props,Pensacola,1
pit props,Jacobstad,1
pit props,Husum,1
planks,Furuogrund,1
pit props,Karlshamn,1
mouldings-h smith from skutskar,Stockholm,1
planks,Fredrikstad,1
mouldings-h smith,Stockholm,1
mouldings-h s foy,Gothenburg,1
mouldings-gribble,Uddevalla,1
mahogany,Helga,1
mouldings-gribble,Gothenburg,1
pit props,Karten,1
planks,"Demerara, -",1
pit props,Konigsberg,1
pit props,Norrkoping,1
mouldings-e jansson,Stockholm,1
pit props,Lulea,1
pit props,Mandal,1
pit props,Marstrand,1
mahogany,Hernosand,1
pit props,Moss,1
pit props,Moss and Holmestrand,1
mouldings-dolton,Fredrikshald,1
pit props,Nedercalix,1
mouldings-crow,Uddevalla,1
pit props,Nederlaks,1
pit props,New Orleans,1
mouldings-crow,Stockholm,1
mouldings-churchill,Norrkoping,1
mouldings-bradley,New York,1
mouldings-esdaile,Gothenburg,1
planks,Amsterdam,1
mouldings,Bolderaa,1
mouldings,Baltimore,1
moulding-ketscher,Gothenburg,1
moulding-churchill,Gothenburg,1
moulding,Uddevalla,1
moulding,Norrkoping,1
moulding,New York,1
planks,Alne,1
moulding,Helsingfors,1
planks,Akyab,1
pit props,Svelvig,1
moulding,Fredrikstad,1
moulding,Cronstadt,1
mouldings,Riding,1
mould-ings-sandell,Gothenburg,1
mould-ings,Stockholm,1
mould-ings,Lulea,1
pit props,Tillingenabben,1
mould-ings,Fredrikshald,1
mould,York,1
mahogany,Sannesund,1
mould,New York,1
pit props,Torngberg,1
mahogany,Santa Cruz,1
planks,Aarhuus,1
mahogany,Santana,1
mott,Singapore,1
most prominent bidders being messrs j crook,WORCESTERSHIRE.,1
planking,Venice,1
mahogany,S. Domingo,1
planks,"Chatham, N. B.",1
planks,Catania,1
pit props,Redon,1
mahogany,Laurvig,1
planks,Cartagena,1
mouldings,Norfolk,1
mahogany,Montego Bay,1
planks,Bonny,1
mahogany,New Orleans,1
mouldings,NOTE.,1
mahogany,New South Wales,1
planks,Bildt,1
mahogany,Newport News,1
mahogany,Orleans,1
mahogany,Pascagoula,1
mahogany,Punta Arenas,1
mouldings,Laurvig,1
planks,Archangel,1
planks,Anga,1
mouldings,Helsingfors,1
pit props,St Petersburg,1
pit props,St. John,1
mouldings,Gothenberg,1
mouldings,Germany,1
mahogany,Philadelphia,1
mahogany,Puerto Cabello,1
mouldings,F'stad,1
pit props,St. Peter,1
mahogany,Puerto Plata,1
mouldings,Copenhagen,1
mouldings,Cologne,1
mouldings,Mesane,1
mauer,Stettin,1
maple boards,Philadelphia,1
mauer-latten,Danzig,1
pitwood,Lisbon,1
planchette ends,Borga,1
pitwood,Landerneau,1
planed,Bomarsund,1
planed boards-a gordon,Christiania,1
mauerlatten,Riga,1
maple boards,Baltimore,1
mauerlatten timber,Klaipeda,1
maple blocks-t mitchell,"Portland, Maine",1
pitwood,La Rochelle,1
mauerlatten-churchill,Danzig,1
maxim,Gothenburg,1
mcandrew,New York,1
planed,Drammen,1
maple planks,Montreal,1
pks trellis,Uddevalla,1
pks wood,Flushing,1
maple planks,Boston,1
pkts laths,Liepāja,1
maple lumber,Baltimore,1
plan ends,Three Rivers,1
maple floorings,Boston,1
maple logs,Danzig,1
maple logs,Bermuda,1
matchings-g h renton,Ljusne,1
pitwood,Marie,1
maple logs,Baltimore.,1
matchings-messers,Fredrikstad,1
maple logs,Baltimore,1
matchings-worrell,Gefle,1
matchings-foy,Helsingfors,1
memel,Order Gustav,1
planed,Gothenburg,1
maple,Tonsberg,1
memel,Rodbertus,1
merchants bank canada,Bremen,1
maple,Three Rivers,1
messrs,Archangel,1
maple blocks-sil t mitchell,Montreal,1
pitwood,Gefle,1
pitwood,Gabrielle,1
planed battens,Drammen,1
pitwood,Fredrikstad,1
messrs poppleton,Wisbech.,1
metal goods,York,1
metal ware,New York,1
planed battens,Fredrikstad,1
messrs,Montreal,1
mccomas,New York,1
pitwood,La Roche Bernard,1
maple blocks-m mitchell,Montreal,1
planed,Gefle,1
mcconnan,New York,1
mem spruce holborn,Windsor,1
mem spruce robinson,Orient,1
mem yellow timber,Orient,1
pitwood,Jutnipar,1
memel,Andrea,1
maple blocks-churchill,Montreal,1
pitwood,L' Orient,1
memel,Order Celeste,1
pitwood,Kragero,1
pitwood,Konigsberg,1
maple blocks,Boston,1
maple,West Indies,1
memel,Alston,1
mason wainscot blocks,Trieste,1
mason-acorn yard,Gefle,1
mason,Fiume,1
pitwood,Rotterdam,1
mason-lower brunswick yard,Drammen,1
pitwood,Rordeaux,1
mason-quebec shed,Drammen,1
pitwood,Meschers,1
master,Abo,1
mason,Drammen,1
masts,Colombo,1
pitwood,Sundswall,1
masts,Danzig,1
pitwood,Trondheim (Drontheim),1
masts,Laurvig,1
pitwood,Trouville,1
mason-swedish yard,Uddevalla,1
pitwood,Santa Eugenia,1
mason,Madeira,1
mason,Lulea,1
mason,Klaipeda,1
mason,Mesane,1
mason,Montreal,1
mason,Hudikswall,1
mason,Fredrikshald,1
pitwood,Skien,1
mason,Pitea,1
mason,Riga,1
pitwood,St. Estephe,1
mason 248½ deals,Quebec City,1
mason logs,New York,1
mason,Hamburg,1
mason,Fredrikstad,1
mason,Holmsund,1
maple roller,Bremen,1
pitwood,Playne,1
pitwood,Villagarcia,1
maple planks,"Portland, Me.",1
maple planks,"Portland, M.",1
maple planks,Portland,1
matchings,Gefle,1
masts,Quebec City,1
pitwood d g hogg,St. Estephe,1
pitwood fir hewn,Hennebont,1
pitwood-bell,Gothenburg,1
pitwood,Moss,1
matchings,Ljusne,1
pitwood-d g [?],Blaye,1
pitwood-g w gething,Bordeaux,1
pkgs.-nicks,Gothenburg,1
matchings,Helsingfors,1
masts,Riga,1
marwood,Philadelphia,1
marseilles,Brocklinn,1
maplewood,Le Havre,1
masts,Savannah,1
masts,Sundswall,1
masts,Xiania,1
maplewood,Hamburg,1
matchboards,Fredrikstad,1
match,Helsingfors,1
maple timber,New York,1
match blocks,St. John,1
match boards,Stockholm,1
match boards,"Uddevalla, -",1
pitwood,Ventspils,1
maple rollers-j banton,New York,1
match splints,St. Petersburg,1
pitwood,Rennes,1
mahogany-belize estate,Belize,1
mining timber,Sundswall,1
mahogany-b ackerley,New York,1
planed boards-berner,Gothenburg,1
mining timber,Tonsberg,1
planed boards-boysen,Drammen,1
mining timber,Tvedestrand,1
planed board,Gothenburg,1
pitch pine planks,Brest,1
mahogany-any,W. C. of Africa,1
pitch pine lumber,New Orleans,1
planed boards-f briesemann,Porsgrund,1
mahogany-a dobell,Colon,1
planed boards-g f neame,Christiania,1
mahogany squares,Boston,1
mitchells,New York,1
pitch pine planks,Cronstadt,1
pitch pine sawn,Pensacola,1
planed boards,Svartvik,1
mahogany-ronaldson,Jamaica,1
planed boards,Swartvik,1
mining timber,Oscarshamn,1
mahogany-murrietta,Alvarado,1
pitch pine planks,Saguenay,1
mahogany-belize estate 2¼ t lignum vitæ,Nassau,1
planed boards,Swartwik,1
mahogany-guld,Belize,1
mahogany-guild,Belize,1
pitch pine planks,Miramichi,1
planed boards,Uddevalla,1
planed boards,Västervik (Westerwik),1
planed boards from gefle,Sandarne,1
mahogany-darby,Belize,1
mining timber,Riga,1
molineus,Christiania,1
moller,Klaipeda,1
pitch pine,Doboy,1
mahogany logs-r b watson,Laguna,1
mahogany logs,Minatitlan,1
mahogany logs,Laguna,1
pitch pine,"Brunswick, Georgia",1
mitchells,Portland,1
mahogany logs,Cuba,1
pitch pine,Apalachicola,1
mahogany,Zara,1
mahogany,York,1
planed boards-wix,Gothenburg,1
pitch,Pascagoula,1
montreal,Georgia,1
planed deals,Sandarne,1
montreal,Arthur,1
planed boards-henry,Skonvik,1
mitchells,Rangoon,1
pitch pine boards,Mobile,1
mldgs,New York,1
pitch pine boards,Antwerp,1
mldings,Christiania,1
planed boards-j,Gothenburg,1
planed boards-morgan,Drammen,1
pitch pine,Pascagoula,1
planed boards-prier,Gothenburg,1
planed boards-r h dahl,Christiania,1
mldngs,G'burg,1
planed boards-renton,Kramfors,1
planed boards-simson,Christiania,1
pitch pine,Savannah,1
planed boards-simson,Laurvig,1
moist woodpulp,Gothenburg,1
pitch pine,St. Simons,1
mill,Saw,1
pitwood,"Caraquet, N.B.",1
planed boards,Fredrikshald,1
maple,Hobart Town,1
pitwood,Caen,1
maple,Drammen,1
pitwood,Brieux,1
pitch pine squares,Pensacola,1
pitwood,Brevig,1
millars forests,Fremantle,1
mille oak staves,Klaipeda,1
mille staves,Drammen,1
pitwood,Brest,1
mille staves,Klaipeda,1
mille staves-morris,Klaipeda,1
planed boards,Jamaica,1
maple,Copenhagen,1
maple,Portland,1
metal ware,York,1
planed boards,Abend,1
maple,Philadelphia,1
planed boards,Abo,1
pitwood,Fredrikshamn,1
pitwood,Fredrikshald,1
pitwood,Carril,1
pitwood,Faon,1
middles,Gothenburg,1
middles-j spicer,Gothenburg,1
mildred,Gothenburg,1
mildred,Riga,1
miles,New York,1
maple,Me.,1
pitwood,Charles,1
metis,Lavender yard Inverallan,1
manager to stamford,Wisbech.,1
mallinson,Norfolk,1
planed boards,Rotterdam,1
pitch pine wood,St. Petersburg,1
mining timber,Christiania,1
mining timber,Christiansund,1
mallinson,Newport News,1
planed boards,Kotka,1
mahogany-w guild,Belize,1
pitch pine staves,W. Indies,1
pitch pine staves,New York,1
mining timber,Halmstad,1
mahogany-various consignees,Azim,1
mahogany-skelton,Santaria,1
mining timber,Kragero,1
planed boards,Stockholm,1
mahogany-w oliver,Boston,1
mille staves-r mcandrew,New York,1
maple,Baltimore.,1
mills,New York,1
pitwood,Aroachon,1
map boards,Helsingfors,1
millwall dock,Gothenburg,1
millwall docks,Riga,1
pitwood,Arenc,1
pitea,Adda,1
pitwood,Antwerp,1
planed boards,Montreal,1
mining,Skien,1
pits props,Drammen,1
planed boards,New York,1
manerlatten,Danzig,1
pitea firewood,Russia yard Presto,1
mining timber,Boston,1
pitwood,Arcachin,1
pieces,Antwerp,1
oak staves-g m de amicis,Trieste,1
pickford,Riga,1
pickford,Gothenburg,1
pickets,"Weymouth, U.S.",1
oak staves-gairard,Venice,1
oak staves-h,St. Petersburg,1
oak staves-j,Klaipeda,1
pickets,Montreal,1
oak staves-j pearson,Klaipeda,1
pine oars,Bordeaux,1
oak staves-t b m girard,Trieste,1
oak staves-t b m gurian,Trieste,1
oak staves-w lindsay,Klaipeda,1
pickers,Fredrikshald,1
picker sticks-j gardner,New York,1
oak strips,Baltimore,1
phillips,Gothenburg,1
phillipps,Gothenburg,1
philadelphia,Eagle,1
philadelphia,Cygnet,1
oak strips,Boston,1
oak staves-malcolm,Fiume,1
pieces,Fagervik,1
pieces,Danzig,1
oak staves,"Odessa, &c.",1
pieces,Christinestad,1
oak staves,Oscarshamn,1
pieces,"Chatham, N. B.",1
pieces,Cape Town,1
oak staves,Patras,1
pieces,Bremen,1
oak staves,Pillau,1
pieces,Auckland,1
oak staves,Rotterdam,1
pieces,"Belize, etc.",1
oak staves,Sydney & Friday,1
oak staves,Tonsberg,1
pieces,Bayonne,1
pieces,Baltimore.,1
oak staves,"West Point, Virginia",1
oak staves from fiume,Trieste,1
oak staves-c gaffwall,Trieste,1
pieces,"Auckland, N.Z.",1
oak staves-g m de amicis,Bari,1
oak staves,Port Royal,1
oak timber,Trieste,1
oak wainscot,Klaipeda,1
oak wainscot,Trieste,1
oak wainscot logs,Gothenburg,1
pensacola,Queen,1
pensacola,Light,1
oak wainscot logs,Halifax,1
oak wainscot logs,Konigsberg,1
pensacola,Leopold,1
pencil cedar,Pensacola,1
oak strips,Quebec City,1
pear tree,Hamburg,1
pcs.timber,Danzig,1
pcs.lumber churchill,Baltimore,1
pcs.lathwool foy,St. Petersburg,1
pcs-g h renton,Kemi,1
pcr lumber,Boston,1
pcls wood-j w uloth,Gothenburg,1
pcl pulpwood-c j keen,Gothenburg,1
pce ash,New Orleans,1
oak wainscot logs,Venice,1
oak wainscots,Bari,1
peculs sapanwood,"Manilla, -",1
oak strips-c leary,Boston,1
oak strips-e alcott,Baltimore,1
petrie,Gothenburg,1
oak strips-h huntingdon,Boston,1
peterborough,Wisbech.,1
pet barrel staves,Kotka,1
oak timber,Bjorneborg,1
persimmonwood,Norfolk,1
persimmon logs,"Port Royal, S.C.",1
persimmon,Norfolk,1
oak timber,Drammen,1
oak timber,Skien,1
pernambuco wood,Hamburg,1
per cub,Single,1
oak timber,Konigsberg,1
penton cs mouldings,Norrkoping,1
oak timber,Le Havre,1
penton cs joinery,Gothenburg,1
penton cs boards,Christiania,1
penton,Uddevalla,1
oak timber,New York,1
oak timber,Ornskolksvik,1
oak timber,Riga,1
pers,Liepāja,1
oak planks,Sundswall,1
oak planks,Tonsberg,1
oak planks,Trieste & Fiume,1
oak planks,"Trieste, -",1
oak planks,York,1
oak planks-g pagan,Trieste,1
oak planks-pagan,Trieste,1
oak planks-torger,Fiume,1
oak planks-witt,Trieste,1
pieces,Tonsberg,1
pieces,Finland,1
oak plançons,Klaipeda,1
oak posts,Danzic,1
oak posts,Maas,1
oak posts-j p jorde-sen,Danzig,1
oak scant-lings,Danzig,1
oak scantlings,Baltimore,1
oak shooks,Baltimore,1
oak sills,Catania,1
oak sills,Venice,1
oak sleepers,Konigsberg,1
oak sleepers,Trieste,1
pieces,Tecolutla,1
oak plank,Danzig,1
pieces mahogany,Christiania,1
oak plank,New York,1
pieces mahogany,Boston,1
oak planks,Baltimore.,1
pieces deals,Nedercalix,1
pieces bundles,Philadelphia,1
pieces bundles,New York,1
pieces birch,Mobile,1
pieces,Wifsta,1
oak planks,Skien,1
pieces,West Indies,1
oak planks,Gothenburg,1
oak planks,Hamburg,1
pieces,Vancouver,1
oak planks,Kingston,1
oak planks,Mediterranean,1
oak planks,Montreal,1
oak planks,Philadelphia,1
oak planks,Poti,1
pieces,Uddevalla,1
oak planks,Sevastopol,1
oak planks,Catania,1
oak staves,"Danzig, -",1
pieces,Newort News,1
oak staves,Fredriksvaern,1
oak staves,Italy,1
oak staves,Kragero,1
pieces,"Memel, -",1
pieces,Me.,1
pieces,Mauritzberg,1
pieces,Marseilles,1
pieces,Le Havre,1
pieces,Santaria,1
pieces,Kramfors,1
pieces,Konigsburg,1
oak staves,Missouri,1
pieces,Kingston,1
pieces,Hobart Town,1
pieces,Hobart,1
pieces,Herncsand,1
oak staves,Nicolaieff,1
pieces,Gefle,1
pieces,Fremantle,1
pieces,Fredrikshald,1
oak staves,"Mexico, Trench",1
oak squares,Baltimore,1
pieces,Sandarne and Soderhamn,1
oak squares,Stettin,1
pieces,Sandarne,1
oak staves,Abo,1
pieces,Rotterdam,1
pieces,Richibucto,1
oak staves,Amsterdam,1
pieces,Rangoon,1
pieces,Rafso,1
oak staves,Andrea,1
oak staves,Copenhagen,1
pieces,Port Blair,1
oak staves,Boston,1
oak staves,Catania,1
pieces,Pitea,1
oak staves,Charleston,1
pieces,Pensacola,1
oak staves,Charlestown,1
pieces,Penang,1
pieces,Ostersjon,1
pieces,Orleans,1
pieces,Nuevitas,1
oak staves,Bari,1
palings,Chicoutimi,1
olive wood,Poti,1
palings,Chicon timi,1
oliver,Trieste,1
olivewood,Genoa,1
palings,Chatham,1
olivewood,Hamburg,1
olivewood,Marseilles,1
olivewood-churchill,Marseilles,1
palings,"Calais, Me.",1
paving blocks-vigers cs,Gothenburg,1
olivewood-gardner,Marseilles,1
palings,Bolderaa,1
olton,Sundswall,1
palings,Bjorneborg,1
on 19th inst,"Upon the application of Messrs. Remnant & Sanders, a receiving order was made in this case by Mr. Registrar Hope on Saturday under a creditor's petition. No particulars of the debtor's affairs were given. HAMMOND, E. & SONS, timber merchants, Station Street, Nottingham.",1
palings,Bersiamitz,1
palings,Bay Verte,1
on being called,Glasgow.,1
palings,Batiscan,1
on earl beauchamp's estates,WORCESTERSHIRE.,1
on monday,Hanwell.,1
palings,"Buctouche, N.B.",1
oars-franklin,New York,1
oars-g a,Gothenburg,1
oars-g ward,Gothenburg,1
palings,"Guysborough, N.S.",1
palings,"Guysboro,' N.S.",1
oars-h herrmann,New York,1
palings,"Guysboro', N.S.",1
oars-irvin,New York,1
oars-rollins,New York,1
off,"Cutting, Ground",1
palings,Christiania,1
palings,Gefle,1
old,Boston,1
old staves,Boston,1
palings,Fredrikshald,1
palings,Escoumani,1
old staves-hattley hay,Boston,1
palings,Escoumains,1
old staves-hattley hay handles,Boston,1
olive,Marseilles,1
olive wood,Marseilles,1
palings,Cronstadt,1
official receiver examined debtor,Hill.,1
p laths alfred petersen,Western,1
pairs oars,Gothenberg,1
p osbeck a qnty staves,Christiansand,1
p plgr spr,Boston,1
p.p deals,Pensacola,1
p.p floorings,Pensacola,1
pairs,St. Petersburg,1
painpol,Victoria,1
p.p lumber,Pensacola,1
p.p sleepers,New York,1
on tuesday,S.E.,1
packages,Hamburg,1
packages,Ingeborg,1
packages,Oscar,1
packages,Stettin,1
padouk squares,Port Blair,1
packages,York,1
padouk planks,Port Blair,1
packing-cases,Fredrikstad,1
packing cases,Quebec City,1
packing cases,Fredrikstad,1
packing boxes,Quebec City,1
packages,Bremen,1
one for goods,"forward, and the services of the carpenters and joiners will be fully utilised.  NOON PIER QUESTION.",1
palings,Bathurst,1
one partners firm,Glasgow.,1
onega sheds,Archangel,1
oppenheim,"Trieste, -",1
palings,Bangor,1
palings,Archangel,1
palings,Annapolis,1
pales,Antwerpen,1
or deals,Mobile,1
oregon beech,Gagra,1
p cs birch,Halifax,1
ornskoldsvik,Laurel,1
os boards,New York,1
pal[?]wood hans dessen,Kotka,1
osier logs,Batoum,1
pairs paddles,Gothenburg,1
oslo sleepers,Hanson,1
pairs oars,Klaipeda,1
other for passenger traffic,"forward, and the services of the carpenters and joiners will be fully utilised.  NOON PIER QUESTION.",1
other services william george ingram,Glasgow.,1
ouldings,Stockholm,1
overside,Bros.,1
paldawood,Nossi Be,1
oak-r coltart,Baltimore,1
parquetry,Hamburg,1
oak-s f dowdeswell,New York,1
oak-s priday,Fiume,1
oak-simson,Hamburg,1
parquet-d witt,Trieste,1
oak-t priday,Fiume,1
parquet,Trieste,1
oak-t rimmer,Quebec City,1
oak-w f dowdeswell,New York,1
palings,Hernosand,1
oakboards,Fiume,1
oards,Hudikswall,1
pantin,Gothenburg,1
palmer from fiume-10 cs joinery,Trieste,1
oards,Sundswall,1
palmer from fiume,Trieste,1
palmer,Venice,1
oars,Arendal,1
palmer,Montreal,1
palmer,Fiume,1
oars,Bolderaa,1
oak-witt,Fiume,1
oak wainscots,Riga,1
oak-a w rideal,Norfolk,1
paving blocks-north-eastern railway,Gothenburg,1
oak-c heaven,Trieste,1
oak-c heaven,Venice,1
paving blocks,Archangel,1
paul et marie,Bordeaux,1
pauillac,Anna,1
partly square timber,Skien,1
partie buis,Marseille,1
oak-carl gartner,New York,1
oak-moir,New York,1
parquts from fiume,Trieste,1
oak-churchill,Baltimore,1
parquetwood,Hamburg,1
oak-churchill,Danzig,1
parquettes,Trieste,1
oak-cobbet,Norfolk,1
oak-cobbett,Newport News,1
parquets,Fiume,1
parquets,Christiania,1
oak-e,New York,1
oak-j kennedy,New Orleans,1
partie bois de buis,Marseilles,1
oars,Philadelphia,1
palings,Pont Neuf,1
palings,Pictou,1
palings,New York,1
palings,"Musquash, N.B.",1
palings,Montreal,1
oars,Skutskar,1
oars,Soderhamn,1
oars,"Three Rivers, Quebec",1
oars,West Indies,1
palings-price,City s,1
palings,Mestis,1
oars j gardner,Kingston,1
oars-7,Gothenburg,1
oars-a knos,Gothenburg,1
palings,Marieberg,1
oars-cunningham,Liverpool,1
oars-cunningham,York,1
palings,Liepāja,1
oars-d de pass,New York,1
palings,Le Havre,1
palings,Hobart,1
oars,Wyborg,1
palings stewart,"Bathurst, N.B.",1
palings,Zanzibar,1
oars,"Colombo, &c.",1
palings,Wyborg,1
palings,Trondheim (Drontheim),1
oars,Danzig,1
palings,Suudswall,1
oars,Gothenberg,1
palings,Stockholm,1
oars,Gothenburc,1
palings,St. Etienne,1
oars,Orleans,1
palings,Skutskar,1
palings,Skonvik,1
palings,Sagunay,1
oars,Hobart Town,1
oars,Laurvig,1
palings,Rimouski,1
palings,Riga,1
palings,Rafeo,1
oars,Liverpool,1
oars,Melbourne,1
oars,New Orleans,1
palings,Soderhamn,1
pine timber,Miramichi,1
pine timber,Light,1
new york,"Abo, pamphlets. Holborn. Lady Cairns",1
pine timber,Cronstadt,1
pine tim[?] pine deals-thorpe,Mobile,1
pine strips,Quebec City,1
new york,Atom,1
pine sleepers,Liepāja,1
pine sleepers,Danzig,1
pine shooks,St. John,1
oak pipe staves,Newport News,1
new york,George,1
pine scantlings,Miramichi,1
new york,Gove,1
pine rods,St. John,1
new york,"Johnson, Oak",1
new york evening post,Possessions.,1
newport pitwood,Bordeaux,1
nicks,Christiania,1
nicks,Gothenburg,1
pine rickers,Sundswall,1
pine rickers,Archangel,1
new york,Colon,1
pipe staves,Danzig,1
pipe staves,Belize,1
pinewood-quitmann,Stettin,1
pinewood-guitmann,Stettin,1
neame,Christiania,1
pinewood,Skien,1
pinewood,Klaipeda,1
pinewood,Baltimore,1
pine-wood-durtmann,Stettin,1
pine-messrs,Montreal,1
new staves-hattley hay,Boston,1
pine-maple,Montreal,1
pine-cox,Montreal,1
neilson,Christiania,1
neilson-albion yard,Lulea,1
pine wood,Stettin,1
pine wood,Scott,1
new orleans,Moor,1
new staves,Baltimore,1
new staves,Boston,1
pine timber,Saguenay,1
pine timber,Pensacola,1
pine-messers cs boards,Montreal,1
pine lumber,New York,1
no doors,York,1
no doors-c jansson,Gothenburg,1
no doors-holland,New York,1
pine lumber,Mobile,1
pine lumber,Halifax,1
no doors-w r crow,Gothenburg,1
no flitches,New York,1
pine longitudinals,Montreal,1
no hub blocks-mammerton,New York,1
niel,Trondheim (Drontheim),1
pine logs,St. George's,1
pine ends,Three Rivers,1
no oak staves,Mobile,1
pine do,Patria,1
no oak staves,Trieste,1
no oars,New York,1
no planed boards,Riga,1
no poles,Christiania,1
pine do,II,1
no poplar,"West Point, Virginia",1
no props,Gothenburg,1
no logs oak,Stettin,1
nielsen,Archangel,1
nielsen,Arendal,1
pine planks-churchill,Puget Sound,1
pine planks,Savannah,1
pine planks,Puget Sound,1
pine planks,Bermuda,1
nielsen,Lulea,1
no battens,Christiania,1
pine masts,Riga,1
no battens,Fredrikstad,1
no bls doors-esdaile,Boston,1
pine lumber,Newport News,1
pine masts,Gothenburg,1
pine lumber-scandinavian-edmiston,Portland,1
no boards-with,Christiania,1
no deals,Cronstadt,1
no deals,Gothenburg,1
pine lumber,Quebec City,1
no deals,Riga,1
no doors,Rock,1
pine lumber,Norfolk,1
no doors,Stockholm,1
no doors,Ultra,1
no boards,Fredrikstad,1
mouldings-s s,Fredrikstad,1
mouldings-sandell,Gothenburg,1
mouldings-sievking,Gothenburg,1
pit props,Drago,1
mouldings-tagart,Fredrikstad,1
mouldings-trellis-gribble,Uddevalla,1
mouldings-w r orow,Gothenburg,1
pit props,Cronstadt,1
pit props,Christiansund,1
mouldings-webster,Gothenburg,1
pipe staves,Darien,1
mr f spofforth was for debtor,Hill.,1
pit props,Charente,1
mr graham mur,Defenders,1
mr guthrie,Pursuers,1
muda,Jamaica,1
murphy,New Orleans,1
pit props,Bufve,1
murphy,Quebec City,1
musket stocks,Colombo,1
myall lumber,Brisbane,1
myall-wood,"Brisbane, &c.",1
pit props,Christianiafjord,1
mouldings-h smith from soderhamn,Stockholm,1
mouldings-h smyth from norrmaling-34,Stockholm,1
pit props,Holmestrand,1
mouldings-h smyth from soderhamn,Stockholm,1
mouldings-hunt,Gothenburg,1
mouldings-j hillier,Baltimore,1
mouldings-jonas smith,Stockholm,1
mouldings-keen,Christiania,1
pit props,Hamstad,1
mouldings-ketscher,Gothenburg,1
mouldings-marshall,Danzig,1
pit props,Figebolm,1
mouldings-price,Fredrikstad,1
pit props,Gothenberg,1
pit props,Gefle,1
mouldings-prier,Gothenburg,1
mouldings-prier wotton,Gothenburg,1
mouldings-r dahl,Fredrikstad,1
pit props,Fredriksstad,1
mouldings-rose,Gothenburg,1
pit props,Fredrikshamn,1
mouldings-s brown,Gothenburg,1
pit props,Figeholm,1
pit props,Hall,1
pipes sherry,"Stockholm,",1
pipes do,Stewart,1
pipes do,Fayolle,1
nail rods,Stockholm,1
narrow ends,Trangsund,1
pipes do,Arthur,1
native,Jamaica,1
pipes,Tuart,1
pipes,Antwerp,1
pipe-wood,St. John,1
pit props,Blaye,1
natman,Skonvik,1
nber,Danzig,1
pipe staves,Tuart,1
nd battens,Riga,1
