record_id,source_file,line_number,ship_name,origin_port,destination_port,ship_level_merchant,publication_date,commodity,merchant,raw_cargo_segment,raw_ship_line
34501,18830106p.12.txt,32,Mary Louisa,New York,LONDON,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares",6 January 1883,oak,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares",485 pcs. oak-Order,"Dec. 27 Mary Louisa-New York-598 logs walnut-Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares, 485 pcs. oak-Order"
34501,18830106p.12.txt,32,Mary Louisa,New York,LONDON,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares",6 January 1883,walnut,Herrmann,598 logs walnut-Herrmann,"Dec. 27 Mary Louisa-New York-598 logs walnut-Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares, 485 pcs. oak-Order"
34501,18830106p.12.txt,32,Mary Louisa,New York,LONDON,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares",6 January 1883,walnut,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares","102 logs, 152 pcs. walnut, 1,351 walnut squares","Dec. 27 Mary Louisa-New York-598 logs walnut-Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares, 485 pcs. oak-Order"
34501,18830106p.12.txt,32,Mary Louisa,New York,LONDON,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares",6 January 1883,walnut squares,"Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares","102 logs, 152 pcs. walnut, 1,351 walnut squares","Dec. 27 Mary Louisa-New York-598 logs walnut-Herrmann ; 102 logs, 152 pcs. walnut, 1,351 walnut squares, 485 pcs. oak-Order"
34502,18830106p.12.txt,33,Norrona,Gothenburg,LONDON,"With, Webster ; 19",6 January 1883,boards,"With, Webster","20,648 boards-With, Webster","28 Norrona (s)-Gothenburg-20,648 boards-With, Webster ; 19,722 boards-Berner"
34502,18830106p.12.txt,33,Norrona,Gothenburg,LONDON,"With, Webster ; 19",6 January 1883,boards,Berner,722 boards-Berner,"28 Norrona (s)-Gothenburg-20,648 boards-With, Webster ; 19,722 boards-Berner"
34503,18830106p.12.txt,34,Glencoe,Shanghai,LONDON,Order,6 January 1883,ebony,Order,30 logs ebony-Order,29 Glencoe (s)-Shanghai-30 logs ebony-Order
34504,18830106p.12.txt,35,Douglas Castle,"St. John, N.B.",LONDON,Carvill & Sons,6 January 1883,deals,Carvill,"21,172 deals-Carvill & Sons","Douglas Castle-St. John, N.B.-21,172 deals-Carvill & Sons"
34505,18830106p.12.txt,36,Majorian,Belize,LONDON,C. Anderson & Co.,6 January 1883,fantails,C. Anderson and Co,"35 fantails, 407 logs mahogany-C. Anderson & Co.","Majorian-Belize-35 fantails, 407 logs mahogany-C. Anderson & Co."
34505,18830106p.12.txt,36,Majorian,Belize,LONDON,C. Anderson & Co.,6 January 1883,mahogany,C. Anderson and Co,"35 fantails, 407 logs mahogany-C. Anderson & Co.","Majorian-Belize-35 fantails, 407 logs mahogany-C. Anderson & Co."
