year,london_cargo_rows
1874,1120
1875,1584
1879,1646
1880,111
1881,3449
1882,51
1883,4109
1884,215
1885,3986
1886,118
1887,3839
1888,56
1889,2918
1890,73
1891,2139
1892,129
1893,1601
1895,1639
1896,125
1897,781
1898,115
1899,2314
