record_id,arrival_year,source_file,line_number,ship_name,origin_port,destination_port,row_count,clause_indicators,raw_line
91638,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,117,Sabino,Quebec,LONDON,4,1,"Sabino-Quebec-1,000 pcs. oak, 1,000 pcs. pine, 950 pcs. birch, 14,400 staves-Order"
91640,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,120,A. H. Gabriel & Co.-Russia yard Hoyding,Quebec,LONDON,4,1,"A. H. Gabriel & Co.-Russia yard Hoyding (s)-Quebec-20,754 deals, battens, and ends, 2,017 deal ends-Price & Pierce-Albion yard"
91641,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,122,Medora,Wyborg,LONDON,4,1,"30 Medora-Wyborg-11,229 deals, 719 pcs. birch, 22,010 deal ends, 109 pcs. oak-Webster, & Co."
91644,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,125,Commercial,Quebec,LONDON,4,1,"Commercial-Quebec-16,763 deals, 1,947 pcs. pine, 1,250 deals, 1,736 pcs. oak, 27 pcs. ash-Bryant, Powis, & Co.-Brunswick yard"
91659,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,145,President,Quebec,LONDON,4,1,"President-Quebec-27,774 deals, 268 pcs. birch, 2,114 spruce deal ends, 1,000 pine deal ends-Order"
623,1885,1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,116,Zeus,Wyburg,LONDON,4,1,"Zeus (s)-Wyburg-32,500 deals, battens, and boards, 32 fms. ends-J. Hubbard & Co."
93130,1885,4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p003.txt,129,Zwallon,Risoer,LONDON,4,1,"Zwallon-Risoer-1,813 deals and battens, 831 oak props, 1,452 fir props-Fischer & Co."
93136,1885,4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p003.txt,135,Allegro,Risoer,LONDON,4,1,"Allegro-Risoer-2,318 oak props, 2,083 fir props, 6,777 deals and battens-Fischer"
94486,1885,5. p. 14-18 - Imports - July 4 1885 - Timber Trades Journal 1885_p002.txt,237,Argo,Riga,LONDON,4,1,"Argo (s)-Riga-718 logs, 12,036 deals and battens, 1,439 pcs. lathwood-Order"
5997,1885,13. p. 153-155 - Imports - August 29 1885 - Timber Trades Journal 1885_p002.txt,68,Johanna,Danzig,LONDON,4,1,"Johanna-Danzig-416 oak logs, 9 wainscot logs, 63 pcs. mauerlatten, 94 crossings-Order-Greenland dock"
6035,1885,13. p. 153-155 - Imports - August 29 1885 - Timber Trades Journal 1885_p002.txt,115,Canada,New York,LONDON,4,1,"24 Canada (s)-New York-10 pkgs, 1,000 pcs. oak, 3,880 staves, 13 cs. spokes-Order"
92468,1885,3. p. 446-448 - Imports - June 20 1885 - Timber Trades Journal 1885_p001.txt,167,Hilda,Abo,LONDON,4,1,"Hilda-Abo-8 fms. splitwood, 12,330 deals, battens, and scantlings Sieveking, Droop, & Co.-Acorn yard, 7"
88528,1885,21. p. 375-377 - Imports - May 23 1885 Timber Trades Journal 1885_p001.txt,156,Fruiterer,Drammen,LONDON,4,1,"Fruiterer-Drammen-1,762 flooring boards-Jenny-Fredrikstad-31,794 planks-Churchill & Sim, E. Island shed, 11, Lavender yard."
89208,1885,22. p. 312-315 - Imports - October 31 1885 - Timber Trades Journal 1885_p002.txt,104,Princess,Cronstadt,LONDON,4,1,"Princess (s)-Cronstadt-4,397 deals, 21,005 boards, 2,044 pcs. lathwood, 102 prs. oars-Foy, Morgan, & Co.-Lavender and Baltic yards"
89485,1885,22. p. 392-393 - Iports - May 30 1885 - Timber Trades Journal 1885_p001.txt,98,Bengal,Mobile,LONDON,4,1,"Bengal-Mobile-724 pcs. pine, 2,355 deals, 4,743 boards, 4,040 oak staves-Price"
6423,1885,13. p. 238-239 - Imports - March 28 1885 - Timber Trades Journal 1885_p001.txt,98,Huso,Arendal,LONDON,4,1,"23 Huso-Arendal-43,730 boards, 201 oars, 3,395 battens and firewood-G. F. Neame"
7747,1885,14. p. 252-253 - Imports - April 4 1885 - Timber Trades Journal 1885_p001.txt,126,Lady Blessington,Mobile,LONDON,4,1,"Lady Blessington-Mobile-416 pcs. hewn, 341 pcs. sawn, 26 pcs. stowage, 590 deals-W. Crundall"
8613,1885,15. p. 188-190 - Imports - September 12 1885 - Timber Trades Journal 1885_p002.txt,35,Svend,Cronstadt,LONDON,4,1,"Svend (s)-Cronstadt-17 fms. firewood, 9,041 pcs. lathwood, 15,284 deals, 1,709 battens -Gabriel & Sons, Station yard"
3601,1885,11. p. 207-208 - Imports - March 14 1885 - Timber Trades Journal 1885_p001.txt,124,Belgen,Gothenburg,LONDON,4,1,"Belgen (s)-Gothenburg-3,000 bdls. laths, 295 doors, 377 bdls. mouldings, 15 doz. boards-Order"
4429,1885,12. p. 136-139 - Imports - August 22 1885 - Timber Trades Journal 1885_p002.txt,44,J. von Paepoke,Kotka,LONDON,4,1,"J. von Paepoke-Kotka-70 fms. deals and ends, 51 fms. board ends, 1 fm. deal ends-Duus Brown & Co."
43380,1886,18860102p8-9_p001.txt,87,Montrose,Hommelvik,LONDON,4,1,"Montrose (s)-Hommelvik-37,306 deals and battens, 8,200 broom handles, 30 fms. firewood-With, Webster, & Co.-Acorn yd., 13"
85735,1887,19. p. 461-462 - Imports - November 5 1887 - Timber Trades Journal 1887_p001.txt,100,Abrota,Cronstadt,LONDON,4,1,"Abrota (s)-Cronstadt-29 fms. firewood, 17,426 deals, 635 battens, 2,166 ends-Morgan, Gellibrand, & Co.-Centre yard"
85895,1887,19. p. 488-489 - Imports - May 7 1887 - Timber Trades Journal 1887_p001.txt,174,Dorette,Slite,LONDON,4,1,"Dorette-Slite -233,637 staves, 2,483 headings, 601 deals and boards-Order"
12889,1887,18. p. 434-436 - Imports - October 29 1887 - Timber Trades Journal 1887_p001.txt,180,Glenisla,St. Petersburg,LONDON,4,1,"Glenisla (s)-St. Petersburg-1,000 bdls. laths, 12,343 deals, 3,369 fms. whitewood, 3,369 fms. lathwood-G. Jewett"
11773,1887,17. p. 413-415 - Imports - October 22 1887 - Timber Trades Journal 1887_p001.txt,176,Munin,Uddevalla,LONDON,4,1,"Munin (s)-Uddevalla-1,837 bdls. mouldings, 3 crts. treenails, 365 doors, 78 bdls. laths-S. Brown."
91315,1887,25. p. 608-609 - Imports - December 17 1887 - Timber Trades Journal 1887_p002.txt,72,Sirius,Helsingfors,LONDON,4,1,"14 Sirius (s)-Helsingfors-2,036 bdls. box squares, 3,167 deals, 744 birch poles, 5 bdls. broom handles-Order"
91322,1887,25. p. 608-609 - Imports - December 17 1887 - Timber Trades Journal 1887_p002.txt,82,Munin,Gothenburg,LONDON,4,1,"9 Munin (s)-Gothenburg-3,021 battens, 1,232 deals and boards, 17 fms. firewood-Order"
91333,1887,25. p. 608-609 - Imports - December 17 1887 - Timber Trades Journal 1887_p002.txt,107,Hestia,Quebec,LONDON,4,1,"Hestia-Quebec-221 pcs. oak, 231 pcs. hewn fir, 3,244 fir deals and ends-Wm. Briggs"
91434,1887,25. p. 624-625 - Imports - June 18 1887 - Timber Trades Journal 1887_p001.txt,135,Quebec sheds Anna Lawson,Ljusne,LONDON,4,1,"Quebec sheds Anna Lawson (s)-Ljusne-21,577 deals, battens, and boards, 4 fms. firewood-Berner & Nielsen-Russia yard"
91452,1887,25. p. 624-625 - Imports - June 18 1887 - Timber Trades Journal 1887_p001.txt,158,Emma Lawson,Ljusne,LONDON,4,1,"Emma Lawson (s)-Ljusne-21,577 deals, battens, and boards, 4 fms. firewood-Berner & Nielsen-Russia yard"
91817,1887,26. p. 649-650 - Imports - June 25 1887 - Timber Trades Journal 1887_p001.txt,145,Loch Leven,Archangel,LONDON,4,1,"20 Loch Leven-Archangel-13,071 deals, ends, and battens, 22 fms. firewood-Order"
91818,1887,26. p. 649-650 - Imports - June 25 1887 - Timber Trades Journal 1887_p001.txt,146,Xenophon,Sundswall,LONDON,4,1,"Xenophon-Sundswall-225 fms. deals and batten edgings, 15 fms. planks, 18 fms. boards-Order"
91824,1887,26. p. 649-650 - Imports - June 25 1887 - Timber Trades Journal 1887_p002.txt,5,Glenisla,St. Petersburg,LONDON,4,1,"Glenisla (s)-St. Petersburg-1,393 rickers, 18 fms. firewood, 6 fms. lathwood, 3 stds. deal ends-Order"
87270,1887,2. p. 47-48 - Imports - July 9 1887 - Timber Trades Journal 1887_p001.txt,115,Foscolino,Cronstadt,LONDON,4,1,"Foscolino (s)-Cronstadt-390 stds. deals, battens, and boards, 29 fms. firewood-Neame & Co.-Albion yard"
87821,1887,20. p. 482-483 - Imports - November 12 1887 - Timber Trades Journal 1887_p001.txt,147,Axel,"North Port, N.S.",LONDON,4,1,"Axel-North Port, N.S.-20,202 deals, tens, and ends, 1,434 pcs. firewood-Ford & Co."
