port_name,ship_count,best_fuzzy_match,similarity,needs_research
TYNE,10113,Tornea,60.0%,Yes
BORROWSTOUNNESS,2591,Borrowstounness (Bo'Ness),75.0%,Maybe
LYNN,2586,London,60.0%,Yes
BO'NESS,2122,Odessa,61.5%,Yes
STOCKTON,1952,Stockholm,70.6%,Yes
LONDON (TILBURY DOCKS),1321,Tilbury Docks,74.3%,Yes
KING'S LYNN,1195,Lynn (King's Lynn),75.9%,Maybe
NEWPORT (MON.),625,Newport,66.7%,Yes
GRIMSBY (QUEEN'S DOCK),616,Greenock,53.3%,Yes
BERWICK,607,Wick,72.7%,Yes
LONDON (TILBURY DOCK),516,Tilbury Docks,70.6%,Yes
LONDON (LONDON DOCKS),480,Glasson Dock,48.5%,Yes
QUEEN'S DOCK,401,Greenock,60.0%,Yes
NEWPORT (MON),301,Newport,70.0%,Yes
MILFORD,263,Milford Haven,70.0%,Yes
LERWICK,252,LimerickL,75.0%,Maybe
HARTLEPOOL (WEST),230,Hartlepool,74.1%,Yes
LIVERPOOL (COBURG DOCK),197,Liverpool,56.2%,Yes
QUEBEC,160,Quebec City,70.6%,Yes
DEPTFORD,155,Bideford,75.0%,Maybe
NELSON DOCK,153,Glasson Dock,78.3%,Maybe
COBURG DOCK,149,Tilbury Docks,66.7%,Yes
ALEXANDRA DOCK,141,Alexandria,75.0%,Maybe
DEPTFORD BUOYS,138,Bideford,54.5%,Yes
REGISTERED,134,Leicester,63.2%,Yes
LIVERPOOL (NELSON DOCK),130,Liverpool,56.2%,Yes
LIVERPOOL (QUEEN'S DOCK),122,Liverpool,54.5%,Yes
LONDON DOCKS,117,London,66.7%,Yes
CURRENT PRICES,111,Three Rivers,53.8%,Yes
GOOLE (QUEEN'S DOCK),111,Glasson Dock,50.0%,Yes
BORDEN,102,Aberdeen,71.4%,Yes
PETITION PRESENTED,101,Weston Point,53.3%,Yes
BORROWSTOUNESS,97,Borrowstounness (Bo'Ness),71.8%,Yes
LONDON (SURREY DOCKS),96,Tilbury Docks,58.8%,Yes
GRANTON,92,Taunton,71.4%,Yes
LIVERPOOL (BRUNSWICK DOCK),87,Liverpool,51.4%,Yes
MIDDLESBRO',86,Middlesbrough,83.3%,Maybe
VICTORIA DOCK,84,Portishead dock,64.3%,Yes
MILLWALL DOCKS,82,Tilbury Docks,59.3%,Yes
WMW,81,Wigtown,40.0%,Yes
LONDON (LONDON DOCK),81,Glasson Dock,50.0%,Yes
IMPORTERS OF,80,Portsoy,63.2%,Yes
TENDERS OPEN,79,Hennebont,47.6%,Yes
CLIFFE CREEK,77,LimerickL,47.6%,Yes
UNION DOCK,75,Glasson Dock,63.6%,Yes
CORRESPONDENCE,73,Norrsundet,58.3%,Yes
RESULTS OF TENDERS,72,Preston,48.0%,Yes
SILVERTOWN,71,Seaton,62.5%,Yes
LIVERPOOL (TILBURY DOCK),70,Tilbury Docks,64.9%,Yes
LIVERPOOL (TILBURY DOCKS),69,Tilbury Docks,68.4%,Yes
LIMITED,69,Slite,66.7%,Yes
SDD,69,Sunderland,46.2%,Yes
THE TIMBER TRADES JOURNAL,68,Three Rivers,43.2%,Yes
QUEENBORO',67,Queenborough,81.8%,Maybe
&C,66,Wick,33.3%,Yes
JOINERY OF EVERY DESCRIPTION,63,Invergordon,41.0%,Yes
RUNCORN DOCK,63,Runcorn,73.7%,Yes
ON,61,Oban,66.7%,Yes
HAVRE,58,Ware,66.7%,Yes
UN,58,Dundee,50.0%,Yes
TION,57,Ripon,66.7%,Yes
BARROW,56,Arbroath,57.1%,Yes
LONDON (QUEEN'S DOCK),56,Avonmouth Dock,51.4%,Yes
JOINERY,55,Newry,66.7%,Yes
CONTENTS,54,Cowes,61.5%,Yes
...GOOLE,52,Goole,76.9%,Maybe
PETITIONS PRESENTED,52,Weston Point,51.6%,Yes
LIVERPOOL (WELLINGTON DOCK),52,Liverpool,50.0%,Yes
GRIMSBY (PRINCE'S DOCK),48,Portishead dock,47.4%,Yes
DIVIDENDS,47,Inverness,55.6%,Yes
ION,47,Ripon,75.0%,Maybe
FIFE,46,Fiume,66.7%,Yes
FOR,46,Oxford,66.7%,Yes
CANADA DOCK,46,Glasson Dock,60.9%,Yes
SKIBBEREEN,44,Aberdeen,66.7%,Yes
NEW BRUNSWICK LUMBER PROSPECTS,44,Berwick-upon-Tweed,37.5%,Yes
TILBURY,44,Tilbury Docks,70.0%,Yes
MILLWALL DOCK,44,Glasson Dock,56.0%,Yes
N,43,Oban,40.0%,Yes
SHOREHAM,42,Soderhamn,70.6%,Yes
ALBERT DOCK,42,Tilbury Docks,66.7%,Yes
DOORS,42,Storfors,61.5%,Yes
PURFLEET,40,Fleetwood,58.8%,Yes
VICTORIA AND ALBERT DOCKS,40,Neath and Briton Ferry Docks,56.6%,Yes
REVIEW,39,Irvine,66.7%,Yes
TELLURIC CEMENT,39,Bremen,47.6%,Yes
CLYDE TRUST,39,Lyme Regis,57.1%,Yes
CLEM WOOD,38,Fleetwood,66.7%,Yes
GRIMSBY (PRINCES DOCK),37,Portishead dock,48.6%,Yes
LIVERPOOL (TOWER DOCK),36,Liverpool,58.1%,Yes
OCK,35,York,57.1%,Yes
M. & J. BROWN,35,St. John,47.6%,Yes
LIVERPOOL (PRINCE'S DOCK),34,Liverpool,52.9%,Yes
FILES,34,Leeds,60.0%,Yes
VIGERS BROS,34,Middlesbrough,50.0%,Yes
SEPTEMBER,33,Tremblade,55.6%,Yes
PETITION PRESENTED FOR CESSIO,33,Weston Point,39.0%,Yes
COLLINSON & LOCK,33,Glasson Dock,57.1%,Yes
WEST INDIA DOCKS,32,Tilbury Docks,55.2%,Yes
SURREY DOCKS,31,Tilbury Docks,72.0%,Yes
FOREIGN,31,Workington,58.8%,Yes
BXBXB,31,Bombay,36.4%,Yes
LIVERPOOL (DOCK),31,Liverpool,72.0%,Yes
PEMBROKE,30,Pembroke Dock,76.2%,Maybe
VICTORIA DOCKS,30,Portishead dock,62.1%,Yes
HORNBY DOCK,30,Sharpness Docks,61.5%,Yes
MENT,30,Bremen,60.0%,Yes
ROBERT,30,Tarbert,76.9%,Maybe
NEWCASTLE-ON-TYNE,29,Newcastle upon Tyne,83.3%,Maybe
B,29,Abo,50.0%,Yes
GARSTON DOCK,29,Glasson Dock,83.3%,Maybe
OLE,29,Goole,75.0%,Maybe
WEST HARTLEPOOL,28,Hartlepool,80.0%,Maybe
FOR LONDON,28,London,75.0%,Maybe
LONDON. DOCKS,28,Glasson Dock,64.0%,Yes
PENICUIK,28,Pictou,57.1%,Yes
LONDON (LONDON. DOCKS),27,Glasson Dock,47.1%,Yes
VICTORIA AND ALBERT DOCK,27,Neath and Briton Ferry Docks,53.8%,Yes
TICES,27,Trieste,66.7%,Yes
TOWN DOCK,27,Glasson Dock,66.7%,Yes
LONDON (UNION DOCK),27,Avonmouth Dock,54.5%,Yes
JOINERY SENT FREE,27,Johnshaven,44.4%,Yes
N BELTING,26,Bolton,53.3%,Yes
PROCEEDINGS UNDER CESSIO,26,Barrow-in-Furness,43.9%,Yes
BROWN & KRUSE,26,Barrow-in-Furness,46.7%,Yes
LANGTON DOCK,26,Glasson Dock,75.0%,Maybe
LIVERPOOL (UNION DOCK),26,Liverpool,58.1%,Yes
S. PER DOZEN,25,St. Helens,54.5%,Yes
WATERFORD,24,Wexford,75.0%,Maybe
CARNARVON,24,Aberayron,66.7%,Yes
PRINCE'S DOCK,24,Portishead dock,64.3%,Yes
WELLINGTON DOCK,24,Glasson Dock,59.3%,Yes
R,24,Rye,50.0%,Yes
M. S. RENNET,23,Hennebont,47.6%,Yes
& CO,23,Cork,50.0%,Yes
ROYAL ALBERT DOCK,22,Pembroke Dock,53.3%,Yes
REGENT'S CANAL DOCKS,22,Surrey Commercial Docks,55.8%,Yes
TOWER,22,Antwerp,66.7%,Yes
BELLYWOOD,22,Fleetwood,55.6%,Yes
BRIDGE,22,Cambridge,80.0%,Maybe
PRINCES DOCK,22,Portishead dock,66.7%,Yes
M & J BROWN,21,Mo i Rana,50.0%,Yes
ING,21,Reading,60.0%,Yes
GREENOCK (TILBURY DOCKS),21,Tilbury Docks,70.3%,Yes
WEST INDIA DOCK,20,West Bay,52.2%,Yes
BOSTON DOCK,20,Boston,70.6%,Yes
REGENT'S DOCK,20,Greenock,66.7%,Yes
LEMENT,20,Bremen,66.7%,Yes
Z,20,Danzig,28.6%,Yes
DON,20,Redon,75.0%,Maybe
LOUP,20,Falmouth,50.0%,Yes
BUTE DOCK,20,Pembroke Dock,63.6%,Yes
DUNDALK,19,Sundswall,62.5%,Yes
GRIMSBY (TILBURY DOCK),19,Tilbury Docks,68.6%,Yes
INTER TOPS,19,Antwerp,58.8%,Yes
LONDON (NELSON DOCK),19,Glasson Dock,56.2%,Yes
BIRKENHEAD DOCK,18,Portishead dock,66.7%,Yes
M.J,18,Domsjo,44.4%,Yes
ROYAL ALBERT DOCKS,17,Tilbury Docks,58.1%,Yes
LIVERPOOL (DOCKS),17,Liverpool,69.2%,Yes
OTTI STREET,17,Trieste,55.6%,Yes
W.O,17,Wyborg,44.4%,Yes
IF YOU,17,Pictou,50.0%,Yes
TYNE DOCK,17,Tilbury Docks,63.6%,Yes
FRASERBURGH,16,Aldeburgh,70.0%,Yes
NORTHFLEET,16,Fleetwood,52.6%,Yes
BANFF,16,Oban,66.7%,Yes
JULY,16,Hull,50.0%,Yes
PETITIONS PRESENTED FOR CESSIO,16,Portishead dock,40.0%,Yes
KEN,16,Skien,75.0%,Maybe
RAILWAY DOCK,16,Tilbury Docks,64.0%,Yes
