port_name,ship_count,best_fuzzy_match,similarity
TYNE,10113,Tornea,0.6
BORROWSTOUNNESS,2591,Borrowstounness (Bo'Ness),0.75
LYNN,2586,London,0.6
BO'NESS,2122,Odessa,0.6153846153846154
STOCKTON,1952,Stockholm,0.7058823529411765
LONDON (TILBURY DOCKS),1321,Tilbury Docks,0.7428571428571429
KING'S LYNN,1195,Lynn (King's Lynn),0.7586206896551724
PITWOOD,982,Fleetwood,0.625
NEWPORT (MON.),625,Newport,0.6666666666666666
GRIMSBY (QUEEN'S DOCK),616,Greenock,0.5333333333333333
BERWICK,607,Wick,0.7272727272727273
LONDON (TILBURY DOCK),516,Tilbury Docks,0.7058823529411765
LONDON (LONDON DOCKS),480,Glasson Dock,0.48484848484848486
SOUND LIST,434,Slite,0.5333333333333333
QUEEN'S DOCK,401,Greenock,0.6
NEWPORT (MON),301,Newport,0.7
REDWOOD,297,Redon,0.6666666666666666
MILFORD,263,Milford Haven,0.7
FULLY SECURED,254,Fleetwood,0.45454545454545453
LERWICK,252,LimerickL,0.75
HARTLEPOOL (WEST),230,Hartlepool,0.7407407407407407
BUILDING NEWS,216,Boulogne,0.5714285714285714
LIVERPOOL (COBURG DOCK),197,Liverpool,0.5625
QUEBEC,160,Quebec City,0.7058823529411765
DEPTFORD,155,Bideford,0.75
NELSON DOCK,153,Glasson Dock,0.782608695652174
CREDITORS FULLY SECURED,151,Fredrikshald,0.4
COBURG DOCK,149,Tilbury Docks,0.6666666666666666
ALEXANDRA DOCK,141,Alexandria,0.75
OTHER DOCKS AND WHARVES,140,Hernosand,0.5
DEPTFORD BUOYS,138,Bideford,0.5454545454545454
REGISTERED,134,Peterhead,0.631578947368421
LIVERPOOL (NELSON DOCK),130,Liverpool,0.5625
LIVERPOOL (QUEEN'S DOCK),122,Liverpool,0.5454545454545454
LONDON DOCKS,117,Glasson Dock,0.6666666666666666
CURRENT PRICES,111,Three Rivers,0.5384615384615384
GOOLE (QUEEN'S DOCK),111,Glasson Dock,0.5
BORDEN,102,Aberdeen,0.7142857142857143
PETITION PRESENTED,101,Weston Point,0.5333333333333333
BORROWSTOUNESS,97,Borrowstounness (Bo'Ness),0.717948717948718
LONDON (SURREY DOCKS),96,Tilbury Docks,0.5882352941176471
GRANTON,92,Rangoon,0.7142857142857143
LIVERPOOL (BRUNSWICK DOCK),87,Liverpool,0.5142857142857142
MIDDLESBRO',86,Middlesbrough,0.8333333333333334
