port_name,ship_count,latitude,longitude,country,alternative_names,notes
Lerwick,252,60.155,-1.145,Scotland,LERWICK,Shetland Islands
Deptford,293,51.478,-0.0265,England,"DEPTFORD, DEPTFORD BUOYS",London Thames dock
Borden,102,51.334,0.703,England,BORDEN,Kent
Cliffe,77,51.4619,0.4975,England,CLIFFE CREEK,"Cliffe, Kent on Thames Estuary"
Silvertown,71,51.5,0.03,England,SILVERTOWN,London Thames docks
Skibbereen,44,51.5486,-9.2636,Ireland,SKIBBEREEN,County Cork
Purfleet,40,51.48,0.25,England,PURFLEET,"Thames Estuary, Essex"
