source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",1,Norwe Paxk bl,"Falkenhauz,",,"11,896 props, Low, Stewart & & Morris",,,,1874,2,May,1874,False,condensed,0.7,"Norwe Paxk bl Falkenhauz,—11,896 props, Low, Stewart & & Morris"
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",43,Bay of,Kileybo,,"99 loads hardwood, A. Johnson & Jones.",,,,1874,2,May,1874,False,condensed,0.7,"Bay of Kileybo—99 loads hardwood, A. Johnson & Jones."
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",50,Contrast & Gothenburg &,"Riga,",,"45 loads battens, Morrison & Co.",,,,1874,2,May,1874,False,condensed,0.7,"Contrast & Gothenburg & Riga,—45 loads battens, Morrison & Co."
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",60,Charter,Traffic.,,The indications are that within the next ten or,,,,1874,2,May,1874,False,condensed,0.7,Charter Traffic.—The indications are that within the next ten or
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",95,and,,,"industry. The American Builder and lumber business, increase.",,,,1874,2,May,1874,False,condensed,0.7,"and industry.—The American Builder and lumber business, increase."
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",128,It is not now is it the shortage of the means through the,,LONDON,con victed consumers to a free disposal of goods from delivery as far as,,,,1874,2,May,1874,False,condensed,0.9,It is not now is it the shortage of the means through the con- victed consumers to a free disposal of goods from delivery as far as
"18740502_1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p003_polaris_polaris.txt",161,hurry to number supplies more conventual. If we,,LONDON,and at least,,,,1874,2,May,1874,False,condensed,0.9,hurry to number supplies more conventual. If we—and—at least
"18741212_17. p. 253-255 - December 12 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001_polaris_polaris.txt",59,Queen,"st., Dalry",LONDON,"road, Edinburgh, builder.  Mr. A. Paterson’s, 76",,,,1874,12,December,1874,False,condensed,0.9,"Queen-st., Dalry-road, Edinburgh, builder.  Mr. A. Paterson’s, 76,"
"18741212_17. p. 253-255 - December 12 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001_polaris_polaris.txt",60,Elect a new,,LONDON,com missioner.,,,,1874,12,December,1874,False,condensed,0.9,Elect a new com- missioner.
"18741212_17. p. 253-255 - December 12 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001_polaris_polaris.txt",81,absorbing diminishes the conductivity and has also excluded the compression. The,LIGHTERS.,LONDON,M. W. J. Wardwich patents the use of hot moulds,,,,1874,12,December,1874,False,condensed,0.9,"absorbing diminishes the conductivity and has also excluded the compression. The LIGHTERS.—M. W. J. Wardwich patents the use of hot moulds,"
"18741212_17. p. 253-255 - December 12 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001_polaris_polaris.txt",84,of becoming for the time,,LONDON,being. Chemical now treated suitable for ores.,,,,1874,12,December,1874,False,condensed,0.9,of becoming for the time being.  —Chemical now treated suitable for ores.
"18741212_17. p. 253-255 - December 12 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001_polaris_polaris.txt",92,lighter fuel.  It is also preferred to latter somewhat broken.  For insulators is made highly as mixed milled resin or pitch before,,LONDON,use. Practical Magazine.,,,,1874,12,December,1874,False,condensed,0.9,lighter fuel.  It is also preferred to latter somewhat broken.  For insulators is made highly as mixed milled resin or pitch before use.—Practical Magazine.
