issue_date,year,month,day,status,ocr_files,ocr_pages,failed_count,failed_errors,ships_parsed,unprocessed_pdfs
1883-05-12,1883,05,12,OCR_COMPLETE,2,2,0,,106,0
1883-05-19,1883,05,19,OCR_COMPLETE,2,2,0,,89,0
1883-05-26,1883,05,26,OCR_COMPLETE,3,3,0,,145,0
1883-06-02,1883,06,02,OCR_COMPLETE,2,2,0,,195,0
1883-06-09,1883,06,09,OCR_COMPLETE,3,3,0,,169,0
1883-06-10,1883,06,10,OCR_COMPLETE,3,3,0,,151,0
1883-06-23,1883,06,23,OCR_COMPLETE,3,3,0,,60,0
1883-06-30,1883,06,30,OCR_COMPLETE,3,3,0,,325,0
1883-07-07,1883,07,07,OCR_COMPLETE,5,5,0,,221,0
1883-07-14,1883,07,14,OCR_COMPLETE,5,5,0,,218,0
1883-07-21,1883,07,21,OCR_COMPLETE,4,4,0,,261,0
1883-07-28,1883,07,28,OCR_COMPLETE,4,4,0,,261,0
1883-08-04,1883,08,04,OCR_COMPLETE,4,4,0,,249,0
1883-08-11,1883,08,11,OCR_COMPLETE,4,4,0,,213,0
1883-08-18,1883,08,18,OCR_COMPLETE,4,4,0,,432,0
1883-08-25,1883,08,25,OCR_COMPLETE,3,3,0,,250,0
1883-09-01,1883,09,01,OCR_COMPLETE,4,4,0,,342,0
1883-09-08,1883,09,08,OCR_COMPLETE,4,4,0,,403,0
1883-09-15,1883,09,15,OCR_COMPLETE,4,4,0,,179,0
1883-09-22,1883,09,22,OCR_COMPLETE,4,4,0,,288,0
1883-09-29,1883,09,29,OCR_COMPLETE,5,5,0,,613,0
1883-10-06,1883,10,06,OCR_COMPLETE,4,4,0,,323,0
1883-10-13,1883,10,13,OCR_COMPLETE,3,3,0,,428,0
1883-10-20,1883,10,20,OCR_COMPLETE,4,4,0,,166,0
1883-10-27,1883,10,27,OCR_COMPLETE,3,3,0,,245,0
1883-11-03,1883,11,03,OCR_COMPLETE,3,3,0,,206,0
1883-11-10,1883,11,10,OCR_COMPLETE,3,3,0,,187,0
1883-11-17,1883,11,17,OCR_COMPLETE,4,4,0,,259,0
1883-11-24,1883,11,24,OCR_COMPLETE,4,4,0,,288,0
1883-12-01,1883,12,01,OCR_COMPLETE,2,2,0,,179,0
1883-12-08,1883,12,08,OCR_COMPLETE,3,3,0,,171,0
1883-12-15,1883,12,15,OCR_COMPLETE,2,2,0,,192,0
1883-12-22,1883,12,22,OCR_COMPLETE,3,3,0,,70,0
1883-12-29,1883,12,29,OCR_COMPLETE,2,2,0,,132,0
1884-01-05,1884,01,05,OCR_COMPLETE,2,2,0,,198,0
1884-01-12,1884,01,12,OCR_COMPLETE,3,3,0,,126,0
1884-01-19,1884,01,19,OCR_COMPLETE,3,3,0,,95,0
1884-01-26,1884,01,26,OCR_COMPLETE,1,1,0,,72,0
1889-01-05,1889,01,05,OCR_COMPLETE,4,4,0,,120,0
1889-01-12,1889,01,12,OCR_COMPLETE,3,3,0,,123,0
1889-01-19,1889,01,19,OCR_COMPLETE,3,3,0,,147,0
1889-01-26,1889,01,26,OCR_COMPLETE,3,3,0,,116,0
1889-02-02,1889,02,02,OCR_COMPLETE,2,2,0,,73,0
1889-02-09,1889,02,09,OCR_COMPLETE,2,2,0,,2,0
1889-02-16,1889,02,16,OCR_COMPLETE,2,2,0,,29,0
1889-02-23,1889,02,23,OCR_COMPLETE,2,2,0,,21,0
1889-03-02,1889,03,02,OCR_COMPLETE,2,2,0,,93,0
1889-03-09,1889,03,09,OCR_COMPLETE,3,3,0,,129,0
1889-03-16,1889,03,16,OCR_COMPLETE,3,3,0,,70,0
1889-03-23,1889,03,23,OCR_COMPLETE,2,2,0,,59,0
1889-03-30,1889,03,30,OCR_COMPLETE,3,3,0,,49,0
1889-04-06,1889,04,06,OCR_COMPLETE,3,3,0,,78,0
1889-04-13,1889,04,13,OCR_COMPLETE,3,3,0,,155,0
