filename,full_path,run,finish_reason,error_type
"6. p. 91-94 - July 10 1875 - Imports of Timber, &c. - Timber Trades Journal Vol. 3 1875_p002.png","ocr_ready/1875_test/2. Timber Trades Journal Vol. 3 - 1875/6. p. 91-94 - July 10 1875 - Imports of Timber, &c. - Timber Trades Journal Vol. 3 1875_p002.png",new (65536 tokens),2,MAX_TOKENS
"8. p. 121-124 - Augus 7 1875 - Imports of Timber, &c. - Timber Trades Journal Vol. 3 1875_p002.png","ocr_ready/1875/2. Timber Trades Journal Vol. 3 - 1875/8. p. 121-124 - Augus 7 1875 - Imports of Timber, &c. - Timber Trades Journal Vol. 3 1875_p002.png",new (65536 tokens),2,MAX_TOKENS
"2. p. 315-316 - January 20 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p001.png","ocr_ready/1877/Timber Trades Journal Vol. 4 1877/2. p. 315-316 - January 20 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p001.png",new (65536 tokens),2,MAX_TOKENS
"12. 187-191 - September 29 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/12. 187-191 - September 29 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.png",new (65536 tokens),2,MAX_TOKENS
"15. 236-239 - November 10 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/15. 236-239 - November 10 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.png",new (65536 tokens),2,MAX_TOKENS
"18. 283-286 - December 22 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/18. 283-286 - December 22 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png",new (65536 tokens),2,MAX_TOKENS
"3. p. 43-45 - May 26 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/3. p. 43-45 - May 26 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.png",new (65536 tokens),2,MAX_TOKENS
"6. 90-93 - July 7 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/6. 90-93 - July 7 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.png",new (65536 tokens),2,MAX_TOKENS
"7. 106-110 - July 21 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/7. 106-110 - July 21 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png",new (65536 tokens),2,MAX_TOKENS
"9. 138-142 - August 18 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png","ocr_ready/1877/Timber Trades Journal Vol. 5 1877/9. 138-142 - August 18 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p004.png",new (65536 tokens),2,MAX_TOKENS
18810108p.21_p002.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18810108p.21_p002.png,new (65536 tokens),2,MAX_TOKENS
18810723p.64_p004.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18810723p.64_p004.png,new (65536 tokens),2,MAX_TOKENS
18811015p.264_p001.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811015p.264_p001.png,new (65536 tokens),2,MAX_TOKENS
18811029p.295_p003.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811029p.295_p003.png,new (65536 tokens),2,MAX_TOKENS
18811112p.324_p003.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811112p.324_p003.png,new (65536 tokens),2,MAX_TOKENS
18811217p.403_p002.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811217p.403_p002.png,new (65536 tokens),2,MAX_TOKENS
18811231p.433_p001.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811231p.433_p001.png,new (65536 tokens),2,MAX_TOKENS
18811231p.433_p002.png,ocr_ready/1881/Imports - The Timber Trades Journal 1881 Vol. 11/18811231p.433_p002.png,new (65536 tokens),2,MAX_TOKENS
18. p. 318-320 - Imports - May 2 1885 - Timber Trades Journal 1885_p002.png,ocr_ready/1885/Timber Trades Journal 1885 part 1/18. p. 318-320 - Imports - May 2 1885 - Timber Trades Journal 1885_p002.png,new (65536 tokens),2,MAX_TOKENS
11. p. 116-119 - Imports - August 15 1885 - Timber Trades Journal 1885_p003.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/11. p. 116-119 - Imports - August 15 1885 - Timber Trades Journal 1885_p003.png,new (65536 tokens),2,MAX_TOKENS
15. p. 188-190 - Imports - September 12 1885 - Timber Trades Journal 1885_p001.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/15. p. 188-190 - Imports - September 12 1885 - Timber Trades Journal 1885_p001.png,new (65536 tokens),2,MAX_TOKENS
2. p. 428-430 - Imports - June 13 1885 - Timber Trades Journal 1885_p002.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/2. p. 428-430 - Imports - June 13 1885 - Timber Trades Journal 1885_p002.png,new (65536 tokens),2,MAX_TOKENS
21. p. 296-300 - Imports - October 24 1885 - Timber Trades Journal 1885_p002.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/21. p. 296-300 - Imports - October 24 1885 - Timber Trades Journal 1885_p002.png,new (65536 tokens),2,MAX_TOKENS
23. p. 332-335 - Imports - November 7 1885 - Timber Trades Journal 1885_p001.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/23. p. 332-335 - Imports - November 7 1885 - Timber Trades Journal 1885_p001.png,new (65536 tokens),2,MAX_TOKENS
27. p. 426-427 - Imports - December 12 1885 - Timber Trades Journal 1885_p001.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/27. p. 426-427 - Imports - December 12 1885 - Timber Trades Journal 1885_p001.png,new (65536 tokens),2,MAX_TOKENS
4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p001.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p001.png,new (65536 tokens),2,MAX_TOKENS
4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p002.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/4. p. 464-467 - Imports - June 27 1885 - Timber Trades Journal 1885_p002.png,new (65536 tokens),2,MAX_TOKENS
6. p. 32-35 - Imports - July 11 1885 - Timber Trades Journal 1885_p004.png,ocr_ready/1885/Timber Trades Journal 1885 part 2/6. p. 32-35 - Imports - July 11 1885 - Timber Trades Journal 1885_p004.png,new (65536 tokens),2,MAX_TOKENS
1. p. 19-21- Imports - July 2 1887 - Timber Trades Journal 1887_p001.png,ocr_ready/1887/Timber Trades Journal 1887 part 2/1. p. 19-21- Imports - July 2 1887 - Timber Trades Journal 1887_p001.png,new (65536 tokens),2,MAX_TOKENS
26. p. 633 - Imports - December 24 1887 - Timber Trades Journal 1887.png,ocr_ready/1887/Timber Trades Journal 1887 part 2/26. p. 633 - Imports - December 24 1887 - Timber Trades Journal 1887.png,new (65536 tokens),2,MAX_TOKENS
9. p. 205-208 - Imports - August 27 1887 - Timber Trades Journal 1887_p002.png,ocr_ready/1887/Timber Trades Journal 1887 part 2/9. p. 205-208 - Imports - August 27 1887 - Timber Trades Journal 1887_p002.png,new (65536 tokens),2,MAX_TOKENS
