issue_date,year,month,status,ocr_files,csv_ships,ocr_candidates,delta_candidates_minus_csv,month_median,ratio_to_median,files_matched,severity
1891-07-11,1891,7,OCR_COMPLETE,4,65,4,-61,104,0.62,4,0.0
1899-07-22,1899,7,OCR_COMPLETE,5,69,4,-65,104,0.66,5,0.0
1889-06-22,1889,6,OCR_COMPLETE,4,80,13,-67,128,0.62,4,0.0
1899-09-23,1899,9,OCR_COMPLETE,7,115,48,-67,183,0.63,7,0.0
1893-07-22,1893,7,OCR_COMPLETE,4,70,2,-68,104,0.67,4,0.0
1893-09-30,1893,9,OCR_COMPLETE,4,130,62,-68,183,0.71,4,0.0
1881-09-17,1881,9,OCR_COMPLETE,4,245,176,-69,183,1.34,4,0.0
1899-07-29,1899,7,OCR_COMPLETE,6,75,5,-70,104,0.72,6,0.0
1891-07-18,1891,7,OCR_COMPLETE,3,74,1,-73,104,0.71,3,0.0
1899-09-30,1899,9,OCR_COMPLETE,5,104,28,-76,183,0.57,5,0.0
1897-06-12,1897,6,OCR_COMPLETE,4,80,3,-77,128,0.62,4,0.0
1893-06-10,1893,6,OCR_COMPLETE,3,110,32,-78,128,0.86,3,0.0
1893-06-24,1893,6,OCR_COMPLETE,4,115,36,-79,128,0.90,4,0.0
1897-06-19,1897,6,OCR_COMPLETE,4,80,0,-80,128,0.62,4,0.0
1895-07-20,1895,7,OCR_COMPLETE,4,83,2,-81,104,0.79,4,0.0
1889-08-10,1889,8,OCR_COMPLETE,3,86,3,-83,213,0.40,3,0.0
1895-09-14,1895,9,OCR_COMPLETE,3,127,44,-83,183,0.69,3,0.0
1893-07-29,1893,7,OCR_COMPLETE,4,128,44,-84,104,1.22,4,0.0
1893-06-17,1893,6,OCR_COMPLETE,4,95,9,-86,128,0.74,4,0.0
1895-07-06,1895,7,OCR_COMPLETE,4,95,8,-87,104,0.91,4,0.0
1893-07-01,1893,7,OCR_COMPLETE,4,91,1,-90,104,0.87,4,0.0
1889-09-28,1889,9,OCR_COMPLETE,3,98,3,-95,183,0.53,3,0.0
1879-06-21,1879,6,OCR_COMPLETE,2,163,65,-98,128,1.27,2,0.0
1881-08-27,1881,8,OCR_COMPLETE,4,208,109,-99,213,0.98,4,0.0
1895-08-03,1895,8,OCR_COMPLETE,4,101,2,-99,213,0.47,4,0.0
1883-07-14,1883,7,OCR_COMPLETE,5,218,118,-100,104,2.09,5,0.0
1895-08-10,1895,8,OCR_COMPLETE,4,113,10,-103,213,0.53,4,0.0
1881-06-11,1881,6,OCR_COMPLETE,3,112,8,-104,128,0.88,3,0.0
1891-09-12,1891,9,OCR_COMPLETE,4,110,4,-106,183,0.60,4,0.0
1879-08-16,1879,8,OCR_COMPLETE,3,303,192,-111,213,1.42,3,0.0
1899-07-01,1899,7,OCR_COMPLETE,6,114,2,-112,104,1.09,6,0.0
1893-07-08,1893,7,OCR_COMPLETE,5,115,2,-113,104,1.10,5,0.0
1889-06-29,1889,6,OCR_COMPLETE,5,118,4,-114,128,0.92,5,0.0
1889-06-01,1889,6,OCR_COMPLETE,5,147,32,-115,128,1.15,5,0.0
1881-06-18,1881,6,OCR_COMPLETE,3,127,9,-118,128,0.99,3,0.0
1893-08-05,1893,8,OCR_COMPLETE,5,135,10,-125,213,0.63,5,0.0
1881-06-25,1881,6,OCR_COMPLETE,2,129,1,-128,128,1.01,2,0.0
1883-06-10,1883,6,OCR_COMPLETE,3,151,14,-137,128,1.18,3,0.0
1893-06-03,1893,6,OCR_COMPLETE,3,145,3,-142,128,1.13,3,0.0
1881-07-16,1881,7,OCR_COMPLETE,3,146,2,-144,104,1.40,3,0.0
1895-09-21,1895,9,OCR_COMPLETE,4,147,1,-146,183,0.80,4,0.0
