port_name,port_type,year,num_ships,num_cargo_items,top_commodity_1,top_commodity_2,top_commodity_3
& CO,destination,1899,6,9,deals,sawn poplar,oak
& COFFIN STUFF,destination,1891,3,0,,,
'Hambro',origin,1887,2,2,wood,logs,
'Orient,origin,1895,1,1,pitwood,,
-,origin,1899,2,1,avenue,,
-Riga,origin,1889,1,2,hewn fir,battens,
-Riga,origin,1897,1,1,battens,,
-Wifstawarf,origin,1891,1,2,sawn fir,hewn fir,
.,origin,1874,2,0,,,
... ... M G & CO,destination,1899,6,6,hewn fir pitwood,sawn fir,deals
A Coru̱a,origin,1879,3,2,,,
A Coru̱a,origin,1881,9,9,pitwood,fir hewn,pit
A Coru̱a,origin,1883,21,21,pitwood,hewn fir,sawn fir
A Coru̱a,origin,1884,1,1,hewn fir,,
A Coru̱a,origin,1885,19,19,hewn fir,pitwood,
A Coru̱a,origin,1886,1,1,pitwood,,
A Coru̱a,origin,1887,19,19,hewn fir,pitwood,pit
A Coru̱a,origin,1888,1,1,hewn fir,,
A Coru̱a,origin,1889,8,8,pitwood,,
A Coru̱a,origin,1890,1,1,pitwood,,
A Coru̱a,origin,1891,5,5,pitwood,,
A Coru̱a,origin,1897,1,1,pitwood,,
AXIM,origin,1899,1,0,,,
Aagaards,origin,1883,1,0,,,
Aahus,origin,1899,1,1,firewood,,
Aaland,origin,1887,1,1,pit,,
Aalborg,origin,1883,1,1,broom wood,,
Aalborg,origin,1884,1,1,woodware,,
Aalborg,origin,1885,1,1,hoops,,
Aalborg,origin,1889,4,4,brushwood,deals,boards
Aalborg,origin,1891,3,4,bales,telegraph poles,props
Aalborg,origin,1893,4,4,wood,packages,
Aalesund,origin,1881,2,3,firwood,deals,birch
Aalesund,origin,1887,1,1,pit,,
Aamaes,origin,1885,1,1,props,,
Aarhus,origin,1875,1,1,casks,,
Aarhus,origin,1879,1,0,,,
Aarhus,origin,1883,1,1,case,,
Aarhus,origin,1887,4,5,staves,firewood,casks
Aarhus,origin,1891,1,1,sawn,,
Aarhus,origin,1893,3,3,casks,bales,boards
Aasgaardstrand,origin,1875,2,2,props,pit,
Aasgaardstrand,origin,1877,1,1,props,,
Aasgaardstrand,origin,1881,2,4,pit,battens,sleepers
Aasgaardstrand,origin,1883,2,2,pit,,
Aasgaardstrand,origin,1885,1,1,pit,,
Aasgaardstrand,origin,1889,3,3,pit,,
Aasgaardstrand,origin,1891,3,3,props,pit,
Aasgaardstrand,origin,1893,2,2,hewn fir,pitwood,
Aasgaardstrand,origin,1897,1,1,pitwood,,
Aastad,origin,1889,1,1,crowntrees,,
Abbola,origin,1891,1,1,firewood,,
Aberdeen,origin,1877,1,2,sleepers,half,
Ablafors,origin,1881,2,2,firewood,deals,
Abo,origin,1875,4,14,deals,laths,pit
Abo,origin,1877,4,9,timber,planks,pit
Abo,origin,1879,5,5,deals,boards,
Abo,origin,1881,16,20,deals,firewood,battens
Abo,origin,1883,40,40,deals,staves,battens
Abo,origin,1885,33,44,deals,sawn fir,battens
Abo,origin,1886,1,1,deals,,
Abo,origin,1887,16,18,sawn fir,firewood,deals
Abo,origin,1889,31,32,deals,staves,battens
Abo,origin,1890,1,1,deals,,
Abo,origin,1891,17,19,deals,battens,firewood
Abo,origin,1892,2,2,staves,scantlings,
Abo,origin,1893,32,35,deals,battens,sawn fir
Abo,origin,1895,19,24,staves,battens,deals
Abo,origin,1896,1,1,firewood,,
Abo,origin,1897,4,5,battens,props,staves
Abo,origin,1899,9,9,battens,deals & battens,stds
Abord,origin,1889,1,2,timber,firewood,
Abus,origin,1889,4,5,pit,props,beech
Aby,origin,1899,1,1,pitprops,,
Abyn,origin,1875,1,1,planks,,
Abyn,origin,1879,2,2,deals,boards,
Abyn,origin,1881,3,4,fir hewn,fir sawn,firewood
Abyn,origin,1883,6,7,fir,sawn fir,spars
Abyn,origin,1885,3,3,deals,,
Abyn,origin,1893,3,3,sawn fir,fir deals,
