origin_port,destination_port,year,num_ships,num_cargo_items,top_commodity,top_commodity_count
'Hambro',London,1887,1,1,wood,1
'Hambro',London (Deptford Buoys),1887,1,1,logs,1
'Orient,Bristol,1895,1,1,pitwood,1
-,Greenock,1899,1,0,,0
-,Liverpool,1899,1,1,avenue,1
-Riga,Dundee,1889,1,2,hewn fir,1
-Riga,Grimsby,1897,1,1,battens,1
-Wifstawarf,Bristol,1891,1,2,sawn fir,1
.,Greenock,1874,2,0,,0
A Coru̱a,BROWN & KRUSE,1891,1,1,pitwood,1
A Coru̱a,Boston,1881,1,1,pitwood,1
A Coru̱a,Boston,1887,2,2,hewn fir,2
A Coru̱a,Boston,1890,1,1,pitwood,1
A Coru̱a,Boston,1897,1,1,pitwood,1
A Coru̱a,Bristol,1881,6,6,pitwood,5
A Coru̱a,Bristol,1883,15,15,pitwood,12
A Coru̱a,Bristol,1884,1,1,hewn fir,1
A Coru̱a,Bristol,1885,16,16,pitwood,8
A Coru̱a,Bristol,1886,1,1,pitwood,1
A Coru̱a,Bristol,1887,17,17,hewn fir,10
A Coru̱a,Bristol,1888,1,1,hewn fir,1
A Coru̱a,Bristol,1889,7,7,pitwood,7
A Coru̱a,Bristol,1891,4,4,pitwood,4
A Coru̱a,Newport,1881,1,1,pit,1
A Coru̱a,Newport,1883,2,2,pitwood,2
A Coru̱a,Newport,1885,1,1,pitwood,1
A Coru̱a,TENDERS OPEN,1883,1,1,pitwood,1
Aagaards,Londonderry,1883,1,0,,0
Aahus,Inverness,1899,1,1,firewood,1
Aaland,Tyne,1887,1,1,pit,1
Aalborg,Grimsby,1889,1,1,deals,1
Aalborg,Liverpool,1891,1,2,telegraph poles,1
Aalborg,Newport,1889,1,1,boards,1
Aalborg,Sligo,1889,1,1,brushwood,1
Aalborg,Tyne,1883,1,1,broom wood,1
Aalborg,Tyne,1884,1,1,woodware,1
Aalborg,Tyne,1885,1,1,hoops,1
Aalborg,Tyne,1889,1,1,brushwood,1
Aalborg,Tyne,1891,2,2,bales,1
Aalborg,Tyne,1893,4,4,wood,3
Aalesund,Cork,1881,1,2,firwood,1
Aalesund,Fleetwood,1881,1,1,birch,1
Aalesund,Tyne,1887,1,1,pit,1
Aamaes,Borrowstounness,1885,1,1,props,1
Aarhus,Borrowstounness,1883,1,1,case,1
Aarhus,Dundee,1887,1,2,staves,1
Aarhus,Greenock,1875,1,1,casks,1
Aarhus,London,1879,1,0,,0
Aarhus,London,1887,1,1,firewood,1
Aarhus,Tyne,1887,2,2,staves,2
Aarhus,Tyne,1891,1,1,sawn,1
Aarhus,Tyne,1893,3,3,casks,1
Aasgaardstrand,Borrowstounness,1889,1,1,pit,1
Aasgaardstrand,Borrowstounness,1897,1,1,pitwood,1
Aasgaardstrand,Bristol,1875,2,2,props,1
Aasgaardstrand,Dublin,1885,1,1,pit,1
Aasgaardstrand,Greenock,1877,1,1,props,1
Aasgaardstrand,Lynn,1881,1,3,battens,1
Aasgaardstrand,MENT,1893,2,2,hewn fir,1
