commodity,year,num_ships,num_cargo_items,top_origin,top_destination
bales,1875,2,2,Stettin,Bristol
bales,1876,1,1,Gothenburg,
bales,1877,9,9,Gothenburg,Dundee
bales,1879,1,1,Stettin,
bales,1881,10,10,Arendal,Tyne
bales,1883,14,14,Arendal,Tyne
bales,1884,2,2,Christiania,Dundee
bales,1885,2,2,Malmo,Tyne
bales,1887,1,1,Christiania,Goole
bales,1888,1,1,Christiania,Tyne
bales,1889,1,1,Christiania,Tyne
bales,1891,6,6,Christiania,Tyne
bales,1892,3,3,Gothenburg,Tyne
bales,1893,27,27,Christiania,Tyne
bales,1895,10,10,Christiania,Tyne
bales,1896,1,1,Christiania,Tyne
bales,1897,2,2,Gothenburg,Tyne
bales,1899,4,4,Christiania,Tyne
balk timber,1889,1,1,Sundswall,Grimsby
balk timber,1898,1,1,Liepāja,Grimsby
balks,1874,2,2,Porsgrund,Liverpool
balks,1875,3,3,Danzig,Borrowstounness
balks,1877,2,2,Gothenburg,TIMBER
balks,1881,3,3,Skelleftea,London
balks,1883,9,9,Porsgrund,London
balks,1885,6,6,Skonvik,Liverpool
balks,1887,10,10,Lulea,Grimsby
balks,1889,3,3,Danzig,London
balks,1891,4,4,Sundswall,Goole
balks,1893,3,3,Christiania,Grimsby
balks,1895,1,1,Lulea,Liverpool
balks,1898,1,1,Danzig,Grimsby
balks and battens,1895,2,2,Attu,COUNTER TOP
balm,1874,1,1,Quebec,London
balm,1877,3,3,Quebec,Dundee
balm of gilead,1874,1,1,Quebec,Greenock
balm of gilead,1875,3,3,Quebec,Greenock
balm of gilead,1889,1,1,Quebec,Greenock
balusters,1881,1,1,New York,London
balusters,1883,1,1,Halmstad,Newport
balusters,1885,2,2,New York,London
balusters,1887,2,2,GÃ¤vle,London
bamboo,1891,1,1,Kobe,London (Tilbury Docks)
bamboo rods,1889,1,1,Rotterdam,Tyne
bandles,1889,1,1,New York,Liverpool
bark,1883,2,2,Rotterdam,Tyne
bark,1887,1,1,Antwerp,Tyne
barrel,1877,1,1,Klaipeda,
barrel,1879,1,1,N. York,Dundee
barrel,1881,7,7,New York,Dundee
barrel,1883,10,10,New York,Dundee
barrel,1884,1,1,New York,Dundee
barrel,1885,7,7,New York,Dundee
barrel,1887,2,2,New York,Borrowstounness
barrel,1888,1,1,New York,Borrowstounness
barrel,1889,3,3,Charleston,Dundee
barrel,1890,2,2,New York,Borrowstounness
barrel,1891,7,8,New York,Dundee
barrel,1893,3,3,Boston,TREES
barrel,1897,1,1,Boston,Liverpool
barrel heading,1898,1,1,Philadelphia,Bristol
barrel staves,1883,1,1,New York,Dundee
barrel staves,1892,2,2,Mandal,Berwick
barrel staves,1897,1,1,New York,Liverpool
barrels,1885,1,1,Christiania,Dundee
barrels,1897,1,1,New Orleans,Liverpool
bars,1883,1,1,Gothenburg,Stockton
bars,1885,1,1,New York,Bristol
