origin_port,origin_latitude,origin_longitude,destination_port,destination_latitude,destination_longitude,ship_count
New York,40.713197770232,-74.0078266455077,LIVERPOOL,53.4083714,-2.99157259999998,1713
Bordeaux,44.8383676829183,-0.572658592529262,BRISTOL,51.4545130000001,-2.58790999999997,1663
Gothenburg,57.70073799777,11.9680483386231,GRIMSBY,53.5674710000001,-0.0807839999998805,1210
Riga,56.9520033661236,24.1136539340975,GRIMSBY,53.5674710000001,-0.0807839999998805,1201
Riga,56.9520033661236,24.1136539340975,DUNDEE,56.4612028818325,-2.96765932817017,1165
Boston,42.3595726133805,-71.0574266455077,LIVERPOOL,53.4083714,-2.99157259999998,1162
Riga,56.9520033661236,24.1136539340975,LONDON,51.5073509000001,-0.127758299999982,957
Gothenburg,57.70073799777,11.9680483386231,LONDON,51.5073509000001,-0.127758299999982,907
Bordeaux,44.8383676829183,-0.572658592529262,NEWPORT,51.584151,-2.99766399999993,899
New York,40.713197770232,-74.0078266455077,LONDON,51.5073509000001,-0.127758299999982,870
New Orleans,29.9530336254134,-90.0763767089845,LIVERPOOL,53.4083714,-2.99157259999998,828
Gothenburg,57.70073799777,11.9680483386231,Tyne Ports,55.0179189721861,-1.42556335449211,808
Montreal,45.5129959517878,-73.5553766455077,LIVERPOOL,53.4083714,-2.99157259999998,788
Danzig,54.3532540815076,18.6510183386231,GRIMSBY,53.5674710000001,-0.0807839999998805,674
Cronstadt,59.9939156370316,29.7714865185547,LONDON,51.5073509000001,-0.127758299999982,656
Quebec City,46.8198570676248,-71.200611493121,LIVERPOOL,53.4083714,-2.99157259999998,627
New York,40.713197770232,-74.0078266455077,DUNDEE,56.4612028818325,-2.96765932817017,588
Rotterdam,51.9209408964375,4.4874063916016,Tyne Ports,55.0179189721861,-1.42556335449211,579
Cronstadt,59.9939156370316,29.7714865185547,DUNDEE,56.4612028818325,-2.96765932817017,557
Danzig,54.3532540815076,18.6510183386231,LONDON,51.5073509000001,-0.127758299999982,511
Baltimore,39.2909022702315,-76.6096033227539,LIVERPOOL,53.4083714,-2.99157259999998,510
Fredrikstad,59.2139821431688,10.9357039213349,LONDON,51.5073509000001,-0.127758299999982,508
Gothenburg,57.70073799777,11.9680483386231,LIVERPOOL,53.4083714,-2.99157259999998,496
Klaipeda,55.71722,21.12861,LONDON,51.5073509000001,-0.127758299999982,484
Gefle,60.6782700353304,17.1835063783265,GRIMSBY,53.5674710000001,-0.0807839999998805,477
Quebec City,46.8198570676248,-71.200611493121,LONDON,51.5073509000001,-0.127758299999982,474
Cronstadt,59.9939156370316,29.7714865185547,GRIMSBY,53.5674710000001,-0.0807839999998805,471
Christiania,59.9127593309038,10.7460535835705,LONDON,51.5073509000001,-0.127758299999982,470
Bayonne,43.49295,-1.47484,NEWPORT,51.584151,-2.99766399999993,466
St. John,45.2727437249886,-66.0681749841308,LIVERPOOL,53.4083714,-2.99157259999998,464
Stettin,53.4252665374726,14.5555758306886,GRIMSBY,53.5674710000001,-0.0807839999998805,463
Hennebont,47.8025739476478,-3.27385166137653,NEWPORT,51.584151,-2.99766399999993,463
Riga,56.9520033661236,24.1136539340975,LIVERPOOL,53.4083714,-2.99157259999998,455
Sundswall,62.3890780504242,17.3063352870027,LONDON,51.5073509000001,-0.127758299999982,455
Quebec City,46.8198570676248,-71.200611493121,GREENOCK,55.9505077629267,-4.75971798437838,444
Rotterdam,51.9209408964375,4.4874063916016,GRIMSBY,53.5674710000001,-0.0807839999998805,442
Sundswall,62.3890780504242,17.3063352870027,DUNDEE,56.4612028818325,-2.96765932817017,439
St. Petersburg,59.9339888563424,30.3067266455079,LONDON,51.5073509000001,-0.127758299999982,432
Riga,56.9520033661236,24.1136539340975,Tyne Ports,55.0179189721861,-1.42556335449211,424
Sundswall,62.3890780504242,17.3063352870027,GRIMSBY,53.5674710000001,-0.0807839999998805,422
Gothenburg,57.70073799777,11.9680483386231,DUNDEE,56.4612028818325,-2.96765932817017,415
Christiania,59.9127593309038,10.7460535835705,GRIMSBY,53.5674710000001,-0.0807839999998805,407
Gefle,60.6782700353304,17.1835063783265,LONDON,51.5073509000001,-0.127758299999982,401
Klaipeda,55.71722,21.12861,GRIMSBY,53.5674710000001,-0.0807839999998805,399
Christiania,59.9127593309038,10.7460535835705,Tyne Ports,55.0179189721861,-1.42556335449211,396
Quebec City,46.8198570676248,-71.200611493121,DUNDEE,56.4612028818325,-2.96765932817017,373
Montreal,45.5129959517878,-73.5553766455077,LONDON,51.5073509000001,-0.127758299999982,364
Philadelphia,39.9521191086056,-75.16218,LIVERPOOL,53.4083714,-2.99157259999998,352
Riga,56.9520033661236,24.1136539340975,Borrowstounness (Bo'Ness),56.0191848626102,-3.60281840209956,350
Drammen,59.7478785493119,10.1840215950051,LONDON,51.5073509000001,-0.127758299999982,344
Riga,56.9520033661236,24.1136539340975,BRISTOL,51.4545130000001,-2.58790999999997,339
Bayonne,43.49295,-1.47484,BRISTOL,51.4545130000001,-2.58790999999997,328
Hernosand,62.6335551234768,17.9374935762681,GRIMSBY,53.5674710000001,-0.0807839999998805,327
Soderhamn,61.3020539997905,17.0512700317383,LONDON,51.5073509000001,-0.127758299999982,324
Montreal,45.5129959517878,-73.5553766455077,DUNDEE,56.4612028818325,-2.96765932817017,322
Riga,56.9520033661236,24.1136539340975,GREENOCK,55.9505077629267,-4.75971798437838,320
Rotterdam,51.9209408964375,4.4874063916016,GOOLE,53.7029410000001,-0.876380999999981,312
Fredrikstad,59.2139821431688,10.9357039213349,LIVERPOOL,53.4083714,-2.99157259999998,304
Pensacola,30.4172348803734,-87.2103635449219,LIVERPOOL,53.4083714,-2.99157259999998,301
Laurvig,59.0519993698318,10.0222858306885,Tyne Ports,55.0179189721861,-1.42556335449211,298
Archangel,64.5412075020308,40.5439866455079,GRIMSBY,53.5674710000001,-0.0807839999998805,295
Gothenburg,57.70073799777,11.9680483386231,NEWPORT,51.584151,-2.99766399999993,290
