source_file,line_number,extracted_ship,char_count,size_category,format_type,at_symbols,emdashes,hyphens,semicolons,periods,estimated_total_ships,estimated_missed_ships,raw_line_preview
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Fido,444,LOW,STANDARD,5,5,0,3,17,5,4,"April 17. Fido (s) @ Christiania,—102 bgs. wood pulp, J. Spicer & Co.; 1,669 planks, J. Neck & Sons; 8,047 boards, G. E. Arnold; 19,278 boards, Simson & Mason. Bayard @ Fredrikstad,—24 fms. firewood, ..."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Leopold,401,LOW,STANDARD,6,6,0,0,14,6,5,"April 19. Leopold (s) @ Havre,—68 logs wood, 6 logs mahogany, 172 logs rosewood, 104 doz. deals, Order. Creole @ Danzig,—8,648 doz. deals, Order. Orleans (s) @ Gothenburg,—(s) @ Gothenburg,—1,135 doz...."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",46,Diana,643,MEDIUM,STANDARD,8,8,0,1,28,8,7,"April 22. Diana (s) @ Amsterdam,—67 pcs. snakewood, 2,617 pcs. teak timber, R. Goodman. Minerva @ Fredrikstad,—2,054 battens, Tagart, Boysen & Co. Joseph (s) @ Gothenburg,—506 doz. battens, 2,552 boar..."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",48,Maerke,301,LOW,STANDARD,5,4,0,0,12,5,4,"April 24. Maerke @ Christiania,—23,956 pcs. boards, 474 pcs. Briesman & Co. Twende To @ Skien,—1,834 deals, 72,766 boards, F. de Brodre @ Krageroe,—90 fms. firewood, 1,031 pcs. timber, 4,560 oak stave..."
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,Menzaleh,448,LOW,STANDARD,5,5,1,1,17,5,4,"April 26. Menzaleh (s) @ Colombo, &c.,—3,424 pcs. sapanwood, 31 logs ebony, Order. Uzziah @ Genoa,—100 planks walnut wood, 40,000 gun-stocks, Order. Mary (s) @ Gothenburg,—149 prs. oars, 56 1/2 doz. d..."
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,Bifrost,338,LOW,HYPHEN_SEMICOLON,0,0,12,7,17,1,0,"Dec. 28 Bifrost (s)-Gothenburg-3,415 bdls. laths-H. Sheraton & Co. ; 2,500 bdls. laths-T. W. Allen ; 6,500 bdls. laths-Order ; 69 bdls. mouldings-W. Deeley & Co. ; 4 cs. boards-Bahr, Behrend, & Ross ;..."
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p002.txt,43,Registrar Hazlitt made the order. H.,1390,HIGH,OTHER,0,1,0,0,13,1,0,"Mr. Registrar Hazlitt made the order. H. FOREMAN.—The bankrupt, Henry Foreman, of Fulham and Shepherd's Bush, builder and contractor, filed his petition in January last, and he applied to the Court la..."
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p001.txt",23,Quebec yellow pine.,661,MEDIUM,OTHER,0,8,0,1,21,1,0,"Quebec yellow pine.—There has been only a light demand. Red pine is neglected. Oak, fair demand. Elm, ash, and birch are in request. Deals, demand good and prices firm. Staves and lathwood quiet. New ..."
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,rence,602,MEDIUM,STANDARD,8,6,0,0,19,8,7,"rence @ Dalhousie,—2,160 deal ends, 5,000 palings, Order. St. Andrew @ New York,—12,457 deals, 933 ends, 13,555 staves, 100 boards, Order. Ellen M. Mitchell @ Machias,—1,627 spars, 52 poles, 74,397 de..."
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Athenian,683,MEDIUM,STANDARD,11,9,0,0,16,11,10,"Athenian @ Mediterranean, 5 logs walnut, Order. Ararat @ Constantinople,—20 loups walnut. Wood, 28 bags box, and 9 bags walnut, Order. Poseidon @ Old Calabar,—9889 pcs. ebony, Stuart & Co. Angola @ Bo..."
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",14,Bifrost,308,LOW,STANDARD,3,3,0,0,14,3,2,"December 22. Bifrost @ Quebec,—74 pcs. oak, 525 pcs. white pine, 4,466 pcs. pine deals, 1,148 pcs. deal ends, Farley, Clark, & Berkley. T. E. Milledge @ Quebec,—18,175 pcs. deals, 1,336 pcs. deal ends..."
