record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
6241,1874.0,October,17.0,Albion,Christiania,LONDON,True,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",113,"Albion (s) @ Christiania,—153 bgs. wood pulp, Olyett & Sons ; 100 bgs. wood pulp, J. A. Reid ; 21 bgs. wood pulp, Webster, & Co.",1874.0,Mar,9,early_at,0.9
4067,1874.0,September,19.0,Albion,Christiania,LONDON,True,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",56,"Albion (s) @ Christiania,—100 bgs. wood pulp, Dahll & Sadler ; 204 bgs. wood pulp, J. Spicer & Sons ; 10,092 boards, With, Web ter, & Co. ; 13,647 boards, T. Anderson ; 10,761 boards, Tagart, Boyson, & Co.",1874.0,Sept,4,early_at,0.9
4611,1874.0,October,3.0,Albion,Christiania,LONDON,True,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",28,"Albion (s) @ Christiania,—14,322 boards, Olyett & Sons; 100 pcs. wood pulp, Solomon & Co.; 13,601 boards, Tagart & Co.; 12,741 pcs. deals, T. Andersen.",1874.0,September,18,early_at,0.9
4080,1874.0,September,19.0,Eleanore,Christiania,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",76,"Eleanore @ Christiania,—10,000 deals and battens, G. E. Arnold & Co.",1874.0,Sept,4,early_at,0.9
4604,1874.0,October,3.0,Eli,Christinestad,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",19,"Eli @ Christinestad,—2,937 deals and battens, Engstrom & Browning & Co.",1874.0,September,18,early_at,0.9
4072,1874.0,September,19.0,Daisey,Cochin,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",62,"Daisey @ Cochin,—338,874 staves, J. G. Dahl & Co.",1874.0,Sept,4,early_at,0.9
9948,1874.0,November,28.0,Frederica,Colombo,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",17,"Nov. 14. Frederica @ Colombo,—50 logs ebony, 1,223 pcs. sapanwood, Order.",1874.0,Nov,14,early_at,0.9
4596,1874.0,October,3.0,Gladstone,Colombo,LONDON,False,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",6,"Gladstone @ Colombo,—49 logs ebony, Order.",1874.0,September,18,early_at,0.9
10078,1874.0,November,28.0,Confidence,Constantinople,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",33,"Confidence @ Constantinople,—897 logs, 350 planks, 5,249 deals, Order.",1874.0,Nov,25,early_at,0.9
9966,1874.0,November,28.0,Emperor,Corfu,LONDON,True,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",38,"Nov. 16. Emperor (s) @ Corfu,—1,702 staves, Order.",1874.0,Nov,16,early_at,0.9
6202,1874.0,October,17.0,Absalom,Cronstadt,LONDON,True,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",52,"Absalom (s) @ Cronstadt,—14,515 pcs. lathwood, J. Knight.",1874.0,Mar,9,early_at,0.9
6236,1874.0,October,17.0,Argonaut,Cronstadt,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",105,"Argonaut @ Cronstadt,—12,131 pcs. deals, 1,731 pcs. deal ends, 17 fms. firewood, Order.",1874.0,Mar,9,early_at,0.9
