year,london_cargo_rows
1874,866
1875,1461
1879,1644
1880,115
1881,3205
1882,43
1883,3804
1884,190
1885,3373
1886,94
1887,3193
1888,42
1889,2837
1890,76
1891,2339
1892,166
1893,1890
1895,1249
1896,73
1897,507
1898,97
1899,2828
