year,origin_port,ship_count
1875.0,Kingston,1
1875.0,Konigsberg,1
1875.0,Krageroe,1
1875.0,Kramfors,1
1875.0,"Lagunade, Terminos, &c.",1
1875.0,Landskrona,1
1875.0,Mediterranean,1
1875.0,Mobile,1
1875.0,Moulmein,1
1875.0,Nedercalix,1
1875.0,Norrkoping,1
1875.0,Nossi Be,1
1875.0,Onega,1
1875.0,Ornskolksvik,1
1875.0,Oscarshamn,1
1875.0,Ostrand,1
1875.0,Pillau,1
1875.0,Rio Hacha,1
1875.0,Russoar,1
1875.0,Saltock,1
1875.0,Sandarne,1
1875.0,Sandefiord,1
1875.0,Sandefjord,1
1875.0,Ship Harbour N.S.,1
1875.0,Skonvik,1
1875.0,Slite,1
1875.0,St. Marc,1
1875.0,"St. Mary's, Georgia",1
1875.0,Sunnas,1
1875.0,Sydney,1
1875.0,Tapilco,1
1875.0,Three Islands,1
1875.0,Three Rivers,1
1875.0,Tonala,1
1875.0,Truxillo,1
1875.0,Uddewalla,1
1875.0,Vegesack,1
1875.0,Vesta,1
1875.0,Wava,1
1875.0,Wifstawarf,1
1875.0,Wistawarf,1
1875.0,chiefly Quebec,1
1879.0,Cronstadt,104
1879.0,Quebec,87
1879.0,Riga,78
1879.0,Gefle,76
1879.0,Soderhamn,60
1879.0,Memel,56
1879.0,Danzig,49
1879.0,Archangel,47
1879.0,G'burg,40
1879.0,Sundswall,39
1879.0,Uleaborg,35
1879.0,Bjorneborg,28
1879.0,Kotka,26
1879.0,Lulea,24
1879.0,Konigsberg,22
1879.0,P'burg,21
1879.0,Drammen,20
1879.0,Sandarne,19
1879.0,Saguenay,17
1879.0,Ljusne,16
1879.0,Pitea,15
1879.0,Skelleftea,15
1879.0,Xiania,15
1879.0,Hudikswall,14
1879.0,Belize,12
1879.0,Holmsund,11
1879.0,St. John,11
1879.0,Windau,11
1879.0,Skonvik,10
1879.0,F'stad,9
1879.0,Onega,9
1879.0,Three Rivers,9
1879.0,Tornea,9
1879.0,F'shald,8
1879.0,Miramichi,8
1879.0,St. P'burg,8
1879.0,Swartwik,8
1879.0,Gothenburg,7
1879.0,Kramfors,7
1879.0,Metis,7
1879.0,Santa Ana,7
1879.0,Simo,7
1879.0,Stockholm,7
1879.0,Halmstad,6
1879.0,Krageroe,6
1879.0,Nyhamn,6
1879.0,Swartwick,6
1879.0,Ahlafors,5
1879.0,Antwerp,5
1879.0,Helsingfors,5
1879.0,Hernosand,5
1879.0,Iggesund,5
1879.0,Montreal,5
1879.0,Nordmaling,5
1879.0,Pensacola,5
1879.0,Svartvik,5
1879.0,Tonala,5
1879.0,Wyborg,5
1879.0,Wyburg,5
1879.0,Xinestad,5
1879.0,Abo,4
1879.0,Bollsta,4
1879.0,Chatham,4
1879.0,F'stadt,4
1879.0,Halifax,4
1879.0,Kopmanholmen,4
1879.0,Narva,4
1879.0,Neder Calix,4
1879.0,Skutskar,4
1879.0,Soroka,4
1879.0,St. Ignace,4
1879.0,Christiania,3
1879.0,Dalhousie,3
1879.0,Dram,3
1879.0,Holmstad,3
1879.0,Kemi,3
1879.0,Laurvig,3
1879.0,Nederkalix,3
1879.0,New York,3
1879.0,Norrkoping,3
1879.0,Ornskoldsvik,3
1879.0,Porsgrund,3
1879.0,Umea,3
1879.0,Wifstawarf,3
1879.0,Asbacka,2
1879.0,Attu,2
1879.0,Bathurst,2
1879.0,Betsiamitz,2
1879.0,Bollsta Bruk,2
1879.0,Borga,2
1879.0,Domsjo,2
1879.0,Halsoen,2
1879.0,Husum,2
1879.0,Kungsgarten,2
1879.0,Langror,2
1879.0,Marieberg,2
1879.0,Minatitlan,2
1879.0,Muhlgraben,2
1879.0,Neder Kalix,2
1879.0,Ornskjoldsvik,2
1879.0,Pillau,2
1879.0,Puerto Cortes,2
1879.0,Randers,2
1879.0,Sault au Cochon,2
1879.0,Skien,2
1879.0,Stettin,2
1879.0,Stockasag,2
1879.0,Sund,2
1879.0,Swartvik,2
1879.0,Uddevalla,2
1879.0,Aarhuus,1
1879.0,Ahlators,1
1879.0,Alfredshamn,1
1879.0,Arendal,1
1879.0,Axmar,1
1879.0,Bahia,1
1879.0,Betsiamites,1
1879.0,Bolls a Bruk,1
1879.0,Brahestadt,1
1879.0,C. Heaven Mercur,1
1879.0,Calmar,1
1879.0,Cardenas,1
1879.0,"Chatham, N.B.",1
1879.0,Chiltepec,1
1879.0,Christinestad,1
1879.0,Christinestadt,1
1879.0,Churchill Racer,1
1879.0,Darien,1
1879.0,Demerara,1
1879.0,Doboy,1
1879.0,Dronning,1
1879.0,Essviken,1
1879.0,Esurken,1
1879.0,Frano,1
1879.0,Fredrikstad,1
1879.0,Fritzoe,1
1879.0,Galway,1
1879.0,Gamla Karleby,1
1879.0,Gedeabuella,1
1879.0,Gidebacha,1
1879.0,Gustafsberg,1
1879.0,Harne,1
1879.0,Hernossand,1
1879.0,Hernösand,1
1879.0,Jemtosund,1
1879.0,Kallio,1
1879.0,Karhula,1
1879.0,Kungsorden,1
1879.0,Kylom,1
1879.0,Lockno,1
1879.0,Luguvik,1
1879.0,Magdalen River,1
1879.0,Matane,1
1879.0,Mobile,1
1879.0,Moss,1
1879.0,Moulmein,1
1879.0,N. York,1
1879.0,Naso,1
1879.0,Nedercalix,1
1879.0,Norrsundet,1
1879.0,North Sydney,1
1879.0,Nuevitas,1
1879.0,Nykoping,1
1879.0,Nynhamn,1
1879.0,Oak Bay,1
1879.0,Order Altofts,1
1879.0,Order Amelie,1
1879.0,Order Betty,1
1879.0,Order Fritz Schmidt,1
1879.0,Order Gesine,1
1879.0,Order Josephine,1
1879.0,Order Normanden,1
1879.0,Order Odin,1
1879.0,Order Sorata,1
1879.0,Order Trafalgar,1
1879.0,Ornskjoldvik,1
1879.0,Oscarshamn,1
1879.0,P. Rolt Arethusa,1
1879.0,Petersburg,1
1879.0,Picton,1
1879.0,Rafso,1
1879.0,Rangoon,1
1879.0,Raumea,1
1879.0,Riisoer,1
1879.0,Risoer,1
1879.0,Ruthula,1
1879.0,S. Domingo,1
1879.0,"Sackville , N.B.",1
1879.0,Saltkallan,1
1879.0,Sandvik,1
1879.0,Sandviken,1
1879.0,Santa Cruz,1
1879.0,Santirago de Cuba,1
1879.0,Sarpsborg,1
1879.0,Sault,1
1879.0,Schippswick,1
1879.0,Sguenay,1
1879.0,Shediac,1
1879.0,Skeppevik,1
1879.0,Skeppsvik,1
1879.0,Skippevik,1
1879.0,Sprangsviken,1
1879.0,St. Ana,1
1879.0,St. Petersburg,1
1879.0,St. Thomas,1
1879.0,Stromnas,1
1879.0,Svartvick,1
1879.0,Swartvick,1
1879.0,Torefors,1
1879.0,Trieste,1
1879.0,Vancouver I.,1
1879.0,Waya,1
1879.0,Weymouth,1
1879.0,Wiborg,1
1879.0,Wifsta Warf,1
1879.0,Xiansand,1
1879.0,Ytlersfors,1
1880.0,New York,10
1880.0,Jamaica,5
1880.0,Quebec,5
1880.0,Riga,5
1880.0,Dieppe,2
1880.0,G'burg,2
1880.0,Gothenburg,2
1880.0,Havre,2
1880.0,Madras,2
1880.0,Memel,2
1880.0,Singapore,2
1880.0,Uddewalla,2
1880.0,Antwerp,1
1880.0,Bangkok,1
1880.0,Dalhousie,1
1880.0,Danzig,1
1880.0,Gothenberg,1
1880.0,Lulea,1
1880.0,Miramichi,1
1880.0,Nassau,1
1880.0,Order Carmen,1
1880.0,Order Celeste,1
1880.0,Paramaribo,1
1880.0,Pensacola,1
1880.0,Stockholm,1
1880.0,Trieste,1
1880.0,Truxillo,1
1880.0,Xnia,1
1881.0,New York,108
1881.0,Cronstadt,86
1881.0,Riga,78
1881.0,Gothenburg,58
1881.0,Christiania,45
1881.0,Quebec,43
1881.0,Dantzic,37
1881.0,Memel,37
1881.0,Drammen,34
1881.0,Sundswall,34
1881.0,Gefle,31
1881.0,Fredrikstadt,29
1881.0,Kotka,29
1881.0,Soderhamn,29
1881.0,Pensacola,19
1881.0,Stettin,19
1881.0,St. Petersburg,18
1881.0,Danzig,16
1881.0,Stockholm,16
1881.0,Bordeaux,13
1881.0,Rotterdam,13
1881.0,Archangel,12
1881.0,Laurvig,12
1881.0,Boston,11
1881.0,Fredrikstad,11
1881.0,Leghorn,11
1881.0,Konigsberg,10
1881.0,Odessa,10
1881.0,"St. John, N.B.",10
1881.0,Arendal,9
1881.0,Colombo,9
1881.0,Fredrikshald,9
1881.0,Halmstad,9
1881.0,Hambro',9
1881.0,Minatitlan,9
1881.0,Skien,9
1881.0,Trieste,9
1881.0,Bahia,8
1881.0,Ljusne,8
1881.0,Marseilles,8
1881.0,Miramichi,8
1881.0,Three Rivers,8
1881.0,Abo,7
1881.0,Bjorneborg,7
1881.0,Brisbane,7
1881.0,Dram,7
1881.0,Hambro,7
1881.0,Havre,7
1881.0,Kragero,7
1881.0,Montreal,7
1881.0,Moulmein,7
1881.0,Skonvik,7
1881.0,Venice,7
1881.0,Belize,6
1881.0,Dieppe,6
1881.0,Helsingfors,6
1881.0,Nyhamn,6
1881.0,Porsgrund,6
1881.0,Uleaborg,6
1881.0,Darien,5
1881.0,Holmsund,5
1881.0,Saguenay,5
1881.0,Sandarne,5
1881.0,Santa Ana,5
1881.0,Skelleftea,5
1881.0,Soroka,5
