commodity,cargo_rows
deals,4411
battens,2241
firewood,2113
boards,1754
staves,1413
lathwood,802
ends,756
timber,682
sleepers,486
laths,477
doors,446
deal ends,433
mouldings,423
lumber,370
wood,330
oak,276
rickers,264
mahogany,255
props,219
planks,213
pit props,206
scantlings,200
oak staves,194
floorings,183
pieces,178
