record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
28884,1881.0,October,29.0,City of London,New York,LONDON,True,,18811029p.295_p002.txt,106,City of London (s)-New York-80 logs cedar-Order,1881.0,Oct,3,condensed,0.9
29108,1881.0,November,5.0,City of Perth,New York,LONDON,False,,18811105p.310_p002.txt,23,"City of Perth-New York-816 bdls. headings, 2,397 bdls. staves-N. Tate & Son; 340 bdls. walnut and whitewood, 3 bxs. 521 bdls. lumber, 490 bdls. 919 boards, 185 planks-H. Herrmann; 1,148 no. 77 bdls. doors-Holland & Co.; 1,714 doors-Bradley & Currier; 3,600 staves-Simson & Mason; 448 bdls. headings, 5,004 bdls. staves, 36 bxs. 489 bdls. mouldings-Order",1881.0,Oct,3,condensed,0.9
30104,1881.0,December,3.0,Commodore,New York,LONDON,True,,18811203p.374_p001.txt,118,"Commodore (s)-New York-1,100 sleepers, 1,431 doz. blocks-Order",1881.0,Nov,10,condensed,0.9
22755,1881.0,June,4.0,Cosmopolitan,New York,LONDON,True,,18810604p.352_p001.txt,165,"Cosmopolitan (s)-New York-4,927 ash oars-Order",1881.0,Mar,29,condensed,0.9
20624,1881.0,February,12.0,Dallam Tower,New York,LONDON,True,Simson & Mason,18810212p.105.txt,78,"Dallam Tower (s)-New York-2,400 staves-Simson & Mason ; 21 logs cedar-Order",1881.0,Jan,19,condensed,0.9
21897,1881.0,May,7.0,Daphne,New York,LONDON,False,Churchill & Sim,18810507p.291_p001.txt,141,"Daphne-New York-3,821 staves, 470 logs walnut, 38 logs hickory, 35 logs whitewood, 50 billets wainscot oak-Churchill & Sim",1881.0,Mar,29,condensed,0.9
25939,1881.0,August,27.0,Denmark,New York,LONDON,True,,18810827p.143_p003.txt,24,"Denmark (s)—New York—1,693 staves—Order",1881.0,Aug,16,condensed,0.9
21146,1881.0,April,2.0,Denmark,New York,LONDON,True,H. Isup & Co.,18810402p.222.txt,56,"25 Denmark (s)—New York—176 pkgs. lumber, 23 lds. mahogany—H. Isup & Co.",1881.0,Mar,19,condensed,0.9
23847,1881.0,July,9.0,Egyptian,New York,LONDON,True,,18810709p.32_p002.txt,203,"2 Egyptian (s)-New York-849 bdls. staves, 360",1881.0,Mar,29,condensed,0.9
22512,1881.0,May,28.0,Egyptian Monarch,New York,LONDON,True,,18810528p.336_p001.txt,108,"Egyptian Monarch (s) - New York-75 logs walnut, 1,000 staves-Churchill & Sim ; 1,860 bdls. staves, 617 bdls. hoops-Hay & Co.",1881.0,Mar,29,condensed,0.9
