source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_segment,extraction_method,needs_review,original_extracted_ship
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,Orthia,Baltimore,DUNDEE,"3,350 pcs oak",Brownlee & Co.,,,1897,26,6,1897,False,"Orthia-Baltimore-3,350 pcs oak-Brownlee & Co.",HYPHEN_SPLIT,True,Orthia
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,"702 pcs oak, 5 300 hhd. staves","Singleton, Dunn, & Co.",DUNDEE,,,,,1897,26,6,1897,False,"702 pcs oak, 5 300 hhd. staves-Singleton, Dunn, & Co.",HYPHEN_SPLIT,True,Orthia
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,"799 pcs. oak, 158 bdls. poplar",Cant & Kemp,DUNDEE,,,,,1897,26,6,1897,False,"799 pcs. oak, 158 bdls. poplar-Cant & Kemp",HYPHEN_SPLIT,True,Orthia
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,100 pcs. oak,J. Kennedy & Co.,DUNDEE,,,,,1897,26,6,1897,False,100 pcs. oak-J. Kennedy & Co.,HYPHEN_SPLIT,True,Orthia
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,"955 pcs., 76 bdls oak",T. Kerr & Co.,DUNDEE,,,,,1897,26,6,1897,False,"955 pcs., 76 bdls oak-T. Kerr & Co.",HYPHEN_SPLIT,True,Orthia
1. p. 13-14 - Imports - January 3 1885 - Timber Trades Journal 1885_p001.txt,56,145 pcs. pine,R. Hamilton & Co.,DUNDEE,,,,,1897,26,6,1897,False,145 pcs. pine-R. Hamilton & Co.,HYPHEN_SPLIT,True,Orthia
1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,80,26 Cuban,New Orleans,LIVERPOOL,"2,577 pcs. 291 bdls. oak",J. Kennedy & Co.,,,1899,1,7,1899,True,"26 Cuban (s)-New Orleans-2,577 pcs. 291 bdls. oak-J. Kennedy & Co.",HYPHEN_SPLIT,True,Cuban
1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,80,"736 pcs. oak, 2,316 pcs. 217 bdls. gum","Duncan, Ewing & Co.",LIVERPOOL,,,,,1899,1,7,1899,False,"736 pcs. oak, 2,316 pcs. 217 bdls. gum-Duncan, Ewing & Co.",HYPHEN_SPLIT,True,Cuban
1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,80,"240 bdls. oak, 1,599 pcs. 263 bdls. gum","Munro, Brice & Co.",LIVERPOOL,,,,,1899,1,7,1899,False,"240 bdls. oak, 1,599 pcs. 263 bdls. gum-Munro, Brice & Co.",HYPHEN_SPLIT,True,Cuban
1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,80,"2,598 pcs. poplar",E. Chaloner & Co.,LIVERPOOL,,,,,1899,1,7,1899,False,"2,598 pcs. poplar-E. Chaloner & Co.",HYPHEN_SPLIT,True,Cuban
