source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_segment,extraction_method,needs_review,original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Canova,Quebec,GREENOCK,327 pcs,,,,1874,8,8,1874,False,"Canova @ Quebec, 327 pcs. birch, 320 pcs. oak, 22 pcs. hickory, ash, 417 pcs. waney British pine, 387 pcs. square white pine, 518 pcs. pine deals, 723 dry pine deals, 1,000 pcs. pine ends, 2,400 pcs. pipe staves, 3,000 pcs. R. O. W. I. staves, Order.",MULTI_SPLIT,True,Canova
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",42,Chevalier,Quebec,GREENOCK,— 81 pcs,,,,1874,8,8,1874,False,"Chevalier @ Quebec,— 81 pcs. oak, 858 spruce deals, 1,535 pine deal ends, 3,406 pipe staves, 3,600 pcs. W. O. W. I. staves, Order.",MULTI_SPLIT,True,Canova
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Freya,Drammen,BRISTOL,"—6,423 battens",James Brownlee,,,1875,30,10,1875,False,"Freya @ Drammen,—6,423 battens, James Brownlee.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Amazon,Cronstadt,BRISTOL,"—2,286 deals, 8,461 battens, 1",758 pcs,,,1875,30,10,1875,False,"Amazon @ Cronstadt,—2,286 deals, 8,461 battens, 1,758 pcs. deals, &c., Order.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Balder,Riga,BRISTOL,"—2,618 deals and ends",A,,,1875,30,10,1875,False,"Balder @ Riga,—2,618 deals and ends, A. Thomson & Nephews.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Johanna,Danzig,BRISTOL,"—2,785 deals, 3,631 battens",Order,,,1875,30,10,1875,False,"Johanna @ Danzig,—2,785 deals, 3,631 battens, Order.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Vertrauen,Moss,BRISTOL,—380 sleepers,272 pcs,,,1875,30,10,1875,False,"Vertrauen @ Moss,—380 sleepers, 272 pcs. lathwood, Order.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Dorothea,Riga,BRISTOL,"—1,698 staves, 3,162 props",Order,,,1875,30,10,1875,False,"Dorothea @ Riga,—1,698 staves, 3,162 props, Order.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Soli Deo Gloria,Riga,BRISTOL,—724 deals,2 fms,,,1875,30,10,1875,False,"Soli Deo Gloria @ Riga,—724 deals, 2 fms. lathwood, Order.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",43,Paul Fredrik,Gustafs,BRISTOL,"—8,094 battens",James Brownlee,,,1875,30,10,1875,False,"Paul Fredrik @ Gustafs,—8,094 battens, James Brownlee.",MULTI_SPLIT,True,Freya
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",46,Sif,Hernosend,LONDON,—988 dz,,,,1875,12,6,1875,False,"Sif @ Hernosend,—988 dz. planks and battens,",MULTI_SPLIT,True,Sif
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",48,Princess Royal,Quebec,GREENOCK,—375 pcs,,,,1874,12,12,1874,False,"Princess Royal @ Quebec,—375 pcs. red pine, 622 pcs. white pine, 1 piece elm, 15 pcs. white pine, 89 pcs. birch, 1,952 deals 2,160 pipe staves, 2,390 W. I. staves, 21 cords lathwood, Jas. Brownlee.",MULTI_SPLIT,True,Princess Royal
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",48,Chippewa,Quebec,GREENOCK,—198 pcs,,,,1874,12,12,1874,False,"Chippewa @ Quebec,—198 pcs. birch, 26 pcs. ash, 11 pcs. hickory, 7 pcs. balm of Gilead, 375 pcs. red pine, 728 pcs. white pine, 1,000 pine deals, 957 pipe staves, 9 cords lathwood, Singleton, Dunn, & Co.",MULTI_SPLIT,True,Princess Royal
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,Mayborough,Quebec,GREENOCK,—144 pcs,,,,1874,8,8,1874,False,"Mayborough @ Quebec,—144 pcs. oak, 26 pcs. elm, 125 pcs. red pine, 556 pcs. white pine timber, 2,445 pcs. deals, 85 pipe staves, 1,460 pun. staves, J. and A. Roxburgh.",MULTI_SPLIT,True,Mayborough
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,Cameo,Quebec,GREENOCK,—84 pcs,,,,1874,8,8,1874,False,"Cameo @ Quebec,—84 pcs. oak, 100 pcs. elm, 63 pcs. red pine, 449 pcs. white pine, 4,000 pine deals, 2,920 pcs pipe staves, 3,600 W.O.W.I. staves, J. and A. Roxburgh. Co.",MULTI_SPLIT,True,Mayborough
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,Princess Alexandra,Quebec,GREENOCK,—969 pcs,,,,1874,8,8,1874,False,"Princess Alexandra @ Quebec,—969 pcs. oak, 1,700 deals, 6 pcs. cherry, 50 pcs. maple, 108 pcs. buck, 1,600 pcs. W.O.W.I. staves, 978 pipe staves, Edmiston and Mitchell.",MULTI_SPLIT,True,Mayborough
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",49,William Jackson,Quebec,GREENOCK,—122 pcs,,,,1874,8,8,1874,False,"William Jackson @ Quebec,—122 pcs. oak, 111 pcs. elm, 108 pcs. red pine, 369 pcs. white pine timber, 2,844 deals, 10,000 palings, 3,600 pipe staves, Singleton, Dunn and Co.",MULTI_SPLIT,True,Mayborough
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Vespasian,Taganrog,BO'NESS,—36,698 pcs,,,1875,21,8,1875,True,"Vespasian (s) @ Taganrog,—36,698 pcs. boxwood, Gardner & Sons.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Benin,Africa W.C.,BO'NESS,—731 billets ebony,B,,,1875,21,8,1875,True,"Benin (s) @ Africa W.C.,—731 billets ebony, B. & C. African Co.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Isla,Demerara,BO'NESS,—180 logs greenheart,Sandbach & Co,,,1875,21,8,1875,False,"Isla @ Demerara,—180 logs greenheart, Sandbach & Co.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Est,Rangoon,BO'NESS,—206 planks,Order,,,1875,21,8,1875,False,"Est @ Rangoon,—206 planks, Order.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Oswingo,Rangoon,BO'NESS,—70 planks,Order,,,1875,21,8,1875,False,"Oswingo @ Rangoon,—70 planks, Order.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Belle of the Niger,Opobo,BO'NESS,98 logs hardwood,Dr,,,1875,21,8,1875,False,"Belle of the Niger @ Opobo —98 logs hardwood, Dr. Chaloner & Co.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Simla,New York,BO'NESS,—2,526 pcs,,,1875,21,8,1875,False,"Simla @ New York,—2,526 pcs. lignum vitæ, Order.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",8,Eggypt,New York,BO'NESS,—50 logs cedar,E,,,1875,21,8,1875,True,"Eggypt (s) @ New York,—50 logs cedar, E. Chaloner & Co. ; 26,400 pcs. staves, Order. New Orleans,—3,600 pcs., E. J. Call. Quebec,—4,763 pcs., Duncan & Co.",MULTI_SPLIT,True,Vespasian
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Clolia,Gefle,BRISTOL,"—16,422 deals",&c,,,1875,21,8,1875,False,"Clolia @ Gefle,—16,422 deals, &c., R. Wade, Sons, & Co.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Fama,Lockno,BRISTOL,"—34,300 battens and boards",Harrison & Singleton,,,1875,21,8,1875,False,"Fama @ Lockno,—34,300 battens and boards, Harrison & Singleton.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Camilla,Wyborg,BRISTOL,"—6,682 deals, quantity of firewood",Harrison & Singleton,,,1875,21,8,1875,False,"Camilla @ Wyborg,—6,682 deals, quantity of firewood, Harrison & Singleton.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Alma,Gefle,BRISTOL,"—19,589 deals",&c,,,1875,21,8,1875,False,"Alma @ Gefle,—19,589 deals, &c., Harrison & Singleton.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Irar,Heituan,BRISTOL,—11,595 pcs,,,1875,21,8,1875,False,"Irar @ Heituan,—11,595 pcs. deals, R. Wade, Sons & Co.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Carola,Pitea,BRISTOL,"—6,192 deals and battens",Order,,,1875,21,8,1875,False,"Carola @ Pitea,—6,192 deals and battens, Order.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Robert Thubron,Uleaborg,BRISTOL,"—9,367 deals",&c,,,1875,21,8,1875,False,"Robert Thubron @ Uleaborg,—9,367 deals, &c., Order.",MULTI_SPLIT,True,Clolia
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",9,Antonia,Cronstadt,BRISTOL,—4,332 pcs,,,1875,21,8,1875,False,"Antonia @ Cronstadt,—4,332 pcs. deals, &c., Order.",MULTI_SPLIT,True,Clolia
