source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",92,Sundswalla,Gothenburg,LONDON,"—809 doz. deals, Order. Mildred, Goyeneche, &",,,,1874,8,August,1874,True,early_at,0.9,"Sundswalla (s) @ Gothenburg,—809 doz. deals, Order. Mildred, Goyeneche, & Co. Louise @ Cienfuegos,—161 pcs. mahogany, 1 log cedar, Order. Carlitos @ Libau,—15,046 staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",92,Louise,Cienfuegos,LONDON,"—161 pcs. mahogany, 1 log cedar",,,,1874,8,August,1874,False,early_at,0.9,"Co. Louise @ Cienfuegos,—161 pcs. mahogany, 1 log cedar, Order. Carlitos @ Libau,—15,046 staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",92,Carlitos,Libau,LONDON,"—15,046 staves, Order.",,,,1874,8,August,1874,False,early_at,0.9,"Order. Carlitos @ Libau,—15,046 staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Mary,Gothenburg,LONDON,"—50 pkgs., 400 bdls. wood pulp",,,,1874,8,August,1874,True,early_at,0.9,"Mary (s) @ Gothenburg,—50 pkgs., 400 bdls. wood pulp, J. A. & Co. Preusse @ Danzig,—215 pcs. timber, 1,307 pcs. lathwood, Order. Orion @ Drammen,—9,690 pcs. staves, 1,307 pcs. timber, 1,307 pcs. lathwood, Order. Dannebrog @ Stettin,—37,130 oak staves, Order. Skelton & Scholefield,—5,529 pcs. redwood, Order. Parry, Son & Co. Nolia @ Port Royal, U. S.,—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar, Order. Carl Abraham @ Co.; 2,000 staves, Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Preusse,Danzig,LONDON,"—215 pcs. timber, 1,307 pcs. lathwood",,,,1874,8,August,1874,False,early_at,0.9,"J. A. & Co. Preusse @ Danzig,—215 pcs. timber, 1,307 pcs. lathwood, Order. Orion @ Drammen,—9,690 pcs. staves, 1,307 pcs. timber, 1,307 pcs. lathwood, Order. Dannebrog @ Stettin,—37,130 oak staves, Order. Skelton & Scholefield,—5,529 pcs. redwood, Order. Parry, Son & Co. Nolia @ Port Royal, U. S.,—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar, Order. Carl Abraham @ Co.; 2,000 staves, Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Orion,Drammen,LONDON,"—9,690 pcs. staves, 1,307 pcs. timber, 1,307 pcs. lathwood",,,,1874,8,August,1874,False,early_at,0.9,"Order. Orion @ Drammen,—9,690 pcs. staves, 1,307 pcs. timber, 1,307 pcs. lathwood, Order. Dannebrog @ Stettin,—37,130 oak staves, Order. Skelton & Scholefield,—5,529 pcs. redwood, Order. Parry, Son & Co. Nolia @ Port Royal, U. S.,—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar, Order. Carl Abraham @ Co.; 2,000 staves, Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Dannebrog,Stettin,LONDON,"—37,130 oak staves, Order. Skelton & Scholefield,—5,529 pcs. redwood, Order. Parry",,,,1874,8,August,1874,False,early_at,0.9,"Order. Dannebrog @ Stettin,—37,130 oak staves, Order. Skelton & Scholefield,—5,529 pcs. redwood, Order. Parry, Son & Co. Nolia @ Port Royal, U. S.,—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar, Order. Carl Abraham @ Co.; 2,000 staves, Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Nolia,"Port Royal, U. S.",LONDON,"—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar",,,,1874,8,August,1874,False,early_at,0.9,"Son & Co. Nolia @ Port Royal, U. S.,—897 pcs. crotches mahogany, Skelton & Scholefield, and cedar, 28 log ends mahogany and cedar, Order. Carl Abraham @ Co.; 2,000 staves, Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Germania,Riga,LONDON,"—1,100 pcs. deal boards",,,,1874,8,August,1874,False,early_at,0.9,"Order. Germania @ Riga,—1,100 pcs. deal boards, Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
"8. p. 116-119 - August 8 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",93,Frej,Norrkoping,LONDON,"—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood",,,,1874,8,August,1874,False,early_at,0.9,"Order. Frej @ Norrkoping,—2,229 pcs. staves, 4 fms. lathwood, 45 fms. firewood, Order. Scandia @ Riga,—7,369 pcs. battens, Order. Plutus @ Riga,—3,472 pcs. boards, Order. Nueva @ Cuba,—137 logs mahogany, 1 log cedar, Mildred, Goyeneche & Co. Laura @ Danzig,—3 fms. firewood, Churchill & Sim; 1,010 pcs. timber, 87 pcs. staves, Order. Derby @ Riga,—12,428 sleepers, 896 pcs. birch, 9,730 pcs. staves, Order."
