source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
18950525p.862.txt,5,Marie,Wanevik,BIRKBECK BUILDING SOCIETY,19 lds. firewood-C. Ludwig & Co.,C. Ludwig & Co.,22,Mar,1895,25,May,1895,False,condensed,0.9,Marie—Wanevik—19 lds. firewood—C. Ludwig & Co.
18950525p.862.txt,8,Wrights,Oscarshamn,BIRKBECK BUILDING SOCIETY,272 lds. pit props-Spewart & Co.,Spewart & Co.,22,Mar,1895,25,May,1895,False,condensed,0.9,Wrights—Oscarshamn—272 lds. pit props—Spewart & Co.
18950525p.862.txt,9,Progress,Konigsberg,BIRKBECK BUILDING SOCIETY,265 lds. pit props-Fischer,Fischer,16,Mar,1895,25,May,1895,False,condensed,0.9,16 Progress—Konigsberg—265 lds. pit props—Fischer
18950525p.862.txt,10,Marstal,Kragero,BIRKBECK BUILDING SOCIETY,141 lds. pitwood-Madsen,Madsen,16,Mar,1895,25,May,1895,False,condensed,0.9,16 Marstal—Kragero—141 lds. pitwood—Madsen
18950525p.862.txt,11,Jael,Porsgrund,BIRKBECK BUILDING SOCIETY,165 lds. pitwood-Forth Iron & Coal Co.,Forth Iron & Coal Co.,17,Mar,1895,25,May,1895,False,condensed,0.9,17 Jael—Porsgrund—165 lds. pitwood—Forth Iron & Coal Co.
18950525p.862.txt,12,Diana,Monsteras,BIRKBECK BUILDING SOCIETY,240 lds. pitwood-Madsen,Madsen,18,Mar,1895,25,May,1895,False,condensed,0.9,18 Diana—Monsteras—240 lds. pitwood—Madsen
18950525p.862.txt,13,Nielsine,Skien,BIRKBECK BUILDING SOCIETY,94 lds. pitwood-Fischer,Fischer,18,Mar,1895,25,May,1895,False,condensed,0.9,18 Nielsine—Skien—94 lds. pitwood—Fischer
18950525p.862.txt,14,Lilly,Stettin,BIRKBECK BUILDING SOCIETY,486 lds. pitwood-Fischer,Fischer,20,Mar,1895,25,May,1895,False,condensed,0.9,20 Lilly—Stettin—486 lds. pitwood—Fischer
18950525p.862.txt,17,Marie Louise,"Halifax, N.S.",BIRKBECK BUILDING SOCIETY,561 lds. sawn fir-Russell & Fullarton,Russell & Fullarton,20,Mar,1895,25,May,1895,False,condensed,0.9,"Marie Louise—Halifax, N.S.—561 lds. sawn fir—Russell & Fullarton"
18950525p.862.txt,20,Gerda,Halmstad,BIRKBECK BUILDING SOCIETY,372 lds. pit props-Love & Stewart,Love & Stewart,20,Mar,1895,25,May,1895,False,condensed,0.9,Gerda—Halmstad—372 lds. pit props—Love & Stewart
18950525p.862.txt,21,Jacob Raners,Gothenburg,BIRKBECK BUILDING SOCIETY,662 lds. pit props-Love & Stewart,Love & Stewart,18,Mar,1895,25,May,1895,False,condensed,0.9,18 Jacob Raners—Gothenburg—662 lds. pit props—Love & Stewart
18950525p.862.txt,24,Mira,Windau,BO'NESS,800 lds. pitwood-Stevenson & Cowie,Stevenson & Cowie,18,Mar,1895,25,May,1895,True,condensed,1.0,Mira (s)—Windau—800 lds. pitwood—Stevenson & Cowie
18950525p.862.txt,25,Norma,Windau,BO'NESS,950 lds. pitwood-J. Denholm & Co.,J. Denholm & Co.,15,Mar,1895,25,May,1895,True,condensed,1.0,15 Norma (s)—Windau—950 lds. pitwood—J. Denholm & Co.
18950525p.862.txt,26,Mjalmar,Halmstad,BO'NESS,230 lds. pit props-Love,Love,15,Mar,1895,25,May,1895,True,condensed,1.0,15 Mjalmar (s)—Halmstad—230 lds. pit props—Love
18950525p.862.txt,27,England,Windau,BO'NESS,754 lds. pitwood-J. Denholm & Co.,J. Denholm & Co.,16,Mar,1895,25,May,1895,False,condensed,1.0,16 England—Windau—754 lds. pitwood—J. Denholm & Co.
18950525p.862.txt,28,Otto,Drammen,BO'NESS,200 lds pitwood-Kennedy,Kennedy,18,Mar,1895,25,May,1895,False,condensed,0.9,18 Otto—Drammen—200 lds pitwood—Kennedy
18950525p.862.txt,29,Tydskland,Windau,BO'NESS,620 lds. pit props-Love,Love,20,Mar,1895,25,May,1895,False,condensed,0.9,20 Tydskland—Windau—620 lds. pit props—Love
18950525p.862.txt,30,Gunhild,Westervik,BO'NESS,290 lds. pit props-Love,Love,20,Mar,1895,25,May,1895,False,condensed,0.9,20 Gunhild—Westervik—290 lds. pit props—Love
18950525p.862.txt,31,Fairy,Halmstad,BO'NESS,388 lds. pit props-Love,Love,20,Mar,1895,25,May,1895,True,condensed,0.9,20 Fairy (s)—Halmstad—388 lds. pit props—Love
18950525p.862.txt,32,Elise Dyreborg,Gothenburg,BO'NESS,131 lds. pit props-J. Denholm & Co.,J. Denholm & Co.,20,Mar,1895,25,May,1895,False,condensed,0.9,20 Elise Dyreborg—Gothenburg—131 lds. pit props—J. Denholm & Co.
18950525p.862.txt,35,Nerva,Gothenburg,DUNDEE,239 lds. deals and battens-Cameron Bros.,Cameron Bros.,20,Mar,1895,25,May,1895,False,condensed,0.9,Nerva—Gothenburg—239 lds. deals and battens—Cameron Bros.
18950525p.862.txt,36,Penelope,Riga,DUNDEE,"1,115 lds. deals-Mitchell",Mitchell,20,Mar,1895,25,May,1895,True,condensed,0.9,"20 Penelope (s)—Riga—1,115 lds. deals—Mitchell"
