source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_segment,extraction_method,needs_review,original_extracted_ship
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",44,Caroline,Gothenburg,LONDON,—1,135 doz,,,1875,1,5,1875,False,"Caroline @ Gothenburg,—1,135 doz. deals, Order.",SMALL_MULTI_SPLIT,True,Caroline
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",44,Neptionus,Sannesund,LONDON,—151 t,,,,1875,1,5,1875,False,"Neptionus @ Sannesund,—151 t. firewood, Order. A quantity of sapanwood was brought to the docks in barges from the wreck of the Border Chieftain at Dover.",SMALL_MULTI_SPLIT,True,Caroline
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",45,Albert Edward,Gothenburg,LONDON,—14 bxs,,,,1875,1,5,1875,True,"Albert Edward (s) @ Gothenburg,—14 bxs. firewood, Stahlgren; 235 doz. battens, 380 doz. boards, 25 fms. firewood, 40 prs. oars, Order.",SMALL_MULTI_SPLIT,True,Albert Edward
"1. p. 10-12 - May 1 1875 - Imports of Timber, &c. Timber Trades Journal Vol. 3 1875_p001.txt",45,Avena,Uddewalla,LONDON,—3,720 bdls,,,1875,1,5,1875,True,"Avena (s) @ Uddewalla,—3,720 bdls. mouldings, Esdaile & Co.",SMALL_MULTI_SPLIT,True,Albert Edward
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",36,Frida,Falkenberg,GREENOCK,—49 fathoms firewood,Order,,,1877,6,1,1877,False,"Frida @ Falkenberg,—49 fathoms firewood, Order.",SMALL_MULTI_SPLIT,True,Frida
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",36,Hoffnung,Memel,GREENOCK,—416 pcs,,,,1877,6,1,1877,False,"Hoffnung @ Memel,—416 pcs. timber, 7 fms. lathwood, 2,035 deals, A. Thomson & Nephews. Henriette,—3,278 props, Macpherson & McLaren ; 2,580 staves, Order.",SMALL_MULTI_SPLIT,True,Frida
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",36,Georg,Christiania,GREENOCK,"—4,559 props",J,,,1877,6,1,1877,False,"Georg @ Christiania,—4,559 props, J. T. Salvesen & Co.",SMALL_MULTI_SPLIT,True,Frida
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p001.txt",158,Louis Walsh,New Orleans,CREDITORS FULLY SECURED,"—1,800 staves",Chaloner & Co,,,1877,28,4,1877,False,"Louis Walsh @ New Orleans,—1,800 staves, Chaloner & Co. H.",SMALL_MULTI_SPLIT,True,Louis Walsh
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p001.txt",158,Haafager,Fredrikstad,CREDITORS FULLY SECURED,"—66,729 boards",Order,,,1877,28,4,1877,False,"Haafager @ Fredrikstad,—66,729 boards, Order.",SMALL_MULTI_SPLIT,True,Louis Walsh
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p001.txt",158,Joinville,Rangoon,CREDITORS FULLY SECURED,"—183 planks, 46 ventilators",Order,,,1877,28,4,1877,False,"Joinville @ Rangoon,—183 planks, 46 ventilators, Order.",SMALL_MULTI_SPLIT,True,Louis Walsh
