source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
18971030p.625_p001.txt,100,Union,Gamla Carleby,LONDON,"1,790 lds. pulp wood-Hans Dessen & Co.",Hans Dessen & Co.,25,Oct,1897,30,October,1897,False,standard_dash,0.9,"Oct. 25 Union-Gamla Carleby-1,790 lds. pulp wood-Hans Dessen & Co."
18971030p.625_p001.txt,103,Wega,Rafso,BERWICK,"1,154 lds. deals, battens, and boards, 2 lds. firewood-A. B. Gowan & Co.",A. B. Gowan & Co.,23,Oct,1897,30,October,1897,True,standard_dash,1.0,"Oct. 23 Wega (s)-Rafso-1,154 lds. deals, battens, and boards, 2 lds. firewood-A. B. Gowan & Co."
18971030p.625_p001.txt,106,Fano,Rafso,BERWICK,290 lds. red deals-Hooper & Co.,Hooper & Co.,25,Oct,1897,30,October,1897,False,standard_dash,1.0,Oct. 25 Fano-Rafso-290 lds. red deals-Hooper & Co.
18971030p.625_p001.txt,109,Mary,Archangel,BRISTOL,"26,203 deals, 2,802 battens, and ends, 4,798 deals and ends-Jones & Wainwright",Jones & Wainwright,22,Oct,1897,30,October,1897,True,standard_dash,0.9,"Oct. 22 Mary (s)-Archangel-26,203 deals, 2,802 battens, and ends, 4,798 deals and ends-Jones & Wainwright"
18971030p.625_p001.txt,112,Soderhamn,Selma,BRISTOL,"267 lds. deals, battens, and boards",,22,Oct,1897,30,October,1897,False,condensed,0.9,"Soderhamn-Selma-267 lds. deals, battens, and boards"
18971030p.625_p001.txt,113,Hernosand,Anna Bertha,BRISTOL,318 lds. deals and boards,,22,Oct,1897,30,October,1897,False,condensed,0.9,23 Hernosand-Anna Bertha-318 lds. deals and boards
18971030p.625_p001.txt,116,Lucy,Brevig,BOSTON,260 lds. round mining timber A. Beeby & Son,,22,Oct,1897,30,October,1897,False,condensed,1.0,Lucy-Brevig-260 lds. round mining timber A. Beeby & Son
18971030p.625_p001.txt,117,Senham Harbour,Riga,BOSTON,"2,090 lds. sleeper blocks, 120 lds. sleepers-A. Bruce & Co.",A. Bruce & Co.,25,Oct,1897,30,October,1897,False,condensed,1.0,"Senham Harbour - Riga - 2,090 lds. sleeper blocks, 120 lds. sleepers-A. Bruce & Co."
18971030p.625_p001.txt,118,Egia,Tvedestrand,BOSTON,269 lds. round mining timber-Alderson & English,Alderson & English,25,Oct,1897,30,October,1897,False,condensed,1.0,Egia-Tvedestrand-269 lds. round mining timber-Alderson & English
18971030p.625_p001.txt,121,Nicolina,Kalmar,BOSTON,179 lds. pit props-Simkin Bros. & Co.,Simkin Bros. & Co.,20,Oct,1897,30,October,1897,False,standard_dash,0.9,Oct. 20 Nicolina-Kalmar-179 lds. pit props-Simkin Bros. & Co.
18971030p.625_p001.txt,122,Derwent,Rotterdam,BOSTON,11 lds. hoops-Goole Steamship Co.,Goole Steamship Co.,25,Oct,1897,30,October,1897,False,condensed,0.9,25 Derwent-Rotterdam-11 lds. hoops-Goole Steamship Co.
18971030p.625_p001.txt,123,Felix Brandt,Lervik,BOSTON,"125 lds. firewood, 470 lds. boards-Illingworth, Ingham, & Co.","Illingworth, Ingham, & Co.",20,Oct,1897,30,October,1897,False,condensed,0.9,"Felix Brandt-Lervik-125 lds. firewood, 470 lds. boards-Illingworth, Ingham, & Co."
18971030p.625_p001.txt,126,Apollo,Nouvelle,BOSTON,"661 lds. spruce deals, 30 lds. spruce ends-H. Owen & Son",H. Owen & Son,25,Oct,1897,30,October,1897,False,standard_dash,0.9,"Oct. 25 Apollo-Nouvelle-661 lds. spruce deals, 30 lds. spruce ends-H. Owen & Son"
18971030p.625_p001.txt,129,Dan,Ljusne,COWES,"328 lds. deals, battens, boards, 15 lds. deal and batten ends-Sharp & Co.",Sharp & Co.,13,Oct,1897,30,October,1897,False,standard_dash,1.0,"Oct. 13 Dan-Ljusne-328 lds. deals, battens, boards, 15 lds. deal and batten ends-Sharp & Co."
18971030p.625_p001.txt,130,Luis,Gothenburg,COWES,"328 lds. deals, battens, and boards, 10 lds. wood mouldings, 1 ld. split fir slate laths, 22 lds. firewood, 1 ld. red fir joiners' work Alex. Sharp & Co.",,13,Oct,1897,30,October,1897,False,condensed,1.0,"25 St. Luis-Gothenburg-328 lds. deals, battens, and boards, 10 lds. wood mouldings, 1 ld. split fir slate laths, 22 lds. firewood, 1 ld. red fir joiners' work Alex. Sharp & Co."
18971030p.625_p001.txt,133,Diana,Lulea,COWES,20 lds. firewood-G. C. Fox,G. C. Fox,20,Oct,1897,30,October,1897,False,standard_dash,0.9,Oct. 20 Diana-Lulea-20 lds. firewood-G. C. Fox
