source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
18810305p.156.txt,10,Tyri,Fredrikstadt,MONTROSE,"21,499 planed boards, 20 bdls. planed boards-Rawle, Gammon & Co.","Rawle, Gammon & Co.",28,Feb,1881,5,March,1881,False,standard_dash,0.9,"Feb. 28 Tyri-Fredrikstadt-21,499 planed boards, 20 bdls. planed boards-Rawle, Gammon & Co."
18810305p.156.txt,12,Astrea,Darien,MONTROSE,"273 pcs. pitch pine hewn, 206 pcs. pitch pine sawn, 88 planks-Price & Co.",Price & Co.,25,Feb,1881,5,March,1881,False,standard_dash,0.9,"Feb. 25 Astrea-Darien-273 pcs. pitch pine hewn, 206 pcs. pitch pine sawn, 88 planks-Price & Co."
18810305p.156.txt,14,City of Richmond,Mobile,MONTROSE,"3,600 pcs. pipe staves-Donald, Kennedy, & Co.","Donald, Kennedy, & Co.",9,Feb,1881,5,March,1881,False,standard_dash,0.9,"Feb. 9 City of Richmond-Mobile-3,600 pcs. pipe staves -Donald, Kennedy, & Co."
18810305p.156.txt,16,Priory,Tenby,BRISTOL,30 t. timber,,9,Feb,1881,5,March,1881,False,condensed,0.9,Priory-Tenby-30 t. timber
18810305p.156.txt,18,Honoré Virgune,l'Orient,BRISTOL,111 lds. pitwood-Lowell,Lowell,19,Feb,1881,5,March,1881,False,standard_dash,0.9,Feb. 19 Honoré Virgune-l'Orient-111 lds. pitwood-Lowell
18810305p.156.txt,19,Comète,Legne,BRISTOL,165 lds. pitwood-J. Rogers,J. Rogers,19,Feb,1881,5,March,1881,False,condensed,0.9,Comète-Legne-165 lds. pitwood-J. Rogers
18810305p.156.txt,20,Constantina,Christiansand,BRISTOL,"4,454 pcs. mining timber, 1,873 props-Tellefsen & Co.",Tellefsen & Co.,22,Feb,1881,5,March,1881,False,condensed,0.9,"22 Constantina-Christiansand-4,454 pcs. mining timber, 1,873 props-Tellefsen & Co."
18810305p.156.txt,21,Adamo,Bordeaux,BRISTOL,485 lds. pitwood-Richards,Richards,19,Feb,1881,5,March,1881,False,condensed,0.9,Adamo-Bordeaux-485 lds. pitwood-Richards
18810305p.156.txt,22,Esperance,Port Launay,BRISTOL,105 lds. pitwood-Morel Bros.,Morel Bros.,19,Feb,1881,5,March,1881,False,condensed,0.9,Esperance - Port Launay - 105 lds. pitwood - Morel Bros.
18810305p.156.txt,23,Nero,Bordeaux,BRISTOL,830 lds. pitwood-L. & H. Gueret,L. & H. Gueret,19,Feb,1881,5,March,1881,False,condensed,0.9,Nero-Bordeaux-830 lds. pitwood-L. & H. Gueret
18810305p.156.txt,24,Estelle,l'Orient,BRISTOL,115 lds. pitwood-Lowell,Lowell,19,Feb,1881,5,March,1881,False,condensed,0.9,Estelle-l'Orient-115 lds. pitwood-Lowell
18810305p.156.txt,25,Theophile,Redon,BRISTOL,135 lds. pitwood-Lowell,Lowell,19,Feb,1881,5,March,1881,False,condensed,0.9,Theophile-Redon-135 lds. pitwood-Lowell
18810305p.156.txt,26,Emilia Frederic,Port Launay,BRISTOL,80 lds. pitwood-Morel Bros. & Co.,Morel Bros. & Co.,19,Feb,1881,5,March,1881,False,condensed,0.9,Emilia Frederic-Port Launay-80 lds. pitwood-Morel Bros. & Co.
18810305p.156.txt,27,Louise,Bordeaux,BRISTOL,935 lds. pitwood-Gueret,Gueret,23,Feb,1881,5,March,1881,False,condensed,0.9,23 Louise-Bordeaux-935 lds. pitwood-Gueret
