source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
18930527p.3_p002.txt,4,Furnessia,New York,LONDON (TILBURY DOCKS),"6,300 staves-Edmiston & Mitchells 28 pcs. walnut logs—J. Kennedy & Co.",Edmiston & Mitchells,15,Apl,1893,27,May,1893,False,condensed,0.9,"Furnessia—New York—6,300 staves—Edmiston & Mitchells; 28 pcs. walnut logs—J. Kennedy & Co."
18930527p.3_p002.txt,4,pcs. walnut,,LONDON (TILBURY DOCKS),logs J. Kennedy & Co.,,15,Apl,1893,27,May,1893,False,condensed,0.9,28 pcs. walnut logs—J. Kennedy & Co.
18930527p.3_p002.txt,5,Moray,Newport News,LONDON (TILBURY DOCKS),"28 pcs. walnut logs-Allison, Cousland, & Co.","Allison, Cousland, & Co.",19,Apl,1893,27,May,1893,False,condensed,0.9,"19 Moray—Newport News—28 pcs. walnut logs—Allison, Cousland, & Co."
18930527p.3_p002.txt,6,Carthginian,Philadelphia,LONDON (TILBURY DOCKS),"932 walnut logs, 3 cherry logs-R. Hamilton & Co. 59 walnut logs—Wright, Graham, & Co.; 3,600 staves—Order",R. Hamilton & Co.,20,Apl,1893,27,May,1893,False,condensed,0.9,"20 Carthginian—Philadelphia—932 walnut logs, 3 cherry logs—R. Hamilton & Co.; 59 walnut logs—Wright, Graham, & Co.; 3,600 staves—Order"
18930527p.3_p002.txt,6,walnut,,LONDON (TILBURY DOCKS),"logs Wright, Graham, & Co.; 3,600 staves",,20,Apl,1893,27,May,1893,False,condensed,0.9,"59 walnut logs—Wright, Graham, & Co.; 3,600 staves—Order"
18930527p.3_p002.txt,7,Nerito,Baltimore,LONDON (TILBURY DOCKS),"14 logs, 1,357 pcs. oak, 30 walnut and 9 poplar logs, 1,775 boards-Allison, Cousland & Co. 8 logs, 8,044 pcs. oak, 50 walnut and 56 poplar logs, 2,945 pcs. walnut—Edmiston & Mitchells; 16 logs, 149 pcs. oak, 14 hickory logs, 128 pcs. walnut, 3,471 pcs. poplar and 14 hickory logs—T. Kerr & Co.; 64 oak—Cant & Kemp; 20 walnut logs, 22 maple logs—J. R. Fleming & Co.; 22 maple logs, 1,350 pcs. timber, 215 pitch pine deals, 13,450 staves—J. R. Fleming & Co.","Allison, Cousland & Co.",21,Apl,1893,27,May,1893,False,condensed,0.9,"21 Nerito—Baltimore—14 logs, 1,357 pcs. oak, 30 walnut and 9 poplar logs, 1,775 boards—Allison, Cousland & Co.; 8 logs, 8,044 pcs. oak, 50 walnut and 56 poplar logs, 2,945 pcs. walnut—Edmiston & Mitchells; 16 logs, 149 pcs. oak, 14 hickory logs, 128 pcs. walnut, 3,471 pcs. poplar and 14 hickory logs—T. Kerr & Co.; 64 oak—Cant & Kemp; 20 walnut logs, 22 maple logs—J. R. Fleming & Co.; 22 maple logs, 1,350 pcs. timber, 215 pitch pine deals, 13,450 staves—J. R. Fleming & Co."
18930527p.3_p002.txt,9,Einar Kamberaskelv,Miramichi,GREENOCK,"1,350 pcs. hewn and 1,350 pcs. sawn pitch pine timber, 215 pitch pine deals",,21,Apl,1893,27,May,1893,False,condensed,0.9,"Einar Kamberaskelv—Miramichi—1,350 pcs. hewn and 1,350 pcs. sawn pitch pine timber, 215 pitch pine deals—Order"
18930527p.3_p002.txt,11,Martin,Windau,GREENOCK,"776 pcs. timber and ends, 443 deals and ends-J. T. Salvesen & Co.",J. T. Salvesen & Co.,21,Apl,1893,27,May,1893,False,condensed,0.9,"Martin—Windau—776 pcs. timber and ends, 443 deals and ends—J. T. Salvesen & Co."
18930527p.3_p002.txt,13,Dwina,Konigsberg,GREENOCK,"19,200 pcs. timber and ends, 443 deals and battens-J. T. Salvesen & Co.",J. T. Salvesen & Co.,21,Apl,1893,27,May,1893,False,condensed,0.9,"Dwina—Konigsberg—19,200 pcs. timber and ends, 443 deals and battens—J. T. Salvesen & Co."
18930527p.3_p002.txt,14,Tronda,Drontheim,GREENOCK,624 lds. fir battens-C. Salvesen & Co.,C. Salvesen & Co.,17,Apl,1893,27,May,1893,False,condensed,0.9,17 Tronda—Drontheim—624 lds. fir battens—C. Salvesen & Co.
