source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,raw_line
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,4,Niobe,Bordeaux,BELFAST,394 bdls. hoops,J. C. Pinkerton,21,12,1886,1,1,1887,False,Dec. 21 Niobe-Bordeaux-394 bdls. hoops-J. C. Pinkerton
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,5,Bristol,Rotterdam,BELFAST,"1,940 bdls. hoops",J. C. Pinkerton,22,12,1886,1,1,1887,False,"22 Bristol-Rotterdam-1,940 bdls. hoops-J. C. Pinkerton"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,8,Kjek,Laurvig,LIMERICK,100 lds. fir staves,Hay,22,12,1886,1,1,1887,False,Dec. 22 Kjek-Laurvig-100 lds. fir staves-Hay
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,11,Lord Nelson,Oscarshamn,ALLOA,"10,181 pit",props-Alloa Coal Co.,21,12,1886,1,1,1887,False,"Dec. 21 Lord Nelson-Oscarshamn-10,181 pit-props-Alloa Coal Co."
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,13,Elizabeth,Falkenberg,BORROWSTOUNNESS,"13,209 pit",props -Love & Stewart,22,12,1886,1,1,1887,False,"Dec. 22 Elizabeth-Falkenberg-13,209 pit-props -Love & Stewart"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,15,Ethiopia,New York,GLASGOW,171 pcs. oak lumber,Edmiston & Mitchell,17,12,1886,1,1,1887,False,"Dec. 17 Ethiopia-New York-171 pcs. oak lumber-Edmiston & Mitchell ; 1,441 pcs. oak lumber-Brownlee & Co. ; 1,600 pcs. oak lumber-Jas. Kennedy & Co. ; 1,000 hogshead staves, 660 oars, 150 pcs. white lumber-Order"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,15,Ethiopia,New York,GLASGOW,"1,441 pcs. oak lumber",Brownlee & Co.,17,12,1886,1,1,1887,False,"Dec. 17 Ethiopia-New York-171 pcs. oak lumber-Edmiston & Mitchell ; 1,441 pcs. oak lumber-Brownlee & Co. ; 1,600 pcs. oak lumber-Jas. Kennedy & Co. ; 1,000 hogshead staves, 660 oars, 150 pcs. white lumber-Order"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,15,Ethiopia,New York,GLASGOW,"1,600 pcs. oak lumber",Jas. Kennedy & Co.,17,12,1886,1,1,1887,False,"Dec. 17 Ethiopia-New York-171 pcs. oak lumber-Edmiston & Mitchell ; 1,441 pcs. oak lumber-Brownlee & Co. ; 1,600 pcs. oak lumber-Jas. Kennedy & Co. ; 1,000 hogshead staves, 660 oars, 150 pcs. white lumber-Order"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,15,Ethiopia,New York,GLASGOW,"1,000 hogshead staves, 660 oars, 150 pcs. white lumber",Order,17,12,1886,1,1,1887,False,"Dec. 17 Ethiopia-New York-171 pcs. oak lumber-Edmiston & Mitchell ; 1,441 pcs. oak lumber-Brownlee & Co. ; 1,600 pcs. oak lumber-Jas. Kennedy & Co. ; 1,000 hogshead staves, 660 oars, 150 pcs. white lumber-Order"
1. p. 15-16 - Imports - January 1 1887 - Timber Trades Journal 1887_p002.txt,16,State of Alabama,New York,GLASGOW,12 logs,Brownlee & Co.,18,12,1886,1,1,1887,False,"18 State of Alabama-New York-12 logs-Brownlee & Co. ; 3 cars lumber boards-W. G. & J. W. Lindsay & Co. ; 6,100 barrel staves, 2,400 hogshead staves-Allison"
