source_file,line_number,ship_name,origin_port,destination_port,cargo,merchant,arrival_day,arrival_month,arrival_year,publication_day,publication_month,publication_year,is_steamship,format_type,confidence,raw_line
18990415p.655_p001.txt,18,Phoenix,Lillesand,BOSTON,220 lds. hewn fir and firewood-Alderson & English.,Alderson & English.,28,Feb,1899,15,April,1899,False,condensed,1.0,Phoenix-Lillesand-220 lds. hewn fir and firewood-Alderson & English.
18990415p.655_p001.txt,21,Friedig,Fredrikstad,BOSTON,"72,350 pcs. case-Heber Denty 4,160 bdls. case-Jones & Wainwright; 4,300 bdls. case-Walker Bros.; 13,018 bdls. case-Lawson & Co.",Heber Denty,28,Feb,1899,15,April,1899,True,condensed,1.0,"Friedig (s)-Fredrikstad-72,350 pcs. case-Heber Denty; 4,160 bdls. case-Jones & Wainwright; 4,300 bdls. case-Walker Bros.; 13,018 bdls. case-Lawson & Co."
18990415p.655_p001.txt,22,New,York,BRISTOL,"177 bdls. lumber, 61 pkgs. doors, &c.",,28,Feb,1899,15,April,1899,False,condensed,0.9,"New York-177 bdls. lumber, 61 pkgs. doors, &c."
18990415p.655_p001.txt,25,Lycia,Boston,BRISTOL,"1,045 loose wooden bdls. containing 70 doors-Collier Bros. 556 pcs. elm lumber, 395 pcs. elm lumber-Grace & Hayes.",Collier Bros.,28,Feb,1899,15,April,1899,True,condensed,0.9,"Lycia (s)-Boston-1,045 loose wooden bdls. containing 70 doors-Collier Bros.; 556 pcs. elm lumber, 395 pcs. elm lumber-Grace & Hayes."
18990415p.655_p001.txt,26,Huron,Portland,BRISTOL,981 doors-W. Vermont 36 rock elm logs-J. Kennedy.,W. Vermont,28,Feb,1899,15,April,1899,True,condensed,0.9,Huron (s)-Portland-981 doors-W. Vermont; 36 rock elm logs-J. Kennedy.
18990415p.655_p001.txt,29,Ran,Gothenburg,BRISTOL,545 lds. fir pitwood-Harrison & Co.,Harrison & Co.,28,Feb,1899,15,April,1899,False,condensed,0.9,Ran-Gothenburg-545 lds. fir pitwood-Harrison & Co.
18990415p.655_p001.txt,30,Snowdon,Bordeaux,BRISTOL,"1,140 lds. fir pitwood-A. Capelle.",A. Capelle.,28,Feb,1899,15,April,1899,False,condensed,0.9,"Snowdon-Bordeaux-1,140 lds. fir pitwood-A. Capelle."
18990415p.655_p001.txt,33,Snowdon,Pauillac,BRISTOL,"1,006 lds. fir pitwood-Coal & Pitwood Co.",Coal & Pitwood Co.,28,Feb,1899,15,April,1899,False,condensed,0.9,"Snowdon-Pauillac-1,006 lds. fir pitwood-Coal & Pitwood Co."
18990415p.655_p001.txt,34,Snowdon,Bayonne,BRISTOL,"1,100 lds. fir pitwood-A. Capelle.",A. Capelle.,28,Feb,1899,15,April,1899,False,condensed,0.9,"Snowdon-Bayonne-1,100 lds. fir pitwood-A. Capelle."
18990415p.655_p001.txt,35,Snowdon,Bayonne,BRISTOL,"1,000 lds. fir pitwood-A. Capelle.",A. Capelle.,28,Feb,1899,15,April,1899,False,condensed,0.9,"Snowdon-Bayonne-1,000 lds. fir pitwood-A. Capelle."
